0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,40min,,50min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
799.9954834,-0.002154572,799.9954834,-0.001217676,799.9954834,-0.001735238,799.9954834,0.000336674,799.9954834,-0.000306123,799.9954834,-0.00048235,799.9954834,-0.000741621,799.9954834,-0.001449006,799.9954834,-0.001234144,799.9954834,-0.000878044,799.9954834,-0.000450803,799.9954834,-0.001416549,799.9954834,0.000598326,799.9954834,-0.000187115,799.9954834,-0.000973618,799.9954834,-0.000744773,799.9954834,-0.001276785,799.9954834,-0.001421967,799.9954834,-0.001978352,799.9954834,-0.000813972
798.9868164,-0.001069429,798.9868164,-0.001404267,798.9868164,-0.001691714,798.9868164,-0.000937767,798.9868164,-0.000401927,798.9868164,-0.000461302,798.9868164,-0.00105533,798.9868164,-0.000882952,798.9868164,-0.000540422,798.9868164,-0.000690658,798.9868164,0.000251374,798.9868164,-0.000977182,798.9868164,-0.000258679,798.9868164,-0.00121654,798.9868164,-0.00067484,798.9868164,-0.00044139,798.9868164,-0.00122764,798.9868164,-0.001418665,798.9868164,-0.000975271,798.9868164,-0.00049864
798.0125732,-0.001069429,798.0125732,-0.001282256,798.0125732,-0.000760123,798.0125732,-0.001324221,798.0125732,-0.000169882,798.0125732,-0.000869984,798.0125732,-8.54E-05,798.0125732,7.61E-05,798.0125732,-0.001228517,798.0125732,-0.000652974,798.0125732,-0.000610169,798.0125732,-4.60E-05,798.0125732,-0.000769322,798.0125732,-0.002261917,798.0125732,-0.000373581,798.0125732,-0.00147042,798.0125732,-0.000990716,798.0125732,-0.000784051,798.0125732,-0.000325679,798.0125732,-0.000989579
797.0031738,-3.08E-05,797.0031738,-0.000356562,797.0031738,-0.001213287,797.0031738,-0.000497657,797.0031738,-0.000997379,797.0031738,-0.001093908,797.0031738,-0.000649304,797.0031738,-0.001151175,797.0031738,-0.000309641,797.0031738,-0.001829747,797.0031738,0.000349446,797.0031738,-0.000655507,797.0031738,-0.000697067,797.0031738,-0.000473248,797.0031738,-0.000921649,797.0031738,-0.001214165,797.0031738,-0.002775047,797.0031738,-0.000658195,797.0031738,-0.000405702,797.0031738,-0.000932653
795.9934082,-0.00120482,795.9934082,-0.00081299,795.9934082,-0.000200829,795.9934082,-0.001358182,795.9934082,-0.000437666,795.9934082,-0.000170555,795.9934082,-0.00124225,795.9934082,-0.001441885,795.9934082,-0.001078984,795.9934082,-0.000805807,795.9934082,2.11E-05,795.9934082,-0.000461302,795.9934082,-0.000918859,795.9934082,-0.000640257,795.9934082,-0.00041915,795.9934082,-0.001002958,795.9934082,-0.000500605,795.9934082,0.000161274,795.9934082,-0.000278392,795.9934082,-0.000997328
794.9831543,-0.001224232,794.9831543,-0.000221941,794.9831543,-0.001457675,794.9831543,-0.001170744,794.9831543,-0.001026046,794.9831543,-0.000816555,794.9831543,-0.000491245,794.9831543,7.12E-05,794.9831543,4.74E-06,794.9831543,-7.14E-05,794.9831543,-0.000528632,794.9831543,-0.000932963,794.9831543,-0.000394582,794.9831543,-0.000521393,794.9831543,0.000171088,794.9831543,-0.001655974,794.9831543,-0.002044314,794.9831543,-0.000222355,794.9831543,-0.000839033,794.9831543,-0.000563948
794.0073242,-0.001228982,794.0073242,-0.001522994,794.0073242,-0.002068326,794.0073242,-0.000615701,794.0073242,-0.000116989,794.0073242,0.000754039,794.0073242,-0.000263698,794.0073242,-0.001009208,794.0073242,-0.000600088,794.0073242,0.000331855,794.0073242,-4.93E-05,794.0073242,-0.000970467,794.0073242,-0.001518763,794.0073242,-0.000846887,794.0073242,-0.001504679,794.0073242,-0.000884916,794.0073242,-0.002020146,794.0073242,9.25E-05,794.0073242,-0.001263725,794.0073242,-0.001422845
792.9963989,-0.000249055,792.9963989,-0.001009827,792.9963989,-0.000708542,792.9963989,7.66E-05,792.9963989,-0.000173091,792.9963989,-0.000787255,792.9963989,-0.000679958,792.9963989,-0.00101272,792.9963989,-0.000228461,792.9963989,-0.00060381,792.9963989,-6.14E-05,792.9963989,-0.001446994,792.9963989,-0.000946653,792.9963989,-0.000969641,792.9963989,-0.000855775,792.9963989,0.000236067,792.9963989,-0.001577573,792.9963989,-0.00039722,792.9963989,-0.001464022,792.9963989,-0.000543989
791.9849854,-0.001819745,791.9849854,-0.001382438,791.9849854,2.53E-05,791.9849854,-5.38E-05,791.9849854,-0.000358994,791.9849854,-0.001286696,791.9849854,-0.000885174,791.9849854,-0.001816703,791.9849854,-0.000749993,791.9849854,6.29E-05,791.9849854,-0.000644083,791.9849854,-0.001563955,791.9849854,-0.001181019,791.9849854,0.000208354,791.9849854,-0.000991284,791.9849854,-3.08E-05,791.9849854,-0.001539606,791.9849854,-0.000584939,791.9849854,-0.001070772,791.9849854,-0.000382478
