0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
799.9993896,-0.000196948,799.9993896,-0.000392875,799.9993896,-0.000547919,799.9993896,-0.000539439,799.9993896,-0.000666001,799.9993896,-0.000350148,799.9993896,-0.000224477,799.9993896,-0.00043989,799.9993896,-0.000718983,799.9993896,-0.000484005,799.9993896,-0.00078126,799.9993896,-0.000108656,799.9993896,6.53E-05,799.9993896,-0.000395616,799.9993896,-0.000152286,799.9993896,0.000427691,799.9993896,0.001207783,799.9993896,0.001126256,799.9993896,0.001686142
798.9914551,-8.61E-05,798.9914551,-0.000400996,798.9914551,-0.000546885,798.9914551,-0.00042634,798.9914551,-0.000596572,798.9914551,-0.000595487,798.9914551,-0.000704769,798.9914551,-0.000139451,798.9914551,-0.000959309,798.9914551,-0.000181837,798.9914551,-0.000209419,798.9914551,-0.000391013,798.9914551,-2.61E-05,798.9914551,-0.000428357,798.9914551,0.000194706,798.9914551,0.000252228,798.9914551,0.001239609,798.9914551,0.001053671,798.9914551,0.001380906
797.9831543,-4.52E-05,797.9831543,-0.000399444,797.9831543,-0.000917464,797.9831543,-0.000313469,797.9831543,-0.000687505,797.9831543,-0.000574857,797.9831543,-0.000505052,797.9831543,-0.000641705,797.9831543,-0.000574599,797.9831543,-0.000712263,797.9831543,-0.000827304,797.9831543,-0.000482402,797.9831543,0.000137528,797.9831543,-0.000433581,797.9831543,0.000161222,797.9831543,0.000372711,797.9831543,0.000960291,797.9831543,0.001373037,797.9831543,0.001510715
797.0092163,-0.00025454,797.0092163,-0.00081423,797.0092163,-0.000577856,797.0092163,-0.000558984,797.0092163,-1.81E-05,797.0092163,-0.000579924,797.0092163,-0.000482867,797.0092163,-0.000498485,797.0092163,3.87E-05,797.0092163,-0.000223856,797.0092163,-0.000472524,797.0092163,-6.65E-05,797.0092163,-0.000183648,797.0092163,-0.000506086,797.0092163,1.88E-05,797.0092163,0.000314551,797.0092163,0.00125425,797.0092163,0.001354367,797.0092163,0.001625675
796.0001831,-0.000213196,796.0001831,-0.000338974,796.0001831,-0.000487883,796.0001831,-0.000511516,796.0001831,-0.00032661,796.0001831,-0.000561414,796.0001831,-0.00065194,796.0001831,-0.000180905,796.0001831,-0.000665949,796.0001831,-0.000167864,796.0001831,-0.000618855,796.0001831,-0.000396237,796.0001831,-0.000220958,796.0001831,-0.000616683,796.0001831,-7.09E-05,796.0001831,0.000326882,796.0001831,0.001419886,796.0001831,0.001235533,796.0001831,0.001537264
794.9906006,-0.000308555,794.9906006,-0.000171538,794.9906006,-0.000540939,794.9906006,-0.000470145,794.9906006,-0.000602983,794.9906006,-0.000127496,794.9906006,-0.00073423,794.9906006,-0.000627023,794.9906006,-0.000497761,794.9906006,-0.000441649,794.9906006,-0.00049109,794.9906006,-0.000447028,794.9906006,-0.000193377,794.9906006,-0.000460681,794.9906006,-0.000163983,794.9906006,0.000505899,794.9906006,0.001526847,794.9906006,0.001284366,794.9906006,0.001748306
794.0155029,-0.000537578,794.0155029,-0.000431822,794.0155029,-0.000766997,794.0155029,-0.000141107,794.0155029,-0.000447234,794.0155029,-0.000570773,794.0155029,-0.000498588,794.0155029,-0.000404513,794.0155029,-0.00061627,794.0155029,-0.000824203,794.0155029,-0.000546937,794.0155029,-0.000565292,794.0155029,-0.000185407,794.0155029,-0.000390185,794.0155029,-6.02E-05,794.0155029,0.000545656,794.0155029,0.001338423,794.0155029,0.00111642,794.0155029,0.001650178
793.005249,-0.0004507,793.005249,-0.00031797,793.005249,-0.000606447,793.005249,-0.000500657,793.005249,4.13E-05,793.005249,-0.00012734,793.005249,-0.000313159,793.005249,-0.000372443,793.005249,-0.000389151,793.005249,-0.000338663,793.005249,-0.00054916,793.005249,-0.000219975,793.005249,-0.000236482,793.005249,-0.000329559,793.005249,0.00017114,793.005249,0.000500094,793.005249,0.001251109,793.005249,0.001392566,793.005249,0.001704047
791.9945679,-0.000115643,791.9945679,-0.00090615,791.9945679,-0.000553452,791.9945679,-0.000466215,791.9945679,-0.000382426,791.9945679,-0.000358787,791.9945679,-0.000438546,791.9945679,-0.000301312,791.9945679,-0.000566119,791.9945679,-0.000303847,791.9945679,-0.000475058,791.9945679,-0.000545282,791.9945679,7.69E-05,791.9945679,-0.000303174,791.9945679,-0.000381857,791.9945679,0.000550814,791.9945679,0.001200229,791.9945679,0.001542485,791.9945679,0.002096431
790.9834595,-0.00015622,790.9834595,-0.000282014,790.9834595,-0.000472783,790.9834595,-0.000146852,790.9834595,1.83E-05,790.9834595,-0.000318539,790.9834595,-0.000100995,790.9834595,-0.000619682,790.9834595,-0.000116005,790.9834595,-0.00028398,790.9834595,-0.000442787,790.9834595,-0.000289154,790.9834595,-4.52E-05,790.9834595,-0.000664502,790.9834595,0.000373255,790.9834595,0.000669305,790.9834595,0.001544304,790.9834595,0.001481181,790.9834595,0.00168874
790.0067749,-7.20E-06,790.0067749,6.96E-05,790.0067749,-0.000418685,790.0067749,1.90E-05,790.0067749,-0.00021656,790.0067749,-0.000225408,790.0067749,-0.000284549,790.0067749,-0.000581786,790.0067749,-0.00035351,790.0067749,-0.000350613,790.0067749,-0.000415478,790.0067749,-0.000299035,790.0067749,0.000119014,790.0067749,-0.000305709,790.0067749,-0.000242225,790.0067749,0.00073677,790.0067749,0.001532042,790.0067749,0.001454247,790.0067749,0.001565191
788.9949341,-0.000175368,788.9949341,3.33E-05,788.9949341,-0.00036039,788.9949341,7.51E-05,788.9949341,-0.000195292,788.9949341,-0.000204399,788.9949341,-0.000533286,788.9949341,-0.000289723,788.9949341,-0.000715313,788.9949341,-0.000416564,788.9949341,-0.000596314,788.9949341,-4.35E-05,788.9949341,0.000166608,788.9949341,-0.000369339,788.9949341,0.000543687,788.9949341,0.000533475,788.9949341,0.00143417,788.9949341,0.00137753,788.9949341,0.001755428
787.9827271,0.000121086,787.9827271,-0.000403323,787.9827271,-0.000341716,787.9827271,0.000147238,787.9827271,-0.000225564,787.9827271,-0.000344147,787.9827271,-0.000241915,787.9827271,-0.000647029,787.9827271,-0.000137122,787.9827271,-1.37E-05,787.9827271,-8.57E-05,787.9827271,3.24E-05,787.9827271,0.000681361,787.9827271,-5.58E-05,787.9827271,0.000505122,787.9827271,0.000915023,787.9827271,0.00143391,787.9827271,0.001821475,787.9827271,0.001720991
787.0048828,-2.95E-06,787.0048828,-0.000388944,787.0048828,9.17E-05,787.0048828,-0.000322626,787.0048828,-0.00029619,787.0048828,-0.000115488,787.0048828,-0.000480643,787.0048828,-0.000483281,787.0048828,-0.00033618,787.0048828,-0.000336698,787.0048828,-9.69E-05,787.0048828,3.61E-05,787.0048828,-0.000104877,787.0048828,-0.000506603,787.0048828,0.000243085,787.0048828,0.001127554,787.0048828,0.001337047,787.0048828,0.001066879,787.0048828,0.002034685
785.9917603,0.000441502,785.9917603,4.88E-05,785.9917603,6.60E-06,785.9917603,-7.09E-05,785.9917603,-0.000118852,785.9917603,-0.000328162,785.9917603,-0.000296604,785.9917603,-0.000174074,785.9917603,-0.000324541,785.9917603,-0.000297949,785.9917603,-5.44E-05,785.9917603,0.000341544,785.9917603,7.30E-05,785.9917603,8.33E-05,785.9917603,0.000314603,785.9917603,0.000783887,785.9917603,0.00208046,785.9917603,0.001607799,785.9917603,0.001904173
