0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
799.9830322,0.001131161,799.9830322,0.001304176,799.9830322,0.001129422,799.9830322,0.000890769,799.9830322,0.000915801,799.9830322,0.000639829,799.9830322,0.000615331,799.9830322,0.000922416,799.9830322,0.000839309,799.9830322,0.00110866,799.9830322,0.00069448,799.9830322,0.000852459,799.9830322,0.001258923,799.9830322,0.000837389,799.9830322,0.001217387,799.9830322,0.001739574,799.9830322,0.000789514,799.9830322,0.001135859,799.9830322,0.000740296
799.0095215,0.00122707,799.0095215,0.000901612,799.0095215,0.001008237,799.0095215,0.000173626,799.0095215,0.000448369,799.0095215,0.001073548,799.0095215,0.000622771,799.0095215,0.000901534,799.0095215,0.000875076,799.0095215,0.000911573,799.0095215,0.00094553,799.0095215,0.000586687,799.0095215,0.00066285,799.0095215,0.000913466,799.0095215,0.001152132,799.0095215,0.001024428,799.0095215,0.000702051,799.0095215,0.000469359,799.0095215,0.000584251
798.0007324,0.000798072,798.0007324,0.00132165,798.0007324,0.001050246,798.0007324,0.000523367,798.0007324,0.001295374,798.0007324,0.000672105,798.0007324,0.000741826,798.0007324,0.000713589,798.0007324,0.001456272,798.0007324,0.000752873,798.0007324,0.00106732,798.0007324,0.000693028,798.0007324,0.00116389,798.0007324,0.00100406,798.0007324,0.001620764,798.0007324,0.001492792,798.0007324,0.000975832,798.0007324,0.000846623,798.0007324,0.000520931
796.9916382,0.001019342,796.9916382,0.001092311,796.9916382,0.000759278,796.9916382,0.000969216,796.9916382,0.000697695,796.9916382,0.001053515,796.9916382,0.000359886,796.9916382,0.000637677,796.9916382,0.000928538,796.9916382,0.000816278,796.9916382,0.000850072,796.9916382,0.000948928,796.9916382,0.000895568,796.9916382,0.00140581,796.9916382,0.001468142,796.9916382,0.000953261,796.9916382,0.000718256,796.9916382,0.000788814,796.9916382,0.000606699
796.0167847,0.00145339,796.0167847,0.001005124,796.0167847,0.000946619,796.0167847,0.000637677,796.0167847,0.000878474,796.0167847,0.000943117,796.0167847,0.00099913,796.0167847,0.000785106,796.0167847,0.000585832,796.0167847,0.000885296,796.0167847,0.000494626,796.0167847,0.001007147,796.0167847,0.001043629,796.0167847,0.000720953,796.0167847,0.001295789,796.0167847,0.001053957,796.0167847,0.00058311,796.0167847,0.00060841,796.0167847,0.001119353
795.006897,0.001363403,795.006897,0.001004138,795.006897,0.001337956,795.006897,0.000742008,795.006897,0.000818898,795.006897,0.000930976,795.006897,0.00077883,795.006897,0.000939122,795.006897,0.001034288,795.006897,0.001162177,795.006897,0.000543946,795.006897,0.000813296,795.006897,0.001345954,795.006897,0.001122908,795.006897,0.001336814,795.006897,0.001088574,795.006897,0.000526996,795.006897,0.001060548,795.006897,0.000720901
793.996521,0.00123086,793.996521,0.001278005,793.996521,0.000882131,793.996521,0.000641773,793.996521,0.001014828,793.996521,0.000984212,793.996521,0.000699977,793.996521,0.001015372,793.996521,0.001230237,793.996521,0.00123221,793.996521,0.001069734,793.996521,0.001265465,793.996521,0.000973315,793.996521,0.001117614,793.996521,0.001042955,793.996521,0.001135002,793.996521,0.000734695,793.996521,0.00066845,793.996521,0.000857827
792.9858398,0.001367065,792.9858398,0.001006732,792.9858398,0.001408303,792.9858398,0.000664068,792.9858398,0.001052996,792.9858398,0.000809431,792.9858398,0.000968749,792.9858398,0.001421444,792.9858398,0.000749216,792.9858398,0.00094112,792.9858398,0.000970461,792.9858398,0.001101575,792.9858398,0.001286832,792.9858398,0.001616919,792.9858398,0.001374154,792.9858398,0.001409394,792.9858398,0.001148421,792.9858398,0.00069684,792.9858398,0.000696243
792.0095215,0.001173416,792.0095215,0.000983459,792.0095215,0.001334684,792.0095215,0.000833162,792.0095215,0.000945504,792.0095215,0.001263363,792.0095215,0.000623341,792.0095215,0.00094182,792.0095215,0.000878241,792.0095215,0.001345175,792.0095215,0.001020147,792.0095215,0.001062935,792.0095215,0.001037064,792.0095215,0.001550045,792.0095215,0.00142682,792.0095215,0.001332581,792.0095215,0.000963093,792.0095215,0.000405745,792.0095215,0.001047625
790.9980469,0.001219957,790.9980469,0.00211131,790.9980469,0.001212118,790.9980469,0.00070887,790.9980469,0.001180917,790.9980469,0.001208588,790.9980469,0.000934089,790.9980469,0.001001725,790.9980469,0.000981591,790.9980469,0.001224189,790.9980469,0.001089845,790.9980469,0.001084162,790.9980469,0.00109379,790.9980469,0.001607825,790.9980469,0.001428586,790.9980469,0.001647293,790.9980469,0.00085998,790.9980469,0.000538814,790.9980469,0.000791511
789.9860229,0.001463597,789.9860229,0.00149926,789.9860229,0.001185589,789.9860229,0.000654035,789.9860229,0.001209288,789.9860229,0.001229458,789.9860229,0.001122545,789.9860229,0.000831891,789.9860229,0.001127139,789.9860229,0.001393423,789.9860229,0.001037869,789.9860229,0.001439702,789.9860229,0.001383321,789.9860229,0.001001232,789.9860229,0.001541342,789.9860229,0.001264868,789.9860229,0.000876736,789.9860229,0.001304202,789.9860229,0.001117095
