0min,,15min,,30min,,45min,,60min,,75min,,90min,,105min,,120min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,-0.0003410431091,800,0.0003020389413,800,0.0005482223933,800,-0.0005663778866,800,8.639007137E-5,800,0.0003472437384,800,8.62347224E-5,800,0.0002900196705,800,-8.945269656E-5,
799,0.000693365233,799,0.0004718208802,799,0.002032421995,799,0.001645344542,799,0.001958541339,799,0.0007960236981,799,0.001345512108,799,0.001368804486,799,0.001493155607,
798,0.00113365287,798,0.001725825132,798,0.001520092599,798,0.001016358379,798,0.001973415259,798,0.0006157198222,798,0.00215646904,798,0.001742068562,798,0.001721303095,
797,0.001520404359,797,0.001276369439,797,0.001877809642,797,0.00148928538,797,0.00205595931,797,0.002041212749,797,0.001523807296,797,0.001469830517,797,0.002052916447,
796,0.001531938207,796,0.001094490639,796,0.001326894737,796,0.001499103964,796,0.001987171592,796,0.0008846473647,796,0.001232391689,796,0.001948686317,796,0.001141542918,
795,0.001389579149,795,0.001173753175,795,0.00125739153,795,0.0008951526834,795,0.002316619735,795,0.001352652907,795,0.001396123436,795,0.001994166989,795,0.002278808039,
794,0.0008998736739,794,0.001800497994,794,0.001379321562,794,0.001310978318,794,0.001844793209,794,0.0007065883838,794,0.001486505964,794,0.001510663191,794,0.001857063617,
793,0.001136845211,793,0.001305863378,793,0.0007132001338,793,0.0008008732693,793,0.001830911497,793,0.001118600019,793,0.001344161923,793,0.001002087956,793,0.001785500092,
792,0.001044199918,792,0.002177255461,792,0.001879083575,792,0.001760443905,792,0.002311857417,792,0.00172902178,792,0.001124465372,792,0.001284807222,792,0.001790100825,
791,0.001587871229,791,0.00175672723,791,0.001807100489,791,0.001999757951,791,0.001817212207,791,0.0009728480363,791,0.001882619341,791,0.001816172386,791,0.002101009013,
790,0.002004361013,790,0.002306496492,790,0.001933397143,790,0.001385060605,790,0.00244910433,790,0.002229030477,790,0.001582129509,790,0.002306730719,790,0.001689597848,
789,0.001754985773,789,0.001599017065,789,0.001790854614,789,0.001508221379,789,0.002480760915,789,0.001759820152,789,0.001166329719,789,0.002650381066,789,0.002330074552,
788,0.002145256847,788,0.001711505349,788,0.001320403419,788,0.001452740165,788,0.002474434441,788,0.001828494016,788,0.001944057876,788,0.002050315496,788,0.002223826712,
787,0.002228666097,787,0.001386333024,787,0.001594912028,787,0.002039964311,787,0.002310425974,787,0.00143829966,787,0.001716209226,787,0.002309983596,787,0.001877497649,
786,0.002252734499,786,0.002065244596,786,0.002031459706,786,0.001993126702,786,0.003315048292,786,0.001898010611,786,0.002291897312,786,0.002232959261,786,0.002505650278,
785,0.00179665105,785,0.002015387639,785,0.002352665178,785,0.002808785997,785,0.003040389158,785,0.002105508931,785,0.001901208539,785,0.001857245574,785,0.002285573864,
784,0.002651188523,784,0.001438351581,784,0.002383637941,784,0.002499505877,784,0.002487113234,784,0.001517676748,784,0.002394257579,784,0.002663924359,784,0.002166796941,
783,0.002621993655,783,0.002451889683,783,0.002398786601,783,0.001914312597,783,0.002704973565,783,0.002413441427,783,0.002092841547,783,0.002542544389,783,0.002402769169,
782,0.002357011661,782,0.002464828081,782,0.002283622045,782,0.002210427076,782,0.003104572883,782,0.002095182426,782,0.002760406584,782,0.002762438729,782,0.002342957305,
781,0.002620222745,781,0.002741207369,781,0.00245496165,781,0.002338767052,781,0.002903762972,781,0.001966914395,781,0.002769837156,781,0.002742197365,781,0.003248877591,
780,0.00247154478,780,0.001798860496,780,0.002757827519,780,0.002343894215,780,0.003025400452,780,0.002135267481,780,0.002087769331,780,0.00284138089,780,0.003182951361,
779,0.002590066288,779,0.002215136541,779,0.002724249382,779,0.00229556649,779,0.003434687387,779,0.002489117905,779,0.002347433707,779,0.003477114253,779,0.00239636586,
778,0.003263717517,778,0.002467483515,778,0.002400218276,778,0.003023028374,778,0.003023966681,778,0.002190783853,778,0.002732402645,778,0.002704452723,778,0.003317448078,
777,0.002989846515,777,0.002479615388,777,0.003559501143,777,0.002329163719,777,0.00362947816,777,0.002134460956,777,0.002810948528,777,0.002756003989,777,0.002890082076,
776,0.002530358965,776,0.002860896988,776,0.002651188523,776,0.002940404462,776,0.002971210517,776,0.002392461523,776,0.002718336182,776,0.002959273523,776,0.002565849107,
