"","exp_mass","abundance"
"2",112.985574818084,4226911
"5",126.905000744617,6404256.5
"19",152.988231237586,750794.9
"69",181.051649268764,753810.9
"70",181.07176526135,1275573.3
"117",197.022225382398,16980286
"121",198.025582012585,1267939.3
"125",199.019297646326,6683334
"127",199.037892639472,934983.2
"154",203.982936816849,800186.4
"155",203.984234816371,830930.4
"156",203.988126814936,912818.7
"163",205.052473422644,2362156.5
"178",209.022216959493,2705651
"187",211.001526229968,1443596.5
"188",211.019256223433,874637.3
"199",213.017118829476,3868962
"212",215.014196937233,1562802
"214",215.032790928926,2261874.8
"229",217.048434028389,1848639.1
"237",219.02746314421,1064006.5
"249",221.012280257445,1282763.1
"260",222.926183402363,842379
"261",223.001472368726,1549005.5
"273",224.905439518083,695979.4
"275",225.017117468188,1313871
"277",225.041395457341,749775.8
"290",226.978415591931,982317.6
"292",227.032734567662,830639.3
"307",229.012030683364,3293518
"309",229.048430667102,1475791.1
"321",231.009105791123,1117517.3
"323",231.027705782813,975181.8
"338",233.065641872316,732495.2
"357",236.096186518347,1159859.1
"365",238.048839645952,695382.3
"372",239.022848210791,1949720.8
"373",239.03278820635,5460761
"388",241.002358326397,2368737.3
"389",241.029822314127,1985250.3
"391",241.048386305833,1114787
"408",243.027702421526,964143.3
"440",247.060058619973,920664.9
"473",251.091309818915,920601.4
"485",253.048419944529,967999.7
"488",253.070557934638,911488.9
"506",255.027707060235,2393068.5
"527",257.024680168039,784799.9
"529",257.043398159676,1408609
"547",259.0116782803,810967.9
"548",259.012923279743,11694040
"549",259.022425275498,1181144.6
"559",260.016273831472,682198.5
"568",261.06031836502,1029208.8
"570",261.075557358212,1058649.8
"588",263.091171971368,888541.6
"602",265.048414922198,740706.1
"604",265.0704239104,1080163.5
"607",265.106803890899,777830.1
"610",265.147877868882,22614376
"617",266.15124933103,2879022.5
"618",266.915957921112,823140.3
"620",267.049668849437,685165.8
"628",267.143649799059,975092.4
"640",269.043315780753,1376765.1
"642",269.065309768963,1019262.8
"650",269.174455710456,766470.8
"662",271.022626719754,1457679.4
"664",271.037811711614,683120.5
"666",271.05901170025,833138.1
"687",273.075427619361,942762.8
"705",275.038423567107,4050243
"707",275.054653558407,771012.3
"709",275.075811547065,958277.9
"727",277.048376489682,826914
"729",277.070325477917,1156067.8
"732",277.106690458423,770278.7
"747",279.085964397444,935302.4
"752",279.126956375471,1039497.8
"754",279.163477355894,2199052.8
"762",280.994863374189,7203363
"764",281.043313348218,1229543.1
"766",281.065189336491,910120.9
"770",281.101550317,757291.9
"773",281.137945297491,686510.9
"790",283.153586217017,689111.1
"792",283.189969197514,1099738.1
"805",285.038421206661,746902.6
"807",285.05349719858,677431.9
"815",285.20557411706,960644.9
"830",287.054513125946,720547.4
"832",287.069122118115,690916.6
"834",287.090935106422,1061926.5
"841",287.221211036588,1383473.8
"851",288.957831105682,8954568
"854",289.070152045473,1211858
"857",289.106559025957,1121237.3
"873",291.085783965004,1222018.5
"890",293.04329691569,943407.4
"894",293.101490884495,850484.5
"899",293.179181842849,4967739.5
"901",294.065273367865,1491466.1
"908",294.182534305008,867604.6
"910",295.059076835142,824290.7
"913",295.080666823568,883172.6
"920",295.153441784558,680171.1
"929",296.968848811418,1167629.5
"931",297.038313774182,880723.8
"933",297.05350376604,699093.1
"941",297.152975712718,6664094
"956",299.054034693666,2234057
"963",299.184707623619,859988.8
"977",301.054386621387,1248701.5
"979",301.070028613003,1310975
"982",301.106417593497,781826.3
"988",301.200336543152,979210.8
"1001",303.064119544081,769587.3
"1003",303.085687532519,1055413.3
"1022",304.952647531745,819934.4
"1025",305.064930471557,894056.5
"1028",305.101311452055,1009515.8
"1035",305.968173987378,727546.3
"1036",305.97046398615,928538.6
"1037",305.976350982995,814955.1
"1049",307.080562391088,1515807
"1056",307.158318349407,1397350.1
"1068",309.038298341654,724432.1
"1069",309.059820330117,728530
"1073",309.096215310608,899541.3
"1080",309.172426269755,942300.2
"1081",309.174098268859,9121756
"1090",310.177376731057,1521846.9
"1093",311.053936261182,1774469.9
"1095",311.069170253016,1666055.3
"1103",311.1656472013,725519.9
"1104",311.168624199704,10117264
"1120",313.069811802994,1182395.1
"1171",317.064821516303,831135.9
"1174",317.101195495483,1008803.1
"1194",319.08038736262,986706.3
"1214",321.059641229722,723584.3
"1217",321.0960172089,1072643.4
"1224",321.173988164271,900490.3
"1225",321.183819158644,834699.1
"1237",323.005412115988,980457.9
"1239",323.053853088261,984366.1
"1247",323.199427004937,710010.8
"1251",324.099749489604,1315592.8
"1253",324.103660487365,1619721
"1260",325.033109955361,1055065.1
"1267",325.102652915555,3176543.3
"1274",325.1478238897,929763
"1276",325.184290868827,6049638
"1292",327.048803801604,1225669.6
"1294",327.064196792794,771014.9
"1345",331.059080506175,955030.9
"1346",331.06153550477,913495.1
"1358",331.246956398638,837734.5
"1377",333.110981331694,1114528.1
"1425",337.205382988113,1143690.3
"1447",339.199778846548,718631
"1461",341.064504779203,4050551
"1464",341.079873770406,889016.2
"1487",342.226393114154,1118927.5
"1490",343.05907063754,1822094.3
"1491",343.061575636106,1398414.4
"1496",343.105568610925,777489.7
"1520",345.074731483803,1111843.8
"1542",347.053973350911,872691.4
"1547",347.111361318063,777783.4
"1565",348.231094677142,2297479.3
"1578",349.21515311388,710156.3
"1587",350.246709523431,1113363.8
"1594",351.110850028808,777038.8
"1614",353.090112895905,718803.6
"1621",353.200313832827,6301147
"1633",354.203600258559,1613596.5
"1661",357.074726615165,764178.8
"1667",357.136759579658,704982.6
"1692",359.072476471679,862540.4
"1693",359.075187470127,8600909
"1694",359.079723467531,740428.9
"1697",359.116003446765,893775.1
"1706",360.080336894793,1427016.1
"1716",360.194684829342,1140238.9
"1724",361.126881295765,826308.9
"1740",362.210415675564,1120898.5
"1762",364.225982018958,2125041.5
"1767",365.103437455275,2489760.3
"1773",365.163203416881,746403.4
"1784",366.241582724124,1827675.4
"1790",367.112940164358,869127.7
"1795",367.158370135174,704393.9
"1818",369.183856833988,729196.9
"1860",373.095452321155,796445.8
"1863",373.12665530111,698911.1
"1865",373.131858297768,827423.3
"1883",375.085484042746,979377.2
"1889",375.14754100288,722547.7
"1919",378.205253038587,1092588.4
"1929",379.38053228358,700376.7
"1930",379.40533126765,779641.6
"1940",380.220940743697,993975.8
"1941",380.713963426976,1232841.8
"1953",381.231494094511,703580.4
"1995",385.178778558751,905702
"2045",390.910497876659,900002.7
"2068",393.111118462966,1040745.5
"2083",394.226850746213,673933.3
"2116",397.226511819212,3777134.3
"2151",400.449991748428,715512.5
"2172",403.055087074899,1062257.3
"2230",409.106000187755,719502.6
"2267",413.03706963028,725870.2
"2295",415.17953694774,1725323.8
"2337",421.065631325223,3984170.3
"2432",431.14581440897,702993.8
"2526",441.252590471832,2000939.5
"2532",443.047635062132,8679241
"2535",443.095416024609,1553740.8
"2545",444.05083627429,970914.1
"2550",444.169690180951,1447724.8
"2571",447.134018852979,946237.4
"2592",449.149727269986,1087932.5
"2668",459.021560517356,1758812.6
"2702",463.076177983865,1481864.9
"2789",473.124804479034,814058.5
"2884",485.058037191586,1206878.3
"2896",485.282334979426,3180406.3
"2996",498.318330648892,1114178.4
"3034",503.171779058095,810026.8
"3043",505.086910246604,687018.4
"3046",505.120457214873,689069.8
"3099",512.334116391591,1480766.1
"3110",513.318061725961,702880.6
"3123",515.16241530574,676089.8
"3139",517.120584797877,784479.3
"3155",519.136215245766,778987.6
"3168",521.094247738008,723635.6
"3184",523.131113169546,708613.1
"3210",526.349720691098,1373012.4
"3221",527.333902933241,1135292
"3243",531.136280005269,965010.2
"3251",531.259380910477,782879.5
"3259",533.151889453175,912813.6
"3273",535.167837900819,694668.3
"3304",540.365284898591,701594.6
"3306",541.120465317074,775986.5
"3314",541.349584140644,673997.3
"3332",545.151929212697,900370.2
