"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",2624026.8,429.082811932478,"C21H18O10","O10","CHO",21,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,430.090088384638,429.08272034504,0.212949426932016,0.21,429,428.603694231426,0.396305768573711,13,0.476190476190476,0.857142857142857,3,33.0838459074769,31,0.9,44,0.4,0,0,0,0,0,0,"Unambiguous"
"2",2221881.5,401.181737767118,"C19H30O9","O9","CHO",19,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,402.189014219278,401.18170610554,0.0787231292181036,0.08,401,400.733774654736,0.266225345264161,5,0.473684210526316,1.57894736842105,-4,30.9376140429,28,0.9,40,0.8,0,0,0,0,0,0,"Unambiguous"
"3",2178227.8,373.07763489569,"C15H18O11","O11","CHO",15,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,374.08491134785,373.07763496734,-0.000191534187227522,0,373,372.661053075645,0.338946924355355,7,0.733333333333333,1.2,-4,28.7757624168846,26,0.9,32,0.6,0,0,0,0,0,0,"Unambiguous"
"4",3034228,371.171123989811,"C18H28O8","O8","CHO",18,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,372.178400441971,371.17114141944,-0.0468313818021332,0.05,371,370.756670996875,0.243329003124586,5,0.444444444444444,1.55555555555556,-3,28.6291090670462,26,0.9,38,0.7,0,0,0,0,0,0,"Unambiguous"
"5",3473200,369.191861125684,"C19H30O7","O7","CHO",19,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370.199137577844,369.19187686094,-0.042504842553964,0.04,369,368.779618195344,0.220381804655858,5,0.368421052631579,1.57894736842105,-2,28.4768579471615,26,0.9,40,0.8,0,0,0,0,0,0,"Unambiguous"
"6",2905902.8,369.155503146549,"C18H26O8","O8","CHO",18,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370.162779598709,369.15549135564,0.0318533088805987,0.03,369,368.743300813854,0.256699186146193,6,0.444444444444444,1.44444444444444,-2,28.4740590621385,26,0.9,38,0.7,0,0,0,0,0,0,"Unambiguous"
"7",3313404.3,355.06709504315,"C15H16O10","O10","CHO",15,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356.07437149531,355.06707028124,0.0695413989183062,0.07,355,354.670623952803,0.329376047197343,8,0.666666666666667,1.06666666666667,-2,27.3903343641077,25,0.9,32,0.5,0,0,0,0,0,0,"Unambiguous"
"8",4123006.5,347.098355924805,"C14H20O10","O10","CHO",14,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,348.105632376965,347.09837040884,-0.0416081602066265,0.04,347,346.710782799747,0.289217200253233,5,0.714285714285714,1.42857142857143,-5,26.7773574508462,24,0.9,30,0.7,0,0,0,0,0,0,"Unambiguous"
"9",719591.9,344.207862332794,"C17H31NO6","NO6","CHNO",17,31,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,345.215138784954,344.20786127794,0.00305564320931174,0,344,343.823516758703,0.176483241296694,3,0.352941176470588,1.82352941176471,-3,26.5550105946231,24,0.9,36,0.9,0,0,0,0,0,0,"Unambiguous"
"10",2658218.8,343.067067888487,"C14H16O10","O10","CHO",14,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,344.074344340647,343.06707028124,-0.00695417408883266,0.01,343,342.683996135664,0.316003864335983,7,0.714285714285714,1.14285714285714,-3,26.4672574410308,24,0.9,30,0.5,0,0,0,0,0,0,"Unambiguous"
"11",832443,342.19218831465,"C17H29NO6","NO6","CHNO",17,29,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,343.19946476681,342.19221121414,-0.0667235598678389,0.07,342,341.810093460175,0.189906539825188,4,0.352941176470588,1.70588235294118,-2,26.3999605897154,24,0.9,36,0.8,0,0,0,0,0,0,"Unambiguous"
"12",1923516,341.051414870333,"C14H14O10","O10","CHO",14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,342.058691322493,341.05142021744,-0.0156321344326106,0.02,341,340.670593813676,0.329406186323524,8,0.714285714285714,1,-2,26.3122074361231,24,0.9,30,0.5,0,0,0,0,0,0,"Unambiguous"
"13",3796713,331.103452716088,"C14H20O9","O9","CHO",14,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,332.110729168248,331.10345578654,-0.00924526695879171,0.01,331,330.733739642844,0.266260357156,5,0.642857142857143,1.42857142857143,-4,25.5469794029769,23,0.9,30,0.7,0,0,0,0,0,0,"Unambiguous"
"14",2791654.8,331.067055733817,"C13H16O10","O10","CHO",13,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,332.074332185977,331.06707028124,-0.0438077307994719,0.04,331,330.697383301769,0.30261669823102,6,0.769230769230769,1.23076923076923,-4,25.5441805179538,23,0.9,28,0.6,0,0,0,0,0,0,"Unambiguous"
"15",3720790.5,325.056518661612,"C14H14O9","O9","CHO",14,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,326.063795113772,325.05650559514,0.0400733595408734,0.04,325,324.693557648954,0.306442351045916,8,0.642857142857143,1,-1,25.0818293882538,23,0.9,30,0.5,0,0,0,0,0,0,"Unambiguous"
"16",1217669.5,322.093171105089,"C15H17NO7","NO7","CHNO",15,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,323.100447557249,322.09322545364,-0.168209457946022,0.17,322,321.733518992786,0.266481007213827,8,0.466666666666667,1.13333333333333,1,24.8538847619846,23,0.9,32,0.5,0,0,0,0,0,0,"Unambiguous"
"17",2930135,313.056477506956,"C13H14O9","O9","CHO",13,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,314.063753959116,313.05650559514,-0.0894346576264687,0.09,313,312.706915847455,0.293084152545248,7,0.692307692307692,1.07692307692308,-2,24.1587524651769,22,0.9,28,0.5,0,0,0,0,0,0,"Unambiguous"
"18",1702835.5,311.040891979083,"C13H12O9","O9","CHO",13,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312.048168431243,311.04085553134,0.11680165533178,0.12,311,310.693580940388,0.306419059611528,8,0.692307692307692,0.923076923076923,-1,24.0037024602692,22,0.9,28,0.4,0,0,0,0,0,0,"Unambiguous"
"19",1498167.1,305.051438347993,"C11H14O10","O10","CHO",11,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,306.058714800153,305.05142021744,0.0592388072100113,0.06,305,304.710815186731,0.289184813269173,5,0.909090909090909,1.27272727272727,-5,23.5429766668923,21,0.9,24,0.6,0,0,0,0,0,0,"Unambiguous"
"20",2752670.3,277.056494420376,"C10H14O9","O9","CHO",10,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278.063770872536,277.05650559514,-0.0401877756428763,0.04,277,276.747130663598,0.252869336402,4,0.9,1.4,-5,21.3895216959462,19,0.9,22,0.6,0,0,0,0,0,0,"Unambiguous"
"21",1003353.6,338.197305260599,"C18H29NO5","NO5","CHNO",18,29,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,339.204581712759,338.19729659184,0.0255561370163254,0.03,338,337.81967112823,0.180328871769575,5,0.277777777777778,1.61111111111111,0,26.0926594649231,24,0.9,38,0.8,0,0,0,0,0,0,"Unambiguous"
