"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",2276790.3,326.18761462451,"C19H25N3O2","N3O2","CHNO",19,25,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327.19489107667,326.18740061214,0.654082248711731,0.65,326,325.823390619996,0.176609380004379,9,0.105263157894737,1.31578947368421,7,25.1688213126385,24,1,40,0.6,0,0,0,0,0,0,"Unambiguous"
"2",4284908.5,312.171986492244,"C18H23N3O2","N3O2","CHNO",18,23,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,313.179262944404,312.17175054834,0.7533829097351,0.75,312,311.823412463312,0.176587536687862,9,0.111111111111111,1.27777777777778,7,24.0906943846538,23,1,38,0.6,0,0,0,0,0,0,"Unambiguous"
"3",2442482,298.156322359973,"C17H21N3O2","N3O2","CHNO",17,21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,299.163598812133,298.15610048454,0.741652507168176,0.74,298,297.823398346821,0.17660165317892,9,0.117647058823529,1.23529411764706,7,23.0125674566692,22,1,36,0.6,0,0,0,0,0,0,"Unambiguous"
"4",893655.3,285.207129389949,"C16H30O4","O4","CHO",16,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,286.214405842109,285.20713299404,-0.0125922754516693,0.01,285,284.88866456135,0.111335438649633,2,0.25,1.875,-2,22.0164930343231,20,0.9,34,0.9,0,0,0,0,0,0,"Unambiguous"
"5",2723539.3,283.264267094372,"C18H36O2","O2","CHO",18,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.271543546532,283.26425394084,0.0462710129732775,0.05,283,282.947971683169,0.0520283168307287,1,0.111111111111111,2,-1,21.8670407994615,20,0.9,38,0.9,0,0,0,0,0,0,"Unambiguous"
"6",855251.5,271.227858263215,"C16H32O3","O3","CHO",16,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272.235134715375,271.22786843554,-0.0373659527327636,0.04,271,270.925002813641,0.0749971863590417,1,0.1875,2,-2,20.9411649913615,19,0.9,34,0.9,0,0,0,0,0,0,"Unambiguous"
"7",1328347.6,269.212189956561,"C16H30O3","O3","CHO",16,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,270.219466408721,269.21221837174,-0.105155927553303,0.11,269,268.911585220226,0.088414779774098,2,0.1875,1.875,-1,20.7861149864538,19,0.9,34,0.9,0,0,0,0,0,0,"Unambiguous"
"8",697733.7,263.11364802876,"C11H20O7","O7","CHO",11,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,264.12092448092,263.11362654194,0.0813522082743826,0.08,263,262.819852978823,0.180147021176595,2,0.636363636363636,1.81818181818182,-5,20.3169925380077,18,0.9,24,0.8,0,0,0,0,0,0,"Unambiguous"
"9",801251.3,245.139482294263,"C12H22O5","O5","CHO",12,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,246.146758746423,245.13944736114,0.141919898676778,0.14,245,244.865757358359,0.134242641641094,2,0.416666666666667,1.83333333333333,-3,18.9343633702538,17,0.9,26,0.8,0,0,0,0,0,0,"Unambiguous"
"10",2932640.5,242.17616684344,"C13H25NO3","NO3","CHNO",13,25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,243.1834432956,242.17616721964,-0.00154698232876695,0,242,241.905750772041,0.094249227959267,2,0.230769230769231,1.92307692307692,-1,18.7064187439846,17,0.9,28,0.9,0,0,0,0,0,0,"Unambiguous"
"11",742113.3,241.217313697564,"C15H30O2","O2","CHO",15,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242.224590149724,241.21730374944,0.0410698371523673,0.04,241,240.947968290154,0.0520317098456076,1,0.133333333333333,2,-1,18.6326600155077,17,0.9,32,0.9,0,0,0,0,0,0,"Unambiguous"
"12",1248077.8,227.201646565293,"C14H28O2","O2","CHO",14,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,228.208923017453,227.20165368564,-0.0312010025625221,0.03,227,226.947951177013,0.0520488229872171,1,0.142857142857143,2,-1,17.5545330875231,16,0.9,30,0.9,0,0,0,0,0,0,"Unambiguous"
"13",751931.6,203.989766033956,"C4H3N3O7","N3O7","CHNO",4,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204.997042486116,203.98982302184,-0.277993686664787,0.28,204,203.761989238843,0.238010761157057,5,1.75,0.75,-2,15.7690076518462,14,0.9,10,0.3,0,0,0,0,0,0,"Unambiguous"
"14",692385.3,199.170370300758,"C12H24O2","O2","CHO",12,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200.177646752918,199.17035355804,0.0836393000442081,0.08,199,198.947974885975,0.0520251140249854,1,0.166666666666667,2,-1,15.3982792315538,14,0.9,26,0.9,0,0,0,0,0,0,"Unambiguous"
