"","exp_mass","abundance"
"2",112.985589940547,3570326
"3",126.905012317241,5731104
"4",146.983028418155,1461842.1
"5",152.978103149698,1610212.1
"6",152.990522149141,764349.6
"7",157.011858969068,1038072.4
"9",171.02748311943,929253.5
"10",174.002025051938,897666.1
"11",174.889758031796,981255.4
"13",185.012310802117,954925.5
"15",191.128865663334,1147491
"17",201.038058438497,9750733
"18",203.982848371681,886120.5
"19",203.986552371597,737096.6
"20",203.989170371537,963944.7
"22",215.032763116148,903833.9
"23",216.048924960752,972703.9
"24",219.027423505265,6756074
"26",220.03082435182,862891.3
"27",224.999189592034,2782053.5
"29",226.978430289359,2223327.3
"31",227.973086137251,1270875.6
"33",228.857694001973,1928920.1
"34",236.096180895028,1411454.1
"35",238.918650463402,2463033.5
"37",240.048874290563,748345.3
"38",240.897856160733,825785.9
"39",241.072171134075,1929530.1
"42",241.573847057357,721274.8
"47",247.013608225482,796117.9
"48",247.058752218578,1033046.3
"49",248.079990062406,13327328
"50",248.581680985685,3515877.5
"51",248.959198927953,1235433.8
"52",248.960363927775,17625066
"53",249.077888909802,1091947.1
"55",249.963741774333,748278.4
"56",250.932562626177,985028.1
"58",255.087804990737,978511.3
"60",256.89867071381,1205687.8
"62",262.879811799145,7344412
"64",264.934303484963,1536349.9
"65",265.147877452302,85800296
"66",266.149897299068,878215.1
"67",266.151230298864,11390343
"68",267.143660147097,3994025.8
"71",269.121610844619,763153.8
"76",271.843840428323,997402.5
"77",276.799245670518,3679271.5
"78",277.069338629214,1268467.1
"79",278.853740356335,1521793.1
"80",279.127138314525,1133965.3
"81",279.163522308961,7875471
"82",280.166841155529,998843.6
"83",283.137270701277,1115970.8
"89",292.773234227698,811722.3
"90",293.142775171186,2075420
"91",293.17917516562,15425054
"92",294.182519012184,2655053.8
"93",294.779282920924,1041258.4
"94",297.15295655793,30069468
"96",298.156304404493,5220363.5
"97",299.14870525273,1276538.1
"100",305.968623209796,790388.6
"101",305.976562208582,938100.9
"102",305.981132207883,1195701.1
"103",305.984974207295,1162709.3
"104",307.158428027845,4491433.5
"105",308.161813874402,781205.4
"106",309.152961722831,972544.3
"107",309.174085719601,26764546
"109",310.177446566162,3916844
"110",310.860698461676,835720.9
"111",310.953753447445,1362380.8
"112",311.168609414589,44535124
"114",312.171955261152,8222079.5
"115",313.147866111911,1145895.5
"116",313.164391109384,2052008.1
"119",317.124263503821,844036.9
"120",320.190028034989,785976.4
"121",321.174042884509,1372508.4
"122",323.16867657948,786595.9
"123",323.189750576257,1206948.6
"124",325.147897276808,1128104.8
"125",325.184254271248,27023210
"126",326.187604117811,5430156
"127",327.163521968569,2152620.8
"128",327.180008966048,1299885.4
"131",334.914750783213,772000.6
"132",337.205389432918,3206371.3
"133",339.163566133464,1069082.4
"134",339.199890127909,3175707.5
"135",340.203263974468,772791.1
"137",341.17915482523,2015825.5
"139",347.134618914492,763626.4
"140",348.834283654571,1211667.4
"141",350.412328413249,731864.6
"142",353.197955987257,1238647.8
"143",353.2002939869,17488504
"144",354.203671833458,2952590
"145",358.876062118934,3565808.3
"148",372.795463990311,4663276.5
"149",372.822793986132,1776237
"150",377.085518334255,903920.9
"151",380.713923779382,2009065
"152",381.231567700221,2184561
"153",384.935119133856,1019497.8
"154",386.714892861685,7376069.5
"155",397.226502254199,9529713
"156",398.229808100768,1599875.1
"157",401.265559636526,846779.1
"158",425.257737967526,1108897.9
"159",431.228542054442,835646.7
"160",441.252719521496,4851385.5
"161",442.256139368048,959978.6
"162",447.134255622063,1336547.6
"163",469.284095234802,716814.8
"164",485.282545788242,48883028
"165",486.285907634803,14802333
"166",487.289380481347,2181348
"167",529.305156056091,1677448.1
"168",560.652830262253,756522.4
"169",573.331318323397,903217.8
