"","abundance","exp_mass","formula","R_mass","recal_err"
"1",4801715.5,199.170367,"C12H24O2",199.170362184489,0.0433119106714119
"2",2075161,213.186015,"C13H26O2",213.18600984562,0.0291941318746772
"3",2429646,225.186001,"C14H26O2",225.185995555486,0.0358208477822608
"4",5642059,227.201665,"C14H28O2",227.201659506752,0.0256209051190552
"5",1272245,239.201656,"C15H28O2",239.201650216618,0.014502499855125
"6",2395062.8,241.217306,"C15H30O2",241.217300167884,0.0148478405250415
"7",794313.3,228.20504,"C14H28O2",228.205034482493,0.113042446803108
"8",3769758,253.217323,"C16H30O2",253.217298569098,0.0204580899791829
"9",6658242.5,255.232962,"C16H32O2",255.232937374625,0.0644063195251342
"10",2242874.3,269.21221,"C16H30O3",269.21218402588,0.127579129023887
"11",1087103.3,271.227865,"C16H32O3",271.227838831405,0.109148572362288
"12",902907.1,281.248677,"C18H34O2",281.248649864578,0.163512057041852
"13",1967181.1,283.264263,"C18H36O2",283.26423567011,0.0645006548250334
"14",1177437.3,285.207197,"C16H30O4",285.207169482652,0.127937235246513
"15",755160.3,297.243505,"C18H34O3",297.243476321366,0.141897036784192
"16",1263254.3,256.236318,"C16H32O2",256.236293277819,0.0606292721983868
