"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",766429.6,387.16603764546,"C18H28O9","O9","CHO",18,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,388.17331409762,387.16605604174,-0.0473919231487324,0.05,387,386.733724589044,0.266275410955529,5,0.5,1.55555555555556,-4,29.8594871149154,27,0.9,38,0.7,0,0,0,0,0,0,"Unambiguous"
"2",2874675,360.239158243418,"C18H35NO6","NO6","CHNO",18,35,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361.246434695578,360.23916140554,-0.00875336441434469,0.01,360,359.836911981097,0.163088018903409,2,0.333333333333333,1.94444444444444,-4,27.7881875275154,25,0.9,38,0.9,0,0,0,0,0,0,"Unambiguous"
"3",841151.8,358.223462437897,"C18H33NO6","NO6","CHNO",18,33,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,359.230738890057,358.22351134174,-0.136134907253957,0.14,358,357.823466919519,0.176533080481249,3,0.333333333333333,1.83333333333333,-3,27.6331375226077,25,0.9,38,0.9,0,0,0,0,0,0,"Unambiguous"
"4",832164.8,357.155515540934,"C17H26O8","O8","CHO",17,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,358.162791993094,357.15549135564,0.0675259821745123,0.07,357,356.756712501602,0.243287498397876,5,0.470588235294118,1.52941176470588,-3,27.5509821390615,25,0.9,36,0.7,0,0,0,0,0,0,"Unambiguous"
"5",960578.8,343.212573886177,"C18H32O6","O6","CHO",18,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,344.219850338337,343.21261230244,-0.111603858153801,0.11,343,342.829339660057,0.170660339943367,3,0.333333333333333,1.77777777777778,-3,26.4784529811231,24,0.9,38,0.8,0,0,0,0,0,0,"Unambiguous"
"6",2341225.3,342.228579981114,"C18H33NO5","NO5","CHNO",18,33,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,343.235856433274,342.22859671944,-0.0487662503739438,0.05,342,341.846444491379,0.153555508620741,3,0.277777777777778,1.83333333333333,-2,26.4027594747385,24,0.9,38,0.9,0,0,0,0,0,0,"Unambiguous"
"7",1877836.1,341.108912089142,"C12H22O11","O11","CHO",12,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,342.116188541302,341.10893509494,-0.0672455692759191,0.07,341,340.728026830578,0.271973169422097,2,0.916666666666667,1.83333333333333,-9,26.3166316574692,23,0.9,26,0.8,0,0,0,0,0,0,"Unambiguous"
"8",753612.3,327.217712429392,"C18H32O5","O5","CHO",18,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328.224988881552,327.21769768014,0.0449364089551874,0.04,327,326.852338208466,0.147661791533608,3,0.277777777777778,1.77777777777778,-2,25.2480749332538,23,0.9,38,0.8,0,0,0,0,0,0,"Unambiguous"
"9",1240077.9,315.181243590694,"C16H28O6","O6","CHO",16,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.188520042854,315.18131217484,-0.216909031133079,0.22,315,314.829309398403,0.170690601597357,3,0.375,1.75,-3,24.3221991251538,22,0.9,34,0.8,0,0,0,0,0,0,"Unambiguous"
"10",1118538.1,313.238387778145,"C18H34O4","O4","CHO",18,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,314.245664230305,313.23843312164,-0.144293144210594,0.14,313,312.88862299601,0.111377003989787,2,0.222222222222222,1.88888888888889,-2,24.1727468902923,22,0.9,38,0.9,0,0,0,0,0,0,"Unambiguous"
