"","exp_mass","abundance"
"2",112.985597268251,11012917
"3",126.905021931709,4535630.5
"4",141.016903590514,1507931.1
"5",146.983033446266,1192050.6
"6",152.978106301318,8032319.5
"7",154.973764253067,980907
"8",157.011843203791,1177632.4
"10",171.027489498932,1796790.1
"11",181.009445535853,896968.4
"12",181.071743529842,2524526.5
"13",194.988657187111,2543466
"14",196.96790599615,1035183.8
"16",201.038043603455,4163069.3
"17",203.982698319349,917151.6
"18",203.983875319235,921279.6
"19",203.986953318938,1175871.6
"21",217.00304606312,2385723.3
"22",217.048430058741,2055675.4
"23",219.027439867802,3595973.8
"24",223.019995482593,998798.3
"25",224.999221291633,2686030
"27",226.978442100674,9783884
"31",228.85769291936,1004615.9
"32",232.975345522081,801821.9
"34",240.897856757702,791382.3
"35",241.072183740882,2042422.5
"40",246.981161170772,743761.1
"41",247.013575167645,1560849.3
"42",247.058773163284,2658385.8
"43",248.078851064865,869466.6
"44",248.080003064754,11636827
"45",248.581708016348,3135967.5
"46",248.938931981883,993187.3
"47",248.960379979813,93733984
"48",249.07795096847,1042148.8
"50",249.963735883008,4104047
"51",250.93259378953,2504827.5
"52",250.942386788586,936955.6
"53",250.964616786441,857723.9
"55",255.087900388618,758079.6
"58",256.995533204566,759014.2
"60",262.878539636962,946039.6
"61",262.879825636838,13830520
"62",262.89379363549,778296
"63",263.012541624033,751035.3
"64",264.934321438616,4578483
"65",265.14789541801,62440888
"66",266.151243321205,8136664
"67",267.143672225454,2824950.8
"71",270.97478485582,1119926.4
"72",271.103431843408,2598139
"74",276.799243293865,3126859.8
"75",276.991684275298,848787.2
"76",277.069338267806,1198870.3
"77",278.853745095643,1249755.6
"78",279.163536065754,7105448
"79",280.166890968948,968015.7
"81",283.137345682353,779143.9
"84",293.14277071701,1212843.4
"85",293.179193713495,16163309
"86",294.18254561669,2599191.5
"87",295.064620531586,942972.6
"89",297.152979330097,30354068
"91",298.156321233292,5166270.5
"92",299.148767137539,1327399.8
"94",301.030533955983,971381.4
"95",304.904336582231,773777.8
"96",305.023034570778,895446.4
"97",305.978162478626,1067452
"98",307.158472364747,2755625.8
"99",308.984034188613,2107887.3
"100",309.152980172313,942197.6
"101",309.174106170275,20765814
"102",310.17745607347,3111323.8
"103",310.860772007542,1432244.8
"104",311.16862497784,49769664
"106",312.171974881035,8729828
"107",313.147907786875,906246.9
"108",313.164418785282,2129927.5
"109",313.175260784236,753671.9
"112",321.17412101249,1114643.5
"113",323.168536820065,740690
"114",323.189746818018,1026386.6
"115",325.147959629086,751502.5
"116",325.184270625583,27729552
"117",326.187623528777,5564077.5
"118",327.163556434617,1818954.6
"119",327.180016433029,1203915.1
"121",330.963478067993,1248952.6
"122",333.111007860796,807860.9
"123",335.189712660238,771118.1
"124",337.205392465761,3760356.8
"125",339.16349027684,872408.9
"126",339.199935273324,3246617.8
"127",340.203228176524,756788.3
"129",341.179170082363,1481165.9
"132",353.197994922764,929152.8
"133",353.20031592254,13501825
"134",354.203650825736,2438042.3
"135",356.896802565895,903646.2
"138",358.876058374933,11328016
"140",372.795499031958,3848062.3
"141",372.928262019149,876929.9
"142",381.231595218027,2018285.1
"143",384.935177860698,19573978
"144",385.938510763894,1213688.5
"145",386.714952688982,2930960
"147",397.226520674805,7361625.5
"148",398.229875577999,1574778
"149",400.909180319495,1126738.1
"150",417.322163735938,1344655.9
"151",425.257792970293,1122234.5
"152",431.088470407738,912415
"153",441.252740427069,3526592.8
"154",447.134302859604,1980351.3
"155",449.149941665131,4183576.8
"156",485.282579178983,31601994
"157",486.285936082178,10093956
"158",486.290317081755,813443.8
"159",487.289499985352,1382206.3
"160",499.17132883897,952987
"161",520.909990741581,12155573
"162",521.913280644781,1123206
"163",529.305205931594,1091698.8
"164",536.884046200373,2130211.8
