"","exp_mass","abundance"
"2",112.98560742012,2116310.3
"3",126.905029319824,6504729
"5",174.889773606833,873132.4
"6",188.905453739107,780569.3
"7",191.128838077361,926676.5
"9",203.98860903378,829275.6
"11",203.990750034106,777867.7
"12",203.99255103438,1059907.8
"13",211.882595234731,868082.3
"14",219.027447321712,3627725.5
"15",226.978448531337,977486.4
"17",240.897868648966,1341281.6
"18",241.072154675481,927393.4
"22",246.936182567604,881513.1
"23",248.080019741621,5306799
"24",248.581710817946,1536433.8
"25",248.938976872299,980916
"26",248.960379875555,2214580.3
"27",250.94240517709,928067.9
"28",254.817298766596,1094256.4
"29",255.231732829646,815606.1
"32",262.879832993189,5052800.5
"34",265.14789133824,2279348.3
"37",271.84386035693,2645349.3
"38",276.799269110821,24724988
"39",279.163567470513,889928.3
"42",292.773215541015,1190442
"43",297.152973207329,14600397
"45",299.875160621468,1669937.9
"46",305.977302549817,899729.9
"47",305.984387550895,789266.2
"48",305.986093551154,1070098.3
"49",305.991967552048,895186.5
"50",309.174083036159,738308.3
"51",311.168642339601,23687882
"53",313.164410643227,1239182.8
"54",325.182299471567,820886.9
"55",325.184280471868,11939991
"57",327.906452886005,1902059.5
"58",339.199933604138,1875133.5
"59",344.713308442914,1780573.3
"60",362.969640220339,1219302.4
"61",372.795546715202,1528452.4
"62",379.569953745825,732110.9
"63",379.57609974676,752591.1
"64",380.71396991987,15487730
"65",386.71495883283,9941930
"66",400.489621928436,694238.9
"67",431.088449583585,2038264.9
"68",432.091758736223,778589.3
"69",436.648903429524,9712197
"70",444.643115645722,3638647
"71",446.640030949523,1976006.4
"72",448.638904253621,1463319.3
"73",455.938349364121,940171.7
"74",485.282673828416,4303179
"75",486.285892981041,1385610.3
"76",560.679029298831,768879.4
