"","abundance","exp_mass","formula","R_mass","recal_err"
"1",731460.7,305.045731,"C18H10O5",305.045538448224,0.0279634181674906
"2",906918.6,315.066551,"C20H12O4",315.066352122855,0.221232861564847
"3",1453388.5,317.0458,"C19H10O5",317.045599873508,0.166837758437551
"4",916238.4,317.082187,"C20H14O4",317.08198685054,0.171460100743673
"5",1790004.9,319.024992,"C18H8O6",319.024790624198,0.0655517742074606
"6",2095414.9,319.061441,"C19H12O5",319.06123960119,0.133388361035918
"7",1642528,321.004159,"C17H6O7",321.003956374903,0.372956128500669
"8",2934818,321.040681,"C18H10O6",321.040478351849,0.0521778747304616
"9",3363728,323.019961,"C17H8O7",323.019757102483,0.0957939720157536
"10",2172801.3,324.999188,"C16H6O8",324.99898285315,0.0241985067525681
"11",3505667.5,325.035596,"C17H10O7",325.035390830168,0.044940425586647
"12",2851191.8,327.014823,"C16H8O8",327.014616580835,0.074004652331535
"13",742200.8,327.03006,"C20H8O5",327.029853571217,0.132536270174704
"14",2854778,327.051245,"C17H12O7",327.051038557845,0.0375204596095334
"15",1577978.9,327.066508,"C21H12O4",327.06630154821,0.0584846911865825
"16",2615538,329.030491,"C16H10O8",329.0302833085,0.0229059156839524
"17",1954162.9,329.045812,"C20H10O5",329.045604298829,0.174202293541796
"18",2159220.3,329.066917,"C17H14O7",329.066709285507,0.100085998907223
"19",1427957.1,329.082228,"C21H14O4",329.082020275842,0.266779162526404
"20",1810286.3,331.025075,"C19H8O6",331.024866049473,0.164678390901148
"21",2204399.8,331.046145,"C16H12O8",331.045936036173,0.0147196080534377
"22",2610032.5,331.061421,"C20H12O5",331.061212026531,0.0452616948373112
"23",1246322,331.082562,"C17H16O7",331.082353013186,0.0803390700215708
"24",1194098.9,331.097828,"C21H16O4",331.09761900355,0.110106844121125
"25",1190573.5,333.004187,"C18H6O7",333.003976800213,0.298179914772816
"26",3301359.8,333.040688,"C19H10O6",333.040477777173,0.0485722744706185
"27",1500657.3,333.061848,"C16H14O8",333.061637763816,0.140487457351769
"28",2197490.3,333.077049,"C20H14O5",333.076838754221,0.0250744511909517
"29",3650674.8,335.019925,"C18H8O7",335.019713527833,0.037703172602757
"30",3654261.3,335.056377,"C19H12O6",335.056165504824,0.160690649399946
"31",806326.7,335.07734,"C16H16O8",335.077128491592,0.335877924078721
"32",2384377.5,336.999238,"C17H6O8",336.999025278446,0.102554628459842
"33",3974652,337.035617,"C18H10O7",337.035404255483,0.0831738891273998
"34",3428998.3,339.014859,"C17H8O8",339.014645006141,0.012461705638074
"35",3465096.8,339.051236,"C18H12O7",339.051021983179,0.0126929607071919
"36",3225878.5,341.030526,"C17H10O8",341.030310733806,0.0583190598139125
"37",1568279.6,341.045758,"C21H10O5",341.045542724191,0.0124738437020967
"38",2400537,341.066864,"C18H14O7",341.066648710869,0.0810389090741119
"39",1447194.3,341.082222,"C22H14O4",341.082006701174,0.217594446443657
"40",1327400.8,343.025005,"C20H8O6",343.024788474846,0.0672312718067087
"41",2535082.3,343.046078,"C17H12O8",343.045861461544,0.231594333635622
"42",2167467.5,343.061454,"C21H12O5",343.061237451838,0.117791515392663
"43",1766829,343.082547,"C18H16O7",343.082330438524,0.0117294989722718
"44",968814.1,343.097775,"C22H16O4",343.097558428912,0.0702964104063236
"45",885373.1,345.004237,"C19H6O7",345.00401922551,0.164838140803719
"46",2904639.8,345.040703,"C20H10O6",345.040485202491,0.0684031411871524
"47",1989057.5,345.061831,"C17H14O8",345.061613189155,0.0643836216040577
"48",2171202.5,345.077041,"C21H14O5",345.076823179554,0.0693363989803975
"49",739908.2,345.098142,"C18H18O7",345.097924166235,0.151585662501436
"50",3209431.5,347.019965,"C19H8O7",347.019745953136,0.0570399746606184
"51",3487450.3,347.056294,"C20H12O6",347.056074930205,0.105845233921217
"52",1139675.9,347.077426,"C17H16O8",347.077206916866,0.0983059971959786
"53",1402333.1,347.092807,"C21H16O5",347.092587907157,0.26142142963707
"54",1823218.1,348.999183,"C18H6O8",348.998962703809,0.0802690884148577
"55",4449653,349.035608,"C19H10O7",349.035387680817,0.0328272653000778
"56",2639479.8,349.071997,"C20H14O6",349.071776657847,0.0427694500843863
