"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",2601668.3,429.082645692468,"C21H18O10","O10","CHO",21,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,430.089922144628,429.08272034504,-0.173574333638421,0.17,429,428.603528177042,0.396471822958119,13,0.476190476190476,0.857142857142857,3,33.0838459074769,31,0.9,44,0.4,0,0,0,0,0,0,"Unambiguous"
"2",3151278.5,415.066942225962,"C20H16O10","O10","CHO",20,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416.074218678122,415.06707028124,-0.307770279135725,0.31,415,414.603474770236,0.396525229763711,13,0.5,0.8,3,32.0057189794923,30,0.9,42,0.4,0,0,0,0,0,0,"Unambiguous"
"3",1184312,367.024722891852,"C22H8O6","O6","CHO",22,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,368.031999344012,367.02481153684,-0.240862176569476,0.24,367,366.614899807424,0.385100192576033,19,0.272727272727273,0.363636363636364,13,28.3101606145385,28,1,46,0.2,0,0,0,0,0,0,"Unambiguous"
"4",1797574.4,355.024773618013,"C21H8O6","O6","CHO",21,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356.032050070173,355.02481153684,-0.106503970431926,0.11,355,354.628349784147,0.37165021585281,18,0.285714285714286,0.380952380952381,12,27.3870836914615,27,1,44,0.2,0,0,0,0,0,0,"Unambiguous"
"5",1050436.8,339.029886792401,"C21H8O5","O5","CHO",21,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340.037163244561,339.02989691454,-0.0297677445967241,0.03,339,338.651322992056,0.348677007944161,18,0.238095238095238,0.380952380952381,13,26.1567056435923,26,1,44,0.2,0,0,0,0,0,0,"Unambiguous"
"6",1563622.1,327.029814178853,"C20H8O5","O5","CHO",20,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328.037090631013,327.02989691454,-0.252214428811347,0.25,327,326.664649766792,0.335350233208203,17,0.25,0.4,12,25.2336287205154,25,1,42,0.2,0,0,0,0,0,0,"Unambiguous"
"7",758041.4,663.151080571418,"C37H28O12","O12","CHO",37,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,664.158357023578,663.15079990864,0.422584124896604,0.42,663,662.410600150536,0.589399849464485,24,0.324324324324324,0.756756756756757,12,51.0890827969846,49,1,76,0.4,0,0,0,0,0,0,"Unambiguous"
"8",773369.2,655.145588726823,"C35H28O13","O13","CHO",35,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,656.152865178983,655.14571453094,-0.191729889869564,0.19,655,654.414047309652,0.585952690347881,22,0.371428571428571,0.8,9,50.4733069987,48,1,72,0.4,0,0,0,0,0,0,"Unambiguous"
"9",963060.3,649.135384104898,"C36H26O12","O12","CHO",36,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,650.142660557058,649.13514984484,0.360321007028614,0.36,649,648.4105537359,0.589446264099479,24,0.333333333333333,0.722222222222222,12,50.010955869,48,1,74,0.4,0,0,0,0,0,0,"Unambiguous"
"10",876065.6,643.145939443672,"C34H28O13","O13","CHO",34,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,644.153215895832,643.14571453094,0.349160302839716,0.35,643,642.42779694209,0.57220305790986,21,0.382352941176471,0.823529411764706,8,49.5502300756231,47,0.9,70,0.4,0,0,0,0,0,0,"Unambiguous"
