"","exp_mass","abundance"
"4",217.050521784175,762067.6
"5",219.029756575463,781493.3
"9",229.050488392906,1060703.5
"11",237.055582459684,837104.9
"12",239.034860250925,1185319
"20",248.960234174782,1122617.4
"22",251.034794859692,1094474.8
"23",251.071226819036,971853.3
"25",253.05047461031,1518870.4
"29",257.045403152201,1505574.6
"34",261.055577677078,855346.7
"37",265.05047851587,1522809.4
"38",267.029725033067,1710842
"39",267.066115987418,1300412.4
"41",269.045356504623,1844604.3
"43",271.024672021733,1374651.4
"45",273.003883538974,844666
"47",275.019549010487,786106.3
"49",279.029670980117,1015288.4
"50",279.066062934467,973562.7
"51",281.045398451552,1307191.6
"52",283.024638968757,1322292.5
"53",283.061014923126,1264886.8
"54",285.040300440275,1194739.6
"55",287.019529957493,801584.4
"57",293.045389398546,1257389.5
"58",293.0817773529,753199.9
"60",295.061010870114,1122605.8
"62",297.040284387277,1262700.1
"66",301.050437356868,928046.2
"72",305.932594232602,1123564.8
"73",306.053188081327,758004.8
"77",308.032523598413,792119.6
"81",310.048157069966,886526.1
"85",311.092337760126,1148420.3
"86",312.027451587103,782755.4
"89",313.050462303819,1497480.8
"93",314.058319039546,1063629.4
"97",315.066088512643,2736786.5
"99",315.102462459942,1155861
"100",316.037527105162,1097045.4
"101",316.061360070632,921559
"102",316.07389505247,984535.9
"107",317.081753592222,2714781.8
"109",318.016776237503,874910.8
"110",318.040494203139,911520.5
"111",318.053207184719,1738209.4
"112",318.076989150263,1013667.1
"113",318.089572132032,806307.9
"117",319.061018724539,5447336
"119",319.097396671833,1965354.5
"120",320.032491317009,2076012.5
"121",320.056163282712,1226478.1
"122",320.064443270715,1160174.8
"123",320.068869264303,1545199
"127",321.055512834792,831797
"130",321.091865782122,1215479.6
"133",322.011763449317,1406841.3
"134",322.03553841487,1267322.9
"136",322.048174396562,2592763.8
"137",322.063364374554,1113788.9
"138",322.071924362152,1378685.5
"140",322.084444344012,986622.4
"141",322.983196041845,1515198.9
"145",323.071181914365,2249541.3
"146",323.077050905862,1560645.6
"148",323.107636861547,1156807.9
"150",323.128675831065,1010825.4
"151",324.014857547109,890889.4
"153",324.027379528967,2526218.3
"154",324.051255494374,1497996.1
"156",324.063770476241,1857549
"157",324.074589460566,765261.8
"158",324.07899045419,1257422.1
"159",324.087515441838,884494.7
"168",326.006712661186,1445018.8
"169",326.030540626662,1095196.5
"171",326.043072608505,1760285.4
"172",326.045453605055,769757.6
"173",326.05823958653,1893406.5
"174",326.066913573963,1333151.1
"176",326.079569555626,815008.1
"177",326.082089551975,1001824.3
"178",326.094735533653,883041.3
"179",326.978083253804,936930.4
"183",327.066112126262,4420329
"184",327.071923117843,1076393.3
"186",327.102486073561,2154859.5
"187",327.123601042968,1281133.1
"189",328.022338740821,1280815.9
"190",328.037545718788,1528753
"191",328.046190706263,1226481.6
"193",328.058862687903,1129330.5
"194",328.061357684288,1339762.8
"195",328.06945267256,1002483.3
"196",328.07393866606,2196531.8
"197",328.082498653658,1009396.3
"198",328.097703631628,998901.4
"203",329.06871222477,780030.1
"206",329.118120153185,1373185.8
"207",330.025543838453,776134.1
"209",330.0380728203,966087
"210",330.040524816748,1201863.3
"212",330.053207798372,3069128.3
"213",330.061813785903,942792.8
"214",330.077052763824,1375562
"216",330.089572745684,1507914.9
"220",331.047994357063,839699.6
"222",331.076346315985,1057173.8
"224",331.097378285512,3569943.3
"227",332.03256893055,2679134.8
"228",332.056226896273,1794144.6
"230",332.068887877929,2370657.5
"231",332.092670843471,1026083.4
"232",332.100750831764,853988.1
"233",332.105265825222,834660.4
"237",333.055538448408,869741.6
"239",333.063680436612,776238.2
"241",333.091926395687,1328560.4
"245",334.011813062898,1877495.6
"246",334.035557028496,1685369.5
"248",334.048168010225,3420922.5
"249",334.063332988253,754171.7
"250",334.072001975693,1616892.4
"252",334.084540957525,1489789.4
"253",334.099751935487,754238.5
"254",334.108257923163,783743.2
"258",335.071246527925,2101962.3
"261",335.10756147531,1173581.3
"262",335.113435466799,1097933.6
"263",335.128663444736,1191118.9
"264",335.991262194949,781714.7
"265",336.014839160789,1037716.6
"267",336.027439142534,2904725.5
"268",336.051247108039,1645207.4
"270",336.063762089907,2456472.5
"271",336.078939067917,1399577.6
"272",336.087638055314,1204954.3
"275",337.019948704524,824164.1
"277",337.050608660102,1914086.5
"280",337.086809607652,2525161.5
"283",337.123164554978,839660.3
"284",337.129104546372,863148.8
"285",338.006744274793,1267186.8
"286",338.030518240348,1426612.6
"288",338.043082222144,2334005.5
"289",338.058313200077,1619894.9
"290",338.066881187663,1553847.5
"292",338.07943116948,1177016.5
"293",338.081986165778,855800.7
"294",338.094663147411,912313.8
"295",338.978221867256,1811072.6
"303",339.102471687235,2334986.5
"307",340.022343354468,1579092.8
"308",340.03765033229,1210518
"309",340.046164319954,1654742.8
"311",340.058734301742,1538903.8
"312",340.06132429799,1247448
"314",340.073946279702,2126681
"315",340.082583267188,1021913.7
"320",341.051151863866,1288936.4
"324",341.102841788974,2382508.5
"326",342.025504452163,807415.9
"328",342.038023434025,1380856.9
"329",342.040612430274,979385.1
"330",342.053260411949,2295034.3
"331",342.061930399387,1233338.9
"333",342.074461381231,826171.9
"334",342.076983377577,1506428.1
"336",342.089565359348,1485693.1
"337",342.973203079078,799685.8
"341",343.056954957734,759244.7
"343",343.076301929702,1016270.3
"345",343.097391899146,3396816
"348",344.032559544217,1902109.3
"349",344.041176531732,885470
"351",344.053803513437,995743.1
"352",344.056281509847,1772831.3
"354",344.068906491555,2282912.3
"355",344.077547479036,838945
"356",344.092708457069,1225250.3
"357",344.100799445347,813346.9
"358",344.105273438865,779427.3
"363",345.072625037305,794035.8
"365",345.091918009352,1180277.4
"367",345.113038978751,2225527
"369",346.011904676419,1121154.3
"370",346.035597642091,1569348.3
"372",346.048216623807,2912453.3
"373",346.071972589388,1787463.3
"375",346.084541571178,1846344.4
"376",346.108350536682,872650.3
"381",347.071228141605,1685531.3
"384",347.107576088942,1055198.3
"387",348.014935774302,902250.9
"389",348.027550756025,2765676
"390",348.051209721746,2102510
"392",348.063824703469,2537839
"393",348.078943681564,1119600.4
"394",348.087655668941,1311537.1
"396",348.1001766508,865010.1
"400",349.050561273824,1359042.8
"402",349.06773624894,802884.3
"404",349.086859221233,2396870
"408",350.006781888392,1546772.4
"409",350.030476854061,1535510.4
"411",350.043046835849,2811671.5
"412",350.05829281376,1406360.8
"413",350.066803801428,1527321.5
"415",350.079565782938,1392346.6
"416",350.09465176108,1000603.9
"417",350.103178748726,955740.6
"418",350.978150481013,771751.6
"422",351.066143353523,2958447.3
"425",351.102528300806,2147954.3
"429",352.022323968149,2066753.5
"430",352.037691945883,835074.8
"431",352.046179933585,1601347.6
"433",352.058796915305,1887172.6
"434",352.069673899545,976709.6
"435",352.073878893453,1910854
"436",352.08253588091,1380038.6
"438",352.097617859058,781832
"449",354.001795100168,802733.1
"450",354.025385065989,1011887.2
"452",354.038057047629,1685232.3
"453",354.053278025576,1940465.6
"454",354.061800013229,1393522.4
"456",354.074474994865,994931.4
"457",354.076945991285,1356787.6
"459",354.089657972867,1475828.8
"460",354.098130960591,763125.5
"465",355.06687055702,1316042
"469",355.11852548218,1490510.6
"471",356.032527157917,1611806.8
"472",356.041170145395,1178975.5
"474",356.053669127285,1138912.5
"475",356.056308123462,1476512.8
"477",356.068895105225,2649890
"478",356.077544092694,952034.6
"479",356.092752070659,1321252
"481",356.105281052507,1018981.1
"486",357.072798650707,845050.3
"488",357.091978622918,1149820
"492",358.011872290119,1016205.3
"493",358.035613255721,916367.3
"495",358.048206237476,2771920.5
"496",358.056799225026,1021265.2
"498",358.071880203175,1677138.5
"500",358.084500184891,1641683.6
"501",358.108254150475,759189.8
"502",358.875881038289,814745.9
"507",359.071261755209,1405867.3
"510",359.107538702649,1067118.5
"514",360.027450369824,2538880.3
"515",360.051255335334,1976066.5
"517",360.063849317087,2679683.5
"518",360.078844295361,877572.9
"519",360.087636282623,1390341.8
"521",360.100175264455,907462.8
"525",361.05057988745,907739.8
"527",361.067709862631,792093.3
"529",361.086859834885,2202207
"534",362.006862501928,1262001.5
"535",362.030570467579,1303987.8
"537",362.0431174494,2552372.8
"538",362.058093427702,863094.1
"539",362.066928414901,1721911
"541",362.079536396634,1571384.1
"542",362.094581374836,929145.4
"543",362.103230362304,913338.2
"544",362.978150094666,791752.9
"548",363.066190967107,2328337
"551",363.10252791446,1819668.1
"555",364.022439581635,2127463.3
"556",364.046140547295,1912809.4
"558",364.058792528964,2092906.5
"559",364.073928507034,1674091.9
"560",364.082606494461,1283436.6
"562",364.095195476221,882477.8
"565",365.045379101237,2128708
"566",365.051189091816,2044868.5
"568",365.081790042198,3191623.3
"570",365.102814008109,3007049
"571",365.118172983206,1324362.5
"574",366.001612550762,974746.8
"575",366.025479512064,1131997
"577",366.038055491672,1850398.1
"578",366.053114467255,1736095.5
"579",366.061751453251,1702944.3
"581",366.076876428727,1253601.6
"582",366.085030415505,768738.4
"583",366.089532408206,1070114.8
"584",366.098258394057,800803.6
"585",366.973194975401,1107827.4
"598",368.017321282414,1176082.8
"599",368.032497257807,1368916.3
"600",368.041008244007,1263189
"602",368.056233219321,1232214.4
"604",368.068825198903,2249047.5
"605",368.077539184774,1152920.3
"607",368.092464160574,1194649.6
"609",368.1050911401,989018.8
"613",369.046108614298,998577.1
"615",369.072422571632,768179.6
"616",369.076601564856,5351604
"617",369.082360555518,1171316.5
"618",369.091823540174,1151029.3
"621",369.134143471555,1172601.3
"623",370.035515010036,1122444.1
"625",370.048096989635,2641421.3
"626",370.056619975816,1321358
"628",370.071833951147,1534223.4
"629",370.080205937573,1119248.1
"630",370.084531930558,1685776.6
"631",370.093247916426,850833.4
"632",370.108146892268,940562.8
"633",370.788736788733,1503697.5
"637",371.052001361866,771561.8
"640",371.071182330765,931947.5
"642",371.09230829651,4474221.5
"643",371.107499271879,992622.9
"645",371.128685237527,1228272.9
"646",372.027405780307,1917763.9
"648",372.051119741856,1446598.1
"650",372.063807721284,2599367.3
"651",372.072354707425,844744.1
"652",372.078612697278,847688.6
"654",372.087513682846,1621193.4
"655",372.095798669412,1027914.2
"656",372.100075662477,1125834.6
"657",372.998854205163,1275421.9
"661",373.067444093949,777188.2
"663",373.086875062442,1733414
"667",374.006753570916,967611.4
"668",374.030446532499,1391997.6
"670",374.043084512007,2631550.8
"672",374.066847473477,1702017
"674",374.079497452966,1794178.1
"675",374.094279428998,755139.6
"676",374.103223414496,1002244.4
"677",374.978156995844,1424469.8
"681",375.066120853216,1890270
"684",375.1024567943,1758561.4
"686",375.123592760029,1904355.4
"689",376.022384302694,1954615.1
"690",376.046121264206,1684025.4
"692",376.058756243719,2231610.5
"693",376.073720219456,1249980
"694",376.082516205193,1383484.8
"696",376.095201184626,1029629.9
"700",377.045493643784,1238550.8
"703",377.081732585025,3179418.3
"705",377.102866550758,3504796
"706",377.118087526078,1454621.5
"707",377.123962516552,874398.1
"709",378.001674093396,1028144.3
"710",378.02534805501,1180082.5
"712",378.038023034459,2017395.6
"713",378.052996010181,1314677
"714",378.061717996039,1803253.9
"716",378.07442797543,1567671
"717",378.084947958373,791736.1
"718",378.089438951091,1219192.5
"719",378.098271936769,920633.3
"723",379.061058375669,3087443.5
"726",379.097346316831,2826327
"729",379.133903257556,852506.4
"732",380.017307825169,1403053.4
"733",380.041064786649,1300399.6
"735",380.053733766107,1485872.9
"736",380.064410748795,1066737.9
"737",380.068779741711,1825970.3
"738",380.077475727611,1399987.1
"740",380.09235170349,1054580.5
"741",380.10080768978,865845.3
"742",380.105045682908,1017141.7
"748",381.076648107514,4723473
"750",381.091763083006,764626.6
"751",381.097770073266,3383315
"756",382.033026556805,1102059.3
"757",382.048160532266,1994348.8
"758",382.05675551833,1159981.5
"760",382.071746494023,1496174.9
"761",382.080068480529,1257583.8
"762",382.084451473422,1822192.1
"763",382.09305645947,940464.9
"765",383.019527957253,1884104.4
"769",383.071107873619,768653.3
"771",383.092260839321,4217295
"773",383.107416814747,948688.7
"776",384.027374323092,1696167.6
"777",384.035952309183,846952.4
"779",384.051022284748,1515241.9
"781",384.06378126406,2528811
"782",384.072334250192,1097643.9
"784",384.087469225652,1416941.4
"785",384.095758212211,1089198.1
"786",384.10018720503,1047598.5
"787",384.93493385154,1523709.5
"788",384.998804747977,837059.6
"792",385.067836636046,798346.1
"794",385.086800605297,1444491.9
"797",385.129022536837,1348367.9
"798",386.030458075214,1088997.3
"800",386.043058054784,2534886.5
"801",386.066765016344,1891816.8
"803",386.079448995778,1989738
"804",386.088119981719,777642.8
"805",386.103140957363,1135724.3
"809",387.065986396168,1379911.5
"812",387.102426337083,1758667
"813",387.108314327536,1891787.5
"815",388.022387845422,1764258.4
"816",388.046068807024,1647012.6
"818",388.058731786492,2614437.8
"819",388.067609772097,790022.6
"820",388.073612762364,1089831.3
"821",388.082485747977,1667624
"823",388.095146727448,1264873.3
"824",388.993861270237,2211838.8
"827",389.045319186801,846211.6
"830",389.081724127773,2481927
"833",389.11811306877,1233930.5
"836",390.001711636069,890142.5
"837",390.025341597755,1150048.8
"839",390.038016577203,2317666
"840",390.052815553207,758499.4
"841",390.061806538629,1517156.3
"843",390.074573517928,1472869.5
"844",390.085159500763,795430.5
"845",390.089340493984,1375078.9
"846",390.098158479686,1271399.8
"848",390.973129060975,1170107
"852",391.060955918569,2526147.3
"855",391.097371859523,2722246.8
"858",391.13369980062,800586.3
"860",392.01726636797,1538846.4
"861",392.041241329096,1374624.8
"863",392.053847308657,1812385.9
"864",392.068716284547,1555491.4
"865",392.07747227035,1379172.1
"867",392.092282246337,1130661.6
"868",392.105026225673,1101990.8
"869",392.113893211296,791719.6
"872",393.040300709183,1883519.9
"875",393.076667650216,3799939.5
"878",393.11300959129,1746950.9
"881",394.020292120187,840541.3
"883",394.03303809952,1211934.5
"884",394.048085075122,1538528
"885",394.056851060908,1254112.8
"887",394.071581037025,1218930.3
"888",394.080110023195,997027.1
"889",394.084367016293,1704419.4
"890",394.093069002183,1142756.3
"892",394.10824297758,964517.8
"894",395.019466500086,1275196.6
"904",396.027314865922,884252.8
"905",396.035924851961,899229.6
"907",396.050520828295,1216719
"909",396.063660806989,2306976.3
"910",396.072407792806,1299617.1
"912",396.087437768436,1432354.5
"914",396.10020174774,1047971.8
"921",397.086529148471,1314945.9
"926",398.030527617835,942299.9
"928",398.043073597492,2283613
"929",398.051607583655,932829.9
"931",398.066828558975,1911135.4
"933",398.079483538456,1995104.6
"934",398.088055524557,827041.4
"935",398.094197514598,796642
"936",398.103124500123,1159906.9
"941",399.065819939172,956798.7
"943",399.083623910304,889984.4
"944",399.087189904522,4999616.5
"945",399.102312880001,1500994.1
"948",400.02237238818,1681434
"949",400.046053349783,1403676.3
"951",400.058731329227,2582557.5
"952",400.067469315058,804382.3
"953",400.073384305468,778654.8
"954",400.082431290798,1522719.6
"955",400.090950276985,1168672.5
"956",400.09529526994,1236000.9
"957",400.118807231817,823907.2
"958",400.993893812918,1145078.6
"963",401.081747670468,1988223
"966",401.118044611615,1083970.5
"969",402.025431140343,1022425
"971",402.038056119872,2235610.3
"972",402.061786081396,1589340.5
"974",402.074501060779,1807453.8
"975",402.089317036756,1042527.1
"976",402.098105022507,1186272
"981",403.060926461351,1838651.8
"984",403.097353402287,2161727.3
"987",403.133708343339,853506.6
"989",404.017191910825,1295510.9
"990",404.040974872262,1359641.1
"992",404.05378585149,1927194.4
"993",404.068654827381,1244059.8
"994",404.077364813258,1659420.6
"996",404.090624791758,1131613.9
"997",404.100904775089,829150.8
"998",404.104984768474,1123103.3
"999",404.113790754196,1033312.1
"1000",404.97201936263,988209.8
"1001",404.988735335526,1634931.4
"1003",405.040096252248,1234424.3
"1006",405.076671192944,2832123.8
"1009",405.113003134034,2220415.3
"1012",406.020386662767,897045.6
"1014",406.032886642499,1589334.8
"1015",406.047970618041,1268056.3
"1016",406.056728603841,1381209
"1018",406.06967458285,1261754.3
"1019",406.080216565756,970523.3
"1020",406.08437755901,1526107.6
"1021",406.093088544885,1113308.5
"1023",406.10781352101,807357.9
"1027",407.055845983833,3335864
"1030",407.092363924621,3112379.5
"1032",407.10720990055,797308.9
"1034",407.128736865645,1354687
"1036",408.012330432952,809171
"1037",408.035962394634,812565.2
"1039",408.048802373815,1211574.4
"1040",408.059490356485,1018583.4
"1041",408.063658349727,1820695.9
"1042",408.072248335799,1265176.6
"1044",408.087296311399,1314458.1
"1045",408.095915297424,907290.9
"1046",408.099894290972,1231387.3
"1054",409.086570691137,946873
"1056",409.107903656547,2864763
"1060",410.028326164138,830514.3
"1062",410.042961140408,1971795.6
"1063",410.051691126253,995476.5
"1065",410.066566102134,1631189.9
"1067",410.079385081349,1613911.1
"1068",410.087983067408,878359.9
"1069",410.103198042738,905881.4
"1071",411.01434456537,1830575.8
"1074",411.065980481645,809076.6
"1078",411.102317422727,1190712.1
"1082",412.022359930934,1155855.1
"1083",412.045920892732,1342737.4
"1085",412.058709871995,2613650.5
"1086",412.067152858305,880979.3
"1088",412.082397833586,1751572.8
"1090",412.094869813364,1321750
"1091",412.993604356121,772906.9
"1095",413.062976243639,834033.5
"1097",413.081583213468,1514227.3
"1100",413.117997154425,1125494.6
"1103",414.025451683043,991052.3
"1105",414.037969662746,2030413.5
"1107",414.061845624033,1654735.8
"1109",414.074338603776,1851985
"1110",414.089196579685,842578.3
"1111",414.098025565369,1109331.1
"1114",415.030917052743,1995563.1
"1116",415.060724237733,1239853.9
"1118",415.082049197362,5503408
"1119",415.097243168598,1916849.4
"1121",415.118486128383,2131123.3
"1122",415.133833099329,763636.8
"1123",415.154734059761,820534.8
"1124",416.01722342696,1483015.9
"1125",416.041001381945,1359242.1
"1127",416.05353335822,2282635.3
"1128",416.068301330263,980620.8
"1129",416.0773673131,1707661.5
"1130",416.085721297284,1358734.4
"1131",416.089979289224,1056334.8
"1132",416.113646244419,815953
"1133",416.988652587922,1512931.1
"1136",417.061344450307,6486634
"1137",417.072441429299,1106539
"1138",417.076406421793,2744939.5
"1140",417.097696381488,4007533.5
"1141",417.112976352561,1801326.9
"1144",418.020260634958,796099.9
"1146",418.032765611284,1573061.1
"1147",418.056665566038,1336263.4
"1148",418.064814550611,1701576.1
"1149",418.06933154206,1597128.5
"1150",418.080287521319,756937.6
"1151",418.08407951414,1316809.9
"1152",418.092886497468,1141066.8
"1153",418.101628480918,1053067.6
"1154",419.004227772184,2816032
"1157",419.055733674677,2333989
"1160",419.092176605686,3039528.3
"1161",419.098130594414,1560360.9
"1162",419.113410565487,2407210.3
"1163",419.128424537064,1200299.6
"1165",420.012193863977,813950.3
"1166",420.035882819131,1065920.5
"1168",420.048427795382,1252673.6
"1169",420.063417767004,1530371
"1170",420.072393750011,1275011.9
"1172",420.087326721741,1103749.3
"1173",420.096046705233,955590.1
"1174",420.099882697971,1124102.5
"1175",420.10857268152,945415.3
"1176",420.983497025178,1088088.9
"1178",421.034895927873,1756125.6
"1179",421.040970916372,1194462.1
"1181",421.071575858433,3819489
"1184",421.107936789597,2431972.5
"1186",421.129004749713,1514086.4
"1188",422.027741048292,950394
"1189",422.042827019732,1422267.4
"1190",422.051444003419,990780.2
"1192",422.066236975414,1331837.6
"1193",422.074934958948,1068542.4
"1194",422.079129951006,1764670.8
"1195",422.087914934375,900159.6
"1197",422.10307790567,1191809
"1198",422.115595881972,768194.1
"1200",423.014126180941,1098517.5
"1202",423.050802111509,3850905
"1205",423.08718004264,4102556.3
"1206",423.09299603163,793500.9
"1207",423.102086014422,984733.8
"1208",423.108312002635,2443934.3
"1209",423.123535973814,1726751.8
"1211",424.022286272367,856114.9
"1213",424.046009227456,1174133.1
"1214",424.054320211722,1101109.9
"1215",424.058535203743,2137846.3
"1216",424.06704118764,960375.1
"1218",424.082273158804,1485688.5
"1219",424.090724142805,1086585.3
"1220",424.094912134877,1191929.6
"1221",424.118904089457,805819.9
"1223",425.029965364703,3450192
"1226",425.072276284603,755412
"1227",425.081505267131,1111124.9
"1229",425.102800226817,3438678.8
"1230",425.117831198362,1000408.2
"1232",425.139137158027,1302490.1
"1233",426.033607464682,755244.6
"1234",426.038021456326,1815597
"1236",426.061505411868,1656751.1
"1238",426.074173387886,1964464.3
"1239",426.088833360132,838577.6
"1240",426.098060342665,1170546.5
"1241",426.106524326641,953907.3
"1242",426.110746318648,836787.7
"1245",427.045667548725,5846537.5
"1246",427.060632520394,932619
"1249",427.097185451195,1579790.4
"1252",427.133571382312,779537.7
"1253",427.139577370942,1071506.3
"1254",427.15479134214,806035.6
"1255",428.017174709539,1207650.8
"1256",428.040895664632,1326180.9
"1257",428.049130649043,1408229.6
