"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",1330501.4,581.093967321214,"C28H22O14","O14","CHO",28,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,582.101243773374,581.09367896184,0.495376667292301,0.5,581,580.445112606051,0.554887393949116,18,0.5,0.785714285714286,4,44.7769965703077,42,0.9,58,0.4,0,0,0,0,0,0,"Unambiguous"
"2",742478.2,491.046695051387,"C21H16O14","O14","CHO",21,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,492.053971503547,491.04672877044,-0.0685271433105346,0.07,491,490.498387924885,0.501612075114735,14,0.666666666666667,0.761904761904762,0,37.8503080940462,35,0.9,44,0.4,0,0,0,0,0,0,"Unambiguous"
"3",1422510.6,383.019577551485,"C22H8O7","O7","CHO",22,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,384.026854003645,383.01972615914,-0.386972039956421,0.39,383,382.591894469453,0.408105530547061,19,0.318181818181818,0.363636363636364,12,29.5405386624077,29,1,46,0.2,0,0,0,0,0,0,"Unambiguous"
"4",1958352.6,381.040290990247,"C23H10O6","O6","CHO",23,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382.047567442407,381.04046160064,-0.446568457093371,0.45,381,380.614817997272,0.385182002728243,19,0.260869565217391,0.434782608695652,13,29.3882875425231,29,1,48,0.2,0,0,0,0,0,0,"Unambiguous"
"5",747848.4,367.024761340474,"C22H8O6","O6","CHO",22,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,368.032037792634,367.02481153684,-0.136391295528565,0.14,367,366.614938213114,0.385061786886126,19,0.272727272727273,0.363636363636364,13,28.3101606145385,28,1,46,0.2,0,0,0,0,0,0,"Unambiguous"
"6",1203361.8,355.024833188845,"C21H8O6","O6","CHO",21,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356.032109641005,355.02481153684,0.0608147531892059,0.06,355,354.628409288462,0.371590711538317,18,0.285714285714286,0.380952380952381,12,27.3870836914615,27,1,44,0.2,0,0,0,0,0,0,"Unambiguous"
"7",1874331.4,353.045569680823,"C22H10O5","O5","CHO",22,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,354.052846132983,353.04554697834,0.0641217348938956,0.06,353,352.651355843755,0.348644156245484,18,0.227272727272727,0.454545454545455,13,27.2348325715769,27,1,46,0.2,0,0,0,0,0,0,"Unambiguous"
"8",728215.6,339.029847163395,"C21H8O5","O5","CHO",21,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340.037123615555,339.02989691454,-0.146310922334077,0.15,339,338.6512834073,0.348716592699816,18,0.238095238095238,0.380952380952381,13,26.1567056435923,26,1,44,0.2,0,0,0,0,0,0,"Unambiguous"
"9",1096297.4,327.029800412628,"C20H8O5","O5","CHO",20,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328.037076864788,327.02989691454,-0.294179891860876,0.29,327,326.664636015939,0.335363984061019,17,0.25,0.4,12,25.2336287205154,25,1,42,0.2,0,0,0,0,0,0,"Unambiguous"
"10",821039,787.130845266919,"C42H28O16","O16","CHO",42,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,788.138121719079,787.13045839784,0.490864568122517,0.49,787,786.251927933193,0.748072066806571,29,0.380952380952381,0.666666666666667,13,60.6259796038462,58,1,86,0.3,0,0,0,0,0,0,"Unambiguous"
"11",749661.8,747.13530010126,"C40H28O15","O15","CHO",40,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,748.14257655342,747.13554377554,-0.325705671741566,0.33,747,746.30104215057,0.698957849430258,27,0.375,0.7,12,57.5494477098231,55,1,82,0.3,0,0,0,0,0,0,"Unambiguous"
"12",922792.6,717.125228001106,"C39H26O14","O14","CHO",39,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,718.132504453266,717.12497908944,0.346609663823091,0.35,717,716.324479565021,0.675520434979262,27,0.358974358974359,0.666666666666667,13,55.2409427339692,53,1,80,0.3,0,0,0,0,0,0,"Unambiguous"
"13",712664.4,709.1565043134,"C38H30O14","O14","CHO",38,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,710.16378076556,709.15627921704,0.316964010647732,0.32,709,708.364653825374,0.635346174626079,24,0.368421052631579,0.789473684210526,10,54.6279658207077,52,1,78,0.4,0,0,0,0,0,0,"Unambiguous"
