"","exp_mass","abundance"
"2",203.93818230618,1030447
"3",203.940949302616,891023.3
"4",203.943566299245,865679.4
"5",203.94514629721,850367.6
"6",241.050488501628,868057.8
"7",243.029710952181,1171771.1
"8",245.009013402632,901497.4
"11",253.05050104435,810142.1
"15",259.024626606428,1025133.7
"16",265.050427385282,885424.3
"17",267.029742684854,959255.6
"19",269.009002984501,745277.9
"20",269.045378934873,1147839.8
"21",271.024640234519,1130725
"22",273.003881534192,714089.7
"23",273.04026748455,816715.6
"24",279.029688313038,795257.4
"25",279.06604926343,714811.3
"26",280.436670393458,800688.1
"27",281.045300563089,925086.7
"28",283.024629862642,955714.3
"29",283.061047812956,844740.1
"30",285.040269112657,817832
"34",297.003883790407,749396.1
"35",297.04025174079,838934
"36",299.019553040381,938112.8
"39",303.050871540356,809759.8
"41",305.030072702315,764880.2
"42",305.045363677787,867537.1
"43",305.904384299835,812866.5
"44",305.908636293015,821426.8
"45",305.911857287848,1058627
"46",305.91512228261,770371.1
"54",311.092337977857,921526.6
"55",312.998830919658,1335532.4
"57",313.0504228369,842159.6
"58",313.07159980293,1634160.9
"59",313.086817778518,879665.8
"61",315.050861628003,2311150
"62",315.066108603545,1501807
"64",315.102405545321,783409.3
"66",317.030125453072,2227822
"67",317.045337428671,2111599
"68",317.06647739476,2083952.5
"70",317.102870336382,834610.8
"71",318.053229811914,1039665.5
"75",319.060998195356,3299316.8
"76",319.082136161449,1303414.3
"78",320.03247763701,1283382.5
"79",320.05631659877,761848.1
"80",320.064457585711,794360.7
"81",320.068905578576,967737
"85",321.0614119865,1744893
"87",321.091940937528,821055.1
"88",321.09779992813,959935.5
"89",321.113026903704,980608.6
"90",322.011714462123,1224190.9
"91",322.035571423854,936576.6
"93",322.04814140369,1559745.5
"94",322.063325379334,733058.6
"95",322.07186836563,789571.1
"97",322.983229903718,1451523.3
"99",323.040672811574,1470215.3
"101",323.071214762582,1314697.5
"102",323.076989753318,1138569.9
"103",323.092315728734,2436747
"104",323.107761703957,738124
"107",324.027427228725,1802829.6
"108",324.051252190507,1041871.3
"110",324.063736170482,1258448.1
"111",324.079039145934,757329.3
"114",325.050464587674,1509399.5
"115",325.056262578373,1006551.9
"118",325.092687519944,836954.5
"119",325.107955495453,1636891.6
"120",326.006693053791,1195229.5
"121",326.03053901554,906335.2
"123",326.043119995359,1344480.1
"124",326.058214971145,1094433.3
"125",326.066804957366,716193.9
"127",326.978207495388,1379749.5
"128",327.014473437214,4420648
"131",327.066092354412,2817580
"132",327.07190434509,923180.5
"134",327.102477296047,1382318.8
"135",327.12355326224,885424.4
"136",328.01786982767,844083.7
"137",328.022286820584,987636
"138",328.03758779604,1058677.1
"139",328.046210782208,904693.8
"141",328.058790762028,781174.8
"142",328.073862737851,1394295.9
"149",329.118142062727,1041735.6
"152",330.053212562783,1925904
"153",330.061882548876,738064.7
"154",330.089539504511,758162.9
"158",331.047804967361,729566.1
"161",331.09738488783,2432098
"163",332.032597387659,1759916.4
"165",332.056312349618,984366.3
"167",332.068949329347,1542063.4
"168",332.092676291287,772849.3
"175",333.091948688357,984769.9
"177",333.113049654509,1411331.6
"178",334.011882212695,1400397.3
"179",334.035648174572,977551.2
"181",334.048131154548,2257488.3
"182",334.072090116116,925330.1
"184",334.084441096303,936275.2
"185",335.004298620763,766559.4
"189",335.071244513376,1398693
"190",335.077050504062,2178725.5
"192",335.107657454966,717864.1
"194",335.128684421236,1069865.9
"195",336.014813999799,742324.3
"197",336.027427979565,1929333.3
"198",336.051308941258,1198071.4
"200",336.063767921272,1686520.4
"201",336.078944896927,761273.7
"203",337.019884387569,1010953.7
"205",337.050646338224,1111116.3
"208",337.086845280157,1601743.4
"209",337.092694270775,981391.9
"210",337.107956246293,1866193.3
"211",338.006741804555,1347486.6
"212",338.030512766424,1091168.6
"214",338.043092746244,1665313.8
"215",338.058266721904,765411
"216",338.066957707962,1121955.8
"218",338.079410687987,855588.9
"219",338.978163246301,1829875.1
"225",339.071890095954,1160891.3
"227",339.102475046893,1425918
"228",339.10821203769,724734.5
"231",340.022399571245,1312079
"232",340.046190533082,953105.1
"234",340.058687513036,1019794.3
"235",340.073992488485,1055827.6
"239",341.051198920951,1108970.6
"242",341.087566862614,845549.9
"244",341.118137813575,947824.6
"245",342.025485358102,877954.3
"247",342.037977338064,964419.4
"248",342.053297313489,1599620.8
"249",342.062052299445,862981.6
"251",342.089562255316,1005320.1
"252",342.973148837958,1323864.4
"260",343.133762580318,738791.1
"261",344.032528138611,1308985.6
"263",344.056328100434,851963.8
"265",344.068989080125,1393533
"274",346.011982963375,1063090
"275",346.035604925483,897780.3
"276",346.048172905323,1897589.5
"277",346.072104866934,870071.7
"279",346.084557846958,1106744.9
"284",347.071191264303,1057238.1
"287",347.113438196534,1027674.1
"288",347.128640172149,752987.5
"290",348.027514730267,1789617.3
"291",348.051221692239,1209523.5
"293",348.063800672061,1588148.8
"297",349.03758311002,723602.3
"298",349.050562089201,847635.6
"301",349.086815031047,1561623
"302",349.092702021604,1457943.6
"304",350.006760555366,1446000.3
"305",350.030507517274,1037810.5
"307",350.043121497039,1989491.8
"308",350.067049458657,866678.1
"310",350.079516438659,941239.3
"311",350.978123997205,1030159.1
"315",351.06617085597,1729239.8
"316",351.071962846679,1615448.3
"318",351.102535797637,1437531.3
"319",351.108304788383,1027099.8
"322",352.022350322165,1750965.9
"323",352.046296283754,1150008.3
"325",352.058739263794,1246585.5
"326",352.073825239595,1088314.9
"327",352.08262422548,968635.8
"331",353.0511946718,1305627.9
"334",353.087583613428,1128095.5
"338",354.001700966409,891642.8
"339",354.025351925318,970749.2
"341",354.037916903488,1168702.5
"342",354.053186876959,1086016
"343",354.06181986196,857216.9
"345",354.077074835456,817026.4
"346",354.089434813982,912451.6
"350",355.061000126009,3355877.5
"351",355.066832115877,1047526
"355",356.017320464523,800838.3
"356",356.032560438045,1062727.9
"357",356.040951423467,805192.7
"359",356.053524401623,807753.9
"360",356.056522396414,809802.3
"361",356.064679382242,867595.1
"362",356.06886537497,1594315.5
"363",356.092664333622,726349.9
"367",357.061384650592,4469936.5
"370",357.113045560838,1629110
"371",357.134145524179,795576.1
"372",358.011847999281,811218.2
"374",358.048087936319,1789078
"375",358.056705921346,840406.8
"376",358.064885907134,807511.7
"377",358.071947894865,1084504.4
"379",358.084435873169,1003481.7
"381",359.019542248539,2999418.3
"384",359.071163158854,829439.6
"385",359.077054148619,2770304.3
"387",359.10755909562,717635.3
"388",359.113424085431,1248259.9
"390",360.0274644974,1881826.9
"391",360.051212456141,1218661.3
"393",360.063772434319,1655910.6
"394",360.087522393057,790057.1
"396",361.019912773145,2230602.5
"400",361.086816656908,1419985.4
"401",361.09270364668,1821650
"404",362.00662905885,958386
"405",362.03045801745,881972.5
"407",362.043117995455,1713077.9
"408",362.06689795414,1234808.3
"410",362.07935893249,1119289.6
"411",362.978184370894,918040.4
"413",363.035547271233,2335390.5
"414",363.047193251,824479.8
"416",363.066133218094,1239841.8
"419",363.102549154826,1323301.6
"420",363.108142145109,1130918.1
"421",363.123545118348,1334567.8
"422",364.009904578409,744069.8
"424",364.022362556765,1702791.1
"425",364.046101515522,1260169.6
"427",364.058729493582,1693963
"428",364.073718467541,781132.6
"429",364.082630452057,833165.6
"433",365.045520779156,1457780.1
"436",365.081767716182,1925240
"437",365.087583706077,1211128.6
"438",365.102860679535,2394874.3
"439",365.118048653148,926139.9
"440",365.123888643002,780412.5
"441",365.139151616484,782590.1
"442",366.001539118194,955354.4
"443",366.025379076775,769500.9
"445",366.037980054882,1475422.4
"446",366.052963028851,1157215.9
"447",366.061717013642,1120160.9
"449",366.074522991394,785058.3
"450",366.089452965455,912099.8
"451",366.97303043035,1228930.8
"457",367.066781267469,1348684.9
"458",367.082104240847,3887822.5
"460",367.103256204099,843472.8
"463",368.017335616,920307.5
"464",368.032402589823,871413.1
"465",368.04099757489,995318.1
"467",368.053601552993,1070647.4
"468",368.068909526397,1235129.1
"469",368.077601511296,736954
"470",368.085845496973,735482.9
"474",369.046078828688,877922.9
"475",369.061397802073,5059748.5
"476",369.076598775663,3343782.3
"477",369.082331765703,1032550.9
"480",369.134161675655,949100.5
"482",370.03293411415,853646.3
"483",370.048073087848,1625615.9
"484",370.056693072872,892880.9
"485",370.064957058515,904017.8
"486",370.071937046388,893074.5
"487",370.084448024651,859795.9
"494",371.107672246928,713603.6
"496",371.128671210445,892869.9
"497",372.027355649093,1283688.3
"499",372.051161607733,826474.9
"501",372.063855585679,1564268.3
"502",372.07234457093,779629.3
"503",372.087558544498,889134.9
"505",372.99885196124,1471187
"510",373.086832808384,1148380.8
"512",373.107932771726,2057823
"513",373.129072734998,875169.4
"514",374.006601210402,881730.1
"515",374.030468168936,1025028.7
"517",374.04306514705,2104518
"518",374.067020105432,994120.7
"520",374.079349084011,1115082
"521",374.978143522469,1469869.4
"525",375.066325369264,1165239.1
"528",375.102582306272,1125947.1
"529",375.108340296268,1118907.8
"531",376.022355708281,1650977
"532",376.046232666798,1227043.6
"534",376.058681645169,1690661
"535",376.082637603549,853479.7
"540",377.045469930748,968274.6
"543",377.081716867774,1848598.6
"544",377.087506857714,1511831.4
"545",377.102852831053,2531097
"546",377.11804380466,739034.7
"547",377.12389779449,890971.4
"549",378.001539269698,945405.1
"550",378.02543622818,978943.7
"552",378.03799520636,1576449.1
"553",378.052984180319,846146.8
"554",378.061687165198,1241475.8
"556",378.07445814301,1150469.1
"557",378.089257117299,798278.8
"558",378.972904582072,768553.4
"560",379.030488482027,1416175.8
"562",379.061065428904,2256371.3
"565",379.097427365729,1885175.3
"566",379.10324035563,1108855.9
"568",379.476904706435,828289.7
"570",380.017196767745,1210334
"571",380.041088726236,976800.7
"573",380.053663704389,1116706.1
"574",380.068710678246,1094243.8
"575",380.077452663058,984868.8
"580",381.046128980104,1288145.3
"583",381.08228391729,1215573.3
"586",381.118705854011,742553.3
"588",382.020222287739,720190.4
"590",382.033082265397,1107391.9
"591",382.047995239487,1241921.5
"592",382.056670224416,1043970.5
"594",382.07167319835,729540.2
"596",382.084299176414,1020357.6
"602",383.077044451643,4129973
"603",383.092266425197,2837686.8
"604",383.113419388446,1711929.1
"606",384.027346800612,1331999.9
"607",384.036130785351,839520.8
"609",384.051068759398,861378.5
"611",384.063780737313,1613347.9
"612",384.072241722613,738404.9
"613",384.080815707717,772453.9
"614",384.08762869588,811238.6
"615",384.095726681811,716967.5
"616",384.099987674408,818600
"622",385.086823959903,749271.1
"624",385.107881923318,1859737.4
"627",386.043030298615,1918338.6
"629",386.066585257691,1030469.3
"631",386.079507235241,1215622.8
"635",387.047363553712,720883.9
"639",387.102399458093,968506.1
"640",387.108315447815,1524218.8
"642",388.022387859729,1239137.8
"643",388.046242818284,1192036.4
"645",388.058629796763,1756261.9
"646",388.082485755316,1079848.5
"648",388.993759172093,1743439.3
"653",389.081806019123,1394777.3
"656",389.117948956329,856861.3
"657",389.123929945938,1033693.9
"659",390.001591421111,935936.9
"660",390.025234380034,870723.6
"662",390.038023357815,2082629
"663",390.061704316672,1098119.6
"665",390.074514294416,1087625.1
"666",390.089002269245,720010.8
"667",390.098126253394,755467.8
"668",390.973131733181,1035630.5
"672",391.060987580543,1417912.4
"675",391.097300517454,1590972.5
"679",392.017339919,1183524.1
"680",392.041040877823,1168486.9
"682",392.053771855704,1363112.3
"683",392.06853783005,989481.9
"684",392.077316814798,1150123
"688",393.040334141676,1577367.5
"691",393.076688078516,2463003.5
"692",393.082521068382,1550748.3
"694",393.113069015308,1239199.6
"698",394.033084416897,1208775.3
"699",394.047957391057,913096.9
"700",394.056821375657,1143882
"702",394.080277334905,811404.6
"703",394.08433232786,1047053.1
"704",394.093054312707,713294
"707",395.019466703181,1026166.3
"708",395.025374692917,768374.9
"711",395.061761629699,1320827
"714",395.098122566527,858943.1
"717",396.01226997831,826213.9
"718",396.036068936962,878952.6
"720",396.048614915165,866666
"722",396.06366388902,1401579.8
"723",396.072484873694,806252.7
"727",397.040869191248,737177.4
"730",397.077327127907,898909.6
"731",397.086646111716,804958.6
"732",397.092673101245,2786271.3
"736",398.043047450089,1851081.9
"737",398.051679435092,891914.9
"739",398.066711408976,951052.6
"740",398.079419386897,1027086
"745",399.056392689528,746747.4
"748",399.102333609712,995136.6
"751",400.022526010993,1093031.5
"753",400.04590797037,903978.1
"755",400.058746948063,1881259.5
"756",400.067240933306,738028.4
"757",400.082563906684,728174.2
"758",400.095040885007,718287.6
"759",400.993787323548,1041939.9
"764",401.081710170793,1072797.6
"767",401.117945107839,740321.8
"768",401.123984097347,976994.4
"770",402.0015995726,739204.2
"772",402.03802250932,1885704.3
"774",402.061798468013,1010634.9
"776",402.074319446259,1241228.3
"777",402.089127420532,795277.9
"778",402.098109404927,737422.9
"782",403.060843732297,932025.9
"785",403.097370668836,1476094
"788",403.139600595466,725186.7
"790",404.017137361568,1354852
"791",404.04108331856,1049958.6
"793",404.053523296217,1256424
"794",404.077355253413,883626.7
"796",404.988716616555,2039503.5
"799",405.040251523995,864021.3
"802",405.076629458658,1877209.3
"805",405.113001393332,1153373.3
"806",405.118885382764,893597.9
"808",406.020325763724,861377.3
"810",406.032903741133,1346882.8
"811",406.047697714563,721796.4
"812",406.056699698394,901445.4
"814",406.069483675434,884742.8
"815",406.093171632889,761225.4
"817",407.019328969456,727151.3
"820",407.055988903613,2309427.3
"823",407.092511838015,2095543.3
"826",407.128616773169,799483.3
"827",408.012346185939,1017372.2
"828",408.036038143387,1086558.8
"830",408.048604120818,1070112.1
"831",408.0635910939,1175585.9
"832",408.072230078384,1113506.8
"834",408.085115055242,762084.2
"841",409.077348273133,1170704.6
"843",409.10789421827,1877012
"844",409.11355120811,753300.6
"847",410.042877538986,1166457.9
"848",410.051592523333,1031482.8
"850",410.066850495929,850748.4
"852",410.07927147362,1056957.8
"853",410.08779045832,797182.7
"855",411.014349794165,1539683.3
"858",411.056664718165,830119.9
"864",412.022293983838,714704.3
"866",412.045986941284,966866.8
"868",412.058551918717,1564244.3
"870",412.082376875925,865622.8
"872",412.095088853094,779032.1
"877",413.081566081323,848770.4
"880",413.118068015764,718534.3
"881",413.123965005172,1211463
"884",414.038118363299,1448233
"885",414.06179232078,921515.5
"887",414.074215298467,1113452.8
"888",414.098304255202,758959.4
"893",415.061030526089,827542.2
"896",415.097441460693,1218906
"899",416.017215808724,1200507.8
"900",416.041257765544,1258750.4
"902",416.053627743326,1528831.6
"903",416.077347700724,1155586.1
"905",416.089781678392,760707.5
"906",416.988716063853,1475938.5
"911",417.076620905971,1675115.9
"914",417.113124840408,1263727.6
"917",417.996843253198,731468.7
"919",418.033046188175,1196112.5
"920",418.056922145292,942098.9
"922",418.069347122976,1083284.3
"923",418.093094080325,942998.8
"927",419.055930351015,1490235.5
"930",419.092272285743,1861567.4
"931",419.098140275204,1538880
"932",419.113387247819,1992513.5
"933",419.128710220298,714755.1
"935",420.0123106333,861023.1
"936",420.036076590615,933921.6
"938",420.048522568261,1140706.9
"939",420.063543541283,1021220.4
"940",420.072447525291,778597.4
"942",420.983612888784,1291779.6
"944",421.035121796271,1449097
"947",421.071677730615,2441484.8
"950",421.108097665203,1645840.5
"951",421.113686655164,766673.1
"954",422.027908013169,928303.2
"955",422.042961986132,1031024.7
"956",422.051674970482,1198193.6
"958",422.064269947861,866674.9
"959",422.079223921003,1038964.4
"960",422.088086905084,793973.3
"963",423.014297241557,982612.1
"966",423.056674165445,1031320.4
"969",423.09285610046,872604.1
"970",423.102537083073,769117.1
"976",424.058544366028,1479998.1
"977",424.067287350325,925183.1
"979",424.082470323055,834432.6
"980",424.094992300565,843841.9
"990",426.037994810819,1333125.4
"992",426.061724768198,854855.7
"994",426.074224745748,1302153
"1001",427.097479907921,874542.8
"1004",427.139553832354,832499
"1005",428.017152256136,1133001.8
"1006",428.041131213068,1064972.1
"1008",428.053599190675,1549517.4
"1009",428.077502147744,880079.8
"1011",428.090158125013,834128.9
"1012",428.988461511608,1091625.3
"1017",429.076697353131,1119281.9
"1020",429.112998287932,1090613.4
"1024",430.032983635585,1506703.3
"1025",430.056812592787,1073105.5
"1027",430.069163570604,1123730.8
"1028",430.092801528148,770773.1
"1032",431.055930798312,1353842.5
"1035",431.09231173297,1723510
"1038",431.128511667952,813113.5
"1040",432.012158080872,782286.7
"1041",432.035965038113,1068881
"1043",432.048553015504,1599186.1
"1044",432.063367988896,880851.6
"1045",432.072317972821,1069268.5
"1047",432.084634950699,838037.6
"1048",432.983559336178,1583531.8
"1050",433.035049243699,875696.8
"1053",433.071541178158,1897524.3
"1056",433.108034112614,1371063.6
"1060",434.02803446024,954319.3
"1061",434.042817433689,744720.8
"1062",434.051768417612,1014289.6
"1064",434.064452394831,871826.8
"1065",434.07910736851,872084.2
"1066",434.08794335264,1027989
"1069",435.050973622981,2183792.3
"1072",435.087244557836,2499187.8
"1075",435.123650492449,1282167.1
"1076",435.14470145464,755641.1
"1077",436.030957862872,767628.5
"1079",436.0435808402,771053.8
"1080",436.058640813152,953551.1
"1081",436.067407797406,888143.9
"1083",436.978585160878,769317.3
"1088",437.072196992746,1006638.1
"1092",437.139213872379,808052.3
"1093",437.257634659689,3378751.3
"1095",438.037974258153,1212424
"1096",438.046551242748,880072.8
"1099",438.07445019264,1165067.4
"1101",439.00925851367,1607650.1
"1109",440.017302703163,826303.1
"1110",440.041242660166,780033.3
"1112",440.05355063806,1175746.4
"1114",440.077612594843,995140.6
"1116",440.089860572845,898693.8
