"","exp_mass","abundance","RT"
"1",137.517509386471,902533.6,27.68
"2",204.977776774262,892681.3,25.3
"3",214.027064577503,703105.4,19.3
"4",216.006350253626,903252.2,25.22
"5",216.042662192646,695287.5,18.96
"6",218.022026868635,738505.2,20.25
"7",226.027053425538,913447.3,25.23
"8",228.042797040436,937266.6,25.94
"9",230.021988716716,1079352,29.99
"10",232.001265392853,787610.6,21.35
"11",232.972686761514,1798153.1,51.28
"12",240.042728318323,1141419.1,31.23
"13",242.021969734211,1825659.1,51.12
"14",242.058285668448,763421.7,20.23
"15",244.001251150026,1146631.3,31.37
"16",244.037576084247,992969.8,26.9
"17",246.016852500072,883922.3,23.47
"18",248.967567156767,1402711.3,38.4
"19",252.042688588179,1214044.8,32.6
"20",254.021999003943,1109592,29.62
"21",254.0583589381,840090.3,21.95
"22",256.001231419847,843728.4,22.05
"23",256.037635353925,1370450.6,37.04
"24",258.016816769922,1616520.1,43.54
"25",258.955339070397,685438.9,17.34
"26",260.032440119928,876413.2,22.71
"27",264.042739857871,1367326.8,36.09
"28",266.021984273754,1252234.8,32.88
"29",266.05833420793,1087884.6,28.31
"30",268.001244689608,935156.7,24.07
"31",268.03760762376,1642230.6,43.72
"32",270.016915039529,1435806.8,37.51
"33",270.053246973737,1187680.6,30.7
"34",272.032528389553,1293831,33.61
"35",272.967593696289,820758.8,20.62
"36",274.011856805283,823787.9,20.7
"37",274.063423711903,682798.4,16.83
"38",276.042716127699,928273.9,23.57
"39",278.021999543511,974324.1,24.51
"40",278.058358477671,1148085.9,29.22
"41",280.037603893552,1985430.9,51.91
"42",282.016910309322,1692279,43.97
"43",282.053236243541,1411000.8,36.34
"44",282.988340550206,1422821.9,36.66
"45",283.996167725181,1053718.3,26.66
"46",284.032564659272,1761112,45.83
"47",286.011778075211,1358710.8,34.45
"48",286.048151009345,975096.4,24.19
"49",288.027370113747,900054.6,22.18
"50",288.042584084332,835991.3,20.47
"51",290.022003257226,719797.1,17.36
"52",290.058322187005,1107254.9,27.72
"53",292.037571360227,1887700.4,48.59
"54",292.073992289809,760726.1,18.2
"55",294.016791533506,1806898,45.78
"56",294.053263462989,1591859.8,40.11
"57",294.988310655123,1228703.9,30.53
"58",296.032552636134,2198545.3,56.1
"59",296.06890456585,775699.1,18.59
"60",298.011798809363,1471727.3,36.94
"61",298.04823773891,1342513,33.53
"62",298.98325093111,1553949.5,39.1
"63",299.990976982723,730573.6,17.39
"64",300.027364912368,1234063.4,30.67
"65",300.042655882804,724080.1,17.22
"66",300.063773841974,720049.1,17.11
"67",302.058241985771,1144304.6,27.88
"68",304.037661158665,1550992.3,38.45
"69",304.073967088469,802162.1,18.99
"70",306.01686233198,1343344.8,33.05
"71",306.040725285842,695761.9,16.23
"72",306.053270261587,1899122.5,47.49
"73",307.996160505108,847442.2,20.16
"74",308.032594434665,2494292,62.95
"75",308.06903436421,1015957.8,24.54
"76",310.01182160793,1918774.6,47.27
"77",310.048182537628,1800248.4,44.23
"78",310.983300729624,1485351.5,36.17
"79",311.9910977811,795930.5,18.53
"80",312.027497710723,1801116.4,44.25
"81",312.051160664972,680221.6,15.57
"82",312.063904640332,986398.2,23.41
"83",314.006853883738,905217.8,21.33
"84",314.043132813595,1091843.6,26.1
"85",314.058379784116,1102980.4,26.39
"86",314.978084005914,808692.1,18.86
"87",316.022461986663,904810.6,21.31
"88",316.037645957305,1167275.4,28.03
"89",316.074074886872,873261.3,20.51
"90",318.016994130336,1195988.3,28.76
"91",318.053322060098,1716054.1,42.07
"92",320.032610233245,2014912.9,48.83
"93",320.056178187678,717314.2,16.22
"94",320.06892116304,1176898.9,27.77
"95",322.011774406632,1636141.6,39.31
"96",322.035719360336,746735,16.96
"97",322.048224336158,2266799.8,55.16
"98",322.98321052841,1497059.9,35.81
"99",323.071282358127,918248.8,21.26
"100",323.991271579375,702812.6,15.85
"101",324.0274115095,2253086.8,54.81
"102",324.063720439299,1312672.8,31.18
"103",326.00668268268,1522960,36.46
"104",326.030550636533,728849.4,16.5
"105",326.04312061223,1674002.1,40.25
"106",326.05826958294,971027,22.59
"107",326.978139804418,865608.6,19.94
"108",328.022367785456,1165574,27.47
"109",328.037661755886,1026822.9,23.99
"110",328.058812714991,791816.2,18.08
"111",328.074004685619,1020937.1,23.84
"112",330.038075888187,779198.8,17.28
"113",330.053221858903,1718399.6,40.25
"114",330.089670788431,696769.9,15.27
"115",332.032635031808,2281465,54.02
"116",332.05628098609,818042.6,18.23
"117",332.068990961516,1441851.4,33.48
"118",334.011814205166,1720565.4,40.3
"119",334.035482159405,809206.9,18.01
"120",334.048174134866,2638967.8,62.76
"121",334.084577064483,868794.1,19.47
"122",335.071310156685,931577.2,21
"123",335.991146378228,691604.6,15.13
"124",336.027509307922,2512119,59.65
"125",336.051387261756,817592.6,18.21
"126",336.0637772378,1660153.4,38.82
"127",337.050710329615,1000761.9,22.69
"128",337.086884259675,1095036.3,24.99
"129",338.00671535224,1394937.1,32.33
"130",338.030514300795,887162.7,19.91
"131",338.043144273493,1983995.5,46.73
"132",338.058170241013,728604.5,16.03
"133",338.067005221915,750909.1,16.58
"134",338.079255195435,754045.9,16.65
"135",338.978126252402,1910970,44.95
"136",340.022363995139,1526784.4,34.56
"137",340.037599962205,865537.4,18.84
"138",340.046010944023,819138,17.73
"139",340.05878491641,1007618.9,22.21
"140",340.073846883852,1027459.9,22.69
"141",342.001693716547,694856,14.78
"142",342.037989638089,972874.5,21.38
"143",342.053158605299,1580555.6,35.83
"144",342.089474526797,688974.1,14.64
"145",344.032501326679,1622165.9,36.82
"146",344.056194275463,784663.6,16.91
"147",344.068904247989,1631512.5,37.04
"148",346.011792048171,1182114.9,26.35
"149",346.035578996752,728228.6,15.56
"150",346.048204969459,2376997.5,54.76
"151",346.084539890917,1029608.1,22.73
"152",347.071187758142,773551.3,16.64
"153",348.027393691172,2394677,55.18
"154",348.051147639825,1056374.8,23.36
"155",348.063842612383,1905335.6,43.54
"156",349.050622479323,731072.1,15.62
"157",349.086875400958,806978.8,17.43
"158",350.006717412593,1589319,36.03
"159",350.03046936125,813320.8,17.58
"160",350.042991334182,2688713.8,62.16
"161",350.06702528223,890699.4,19.42
"162",350.079427255421,916748.4,20.04
"163",350.978118312777,1153295.5,24.91
"164",351.066170122441,1559830.1,34.3
"165",351.10262904363,858584.9,18.11
"166",352.022366055493,2094302.1,46.63
"167",352.046240003886,846111.9,17.82
"168",352.058677977,1500640.9,32.93
"169",352.073845944212,769314.1,16.05
"170",354.001613777078,933045,19.82
"171",354.038084698241,1540599.9,33.85
"172",354.053220665523,1303289,28.37
"173",354.061663647272,790329.6,16.53
"174",354.074241620083,683066.6,14.05
"175",356.01728941992,699217,14.42
"176",356.032573386881,1283218.3,27.9
"177",356.053620341385,840819.9,17.69
"178",356.068775308626,1638165,36.1
"179",357.003917287188,866974.3,18.29
"180",358.011682108767,1052589.8,22.58
"181",358.032979062731,684943.4,14.09
"182",358.048166029902,2099760.5,46.75
"183",358.084558951234,1023603.5,21.91
"184",360.027415751483,2309454.3,51.59
"185",360.051098700289,764688.3,15.93
"186",360.063792672849,2125521.3,47.34
"187",361.086856461357,727267.6,15.06
"188",362.006652473092,1373550.3,29.98
"189",362.030706421096,814128.2,17.06
"190",362.043106394292,2659057.3,59.65
"191",362.066883342895,966771.1,20.59
"192",362.079573315463,1184116.1,25.61
"193",362.97805137328,806397.5,16.37
"194",363.046960224324,786499.1,15.93
"195",363.066246182635,1093508.8,22.8
"196",363.102585104083,740359.7,14.9
"197",364.022350115886,2361235.3,51.18
"198",364.046121064501,1085845.3,22.63
"199",364.058682037349,1777302.3,38.11
"200",365.045464904283,1484775.8,31.56
"201",365.081806825725,1524458.8,32.45
"202",366.001592837482,1148471.4,24.03
"203",366.038032758712,1820346.4,39.07
"204",366.053132726071,943419.6,19.44
"205",366.074379680143,893245.4,18.31
"206",366.973201737216,992456.6,20.53
"207",367.042291587869,682062.4,13.58
"208",368.017207480455,1137824.4,23.79
"209",368.032379447659,864609.7,17.67
"210",368.053554401886,1076195.5,22.41
"211",368.068884368748,1240548.9,26.08
"212",370.033007123028,955595.6,19.7
"213",370.048040090532,2055308.9,44.32
"214",370.071738039306,704046.9,14.07
"215",370.084464011797,1128720,23.58
"216",372.027352811977,1707574.9,36.53
"217",372.051278760258,688632.9,13.72
"218",372.063811733166,2070970,44.67
"219",372.998895711854,1503626.9,31.96
"220",373.08678452187,734994.5,14.76
"221",374.00677253319,1152866.6,24.11
"222",374.03037048218,744228.7,14.96
"223",374.043126454606,2737765.8,59.59
"224",374.066784403467,822503.8,16.71
"225",374.079467376051,1284648.9,27.06
"226",374.978036433671,686679.6,13.67
"227",375.066162243175,981759.3,20.28
"228",375.102619164368,774274.4,15.63
"229",376.022377176185,2348563.3,49.27
"230",376.046173124747,1049173.4,21.1
"231",376.058759097541,2264982.5,47.46
"232",377.045369964846,766445.7,14.97
"233",377.081866885953,1672176.9,34.61
"234",378.00161589779,1406914.6,28.85
"235",378.025468846229,694724.7,13.41
"236",378.038068818992,1963461.9,40.92
"237",378.061851767582,768391.9,15.01
"238",378.074274740728,1205833.1,24.49
"239",378.089342708156,675338.4,12.99
"240",379.061113607541,2173473,45.47
"241",379.097473528944,1642660.4,33.96
"242",379.477341707807,776582.4,15.18
"243",379.49099667829,916807.6,18.22
"244",380.017235540752,1527286.8,31.46
"245",380.041034489308,692216.9,13.35
"246",380.053657462021,1346298,27.53
"247",380.068753429389,1068027.4,21.5
"248",380.077374410754,745276.2,14.5
"249",382.033132183116,1152492.6,23.33
"250",382.048205150534,1533614,31.59
"251",382.069205105139,857711.9,16.94
"252",382.0844430722,1068465.3,21.51
"253",384.02740587222,1586018.1,32.72
"254",384.048529826558,701316,13.54
"255",384.063794793561,1806949.4,37.52
"256",384.999071771832,929979.1,18.5
"257",386.006667593775,782999.7,15.31
"258",386.04305451512,2263323,47.41
"259",386.066819463749,870493.3,17.21
"260",386.079387436582,1400478.4,28.7
"261",387.102546224884,831868.9,16.37
"262",388.022393199705,1943250.1,40.46
"263",388.045972148005,975316.3,19.48
"264",388.058705120086,2254293.5,47.21
"265",388.082596067701,749527.7,14.58
"266",388.993808069725,2153132.5,45.01
"267",389.081880876612,1078516.6,21.71
"268",390.001675859816,963210.5,18.58
"269",390.038058780041,2622222,53.37
"270",390.061715728169,718512.1,13.45
"271",390.074492700154,1225361.4,24.08
"272",391.061062536944,1625453.8,32.46
"273",391.097295457497,1304433.1,25.73
"274",392.01725544034,1838407.8,36.93
"275",392.041254387718,778313.9,14.7
"276",392.053816360174,1632331.1,32.61
"277",392.068710327517,892620.6,17.09
"278",392.077103309114,672397.3,12.48
"279",392.089977280886,678094.6,12.6
"280",393.040322197105,1634088.3,32.64
"281",393.076653117443,2489899.8,50.59
"282",393.113250037199,925999.1,17.79
"283",394.032930020655,1403398.1,27.8
"284",394.047944987733,1076103.6,20.94
"285",394.056760968402,805000.4,15.25
"286",394.069222941078,981449.6,18.95
"287",394.08013091716,687498.6,12.79
"288",394.08432690796,1026571,19.9
"289",396.012244680696,764994.4,14.41
"290",396.027380647508,1069187.9,20.79
"291",396.048635600903,938053.9,18.04
"292",396.063742567779,1731783.4,34.68
"293",398.042997227951,2358532.8,47.83
