"","exp_mass","abundance"
"2",132.904966584858,1367830
"81",290.998898201628,1483337
"97",300.983263778575,2120938
"98",302.998881727878,5149545
"101",305.013719677975,1470437
"102",305.014529677151,9063397
"108",306.993787663447,1090908
"109",307.030197626403,1701982
"111",307.186877466996,1357927
"118",309.178155441063,13950172
"122",310.181514420242,1766678
"124",311.10740347824,2020683
"129",313.144041406157,1043390
"132",314.998879519038,3115557
"133",315.123329392423,1517099
"134",317.014507468331,4015762
"135",317.050907431298,1524884
"138",318.993745454648,1670395
"139",319.030155417604,5676797
"145",321.00942340389,3636068
"146",321.045793366887,1363814
"152",322.20348218905,1467809
"158",325.123029218693,1473588
"164",329.014485259512,2347251
"165",331.030163208754,4404563
"169",333.00941119506,2839984
"170",333.045811158027,4030898
"175",335.025049144343,3549710
"176",335.061479107279,1829391
"182",337.040727093585,1128042
"192",343.030160999914,2767734
"194",345.009378986251,2165708
"195",345.045798949197,7588814
"198",347.025046935504,6282276
"199",347.06142689849,5862438
"204",349.040806644406,3872891
"205",349.077206619027,2087036
"213",351.22452512189,3911896
"215",351.726214772106,1296621
"219",355.133652396398,1106302
"223",356.279301597637,19531182
"224",357.045861063182,1731023
"226",357.282670898075,4214233
"227",359.025129683211,4027938
"228",359.061549657819,3050020
"230",361.040808277855,7482999
"231",361.077208252477,2465400
"235",363.020046897905,1667274
"236",363.056446872527,4767436
"241",364.245586043444,1948926
"242",365.072135467164,1017632
"252",369.149322624498,1138637
"256",371.025111316675,1417245
"257",371.061521291289,2608158
"260",373.040789911319,4876403
"261",373.077179885947,2958453
"264",375.020088531327,1185480
"265",375.05642850599,6598858
"266",375.092828480612,2921676
"270",376.088047786733,1460471
"271",377.035717126006,3361056
"272",377.07212710062,3319074
"273",377.108427075311,1116451
"278",378.252016277987,1147221
"279",378.261226271565,54774100
"280",379.051335720691,1836408
"284",379.264545572039,11315586
"286",379.499015408563,1110156
"287",379.519635394187,1106829
"288",379.521835392653,1543565
"290",380.245424888158,5816749
"292",380.267864872512,1275822
"293",380.747124538366,1988035
"300",385.040841544733,1628804
"301",385.077201519383,1602182
"304",387.056460139419,3845857
"305",387.092840114054,3071714
"308",389.035718759455,2063165
"309",389.072098734091,4721470
"310",389.108488708719,2662208
"314",391.051347354134,2895772
"315",391.087767328741,2504605
"316",391.124217303328,1152415
"320",393.067085948736,1200636
"332",399.056635456181,1599268
"334",401.03588498726,1109386
"335",401.072284978637,4062604
"336",401.108664970018,1304462
"338",403.051534509716,3484147
"339",403.087914501097,5465589
"340",403.124264492485,1102327
"343",405.067204032167,3607134
"344",405.103564023553,3091040
"348",407.082813554632,1091276
"355",409.26657303726,5785413
"357",409.768232918407,2335585
"363",413.072292135615,1322014
"366",415.051501666704,1456275
"367",415.087891658083,3117205
"368",417.067191189151,3525900
"369",417.103571180532,2799887
"370",417.139981171905,1035537
"373",419.082810711613,3692937
"374",419.094060708948,4569481
"375",419.119220702987,1444747
"379",421.062130242676,1100805
"380",421.098490234062,1548295
"394",427.087908815059,1197456
"397",427.277738770085,5153693
"398",429.067178346134,1197591
"399",429.088328341123,1105944
"400",429.10353833752,1837593
"403",431.08286786858,2583715
"404",431.119257859959,2130085
"408",433.06211739966,1497391
"409",433.098477391046,2439473
"410",433.134857382426,1321268
"414",435.077896922085,1143744
"425",438.28754616166,4617902
"426",438.789116042829,1889491
"430",441.103555494496,1174403
"433",443.08278502558,1691165
"434",443.119245016942,1873951
"436",445.09850454802,2238652
"437",445.134794539422,2109631
"440",447.077644079125,1548122
"441",447.114054070499,2021725
"442",447.150494061866,1294176
"460",456.275411104797,2034784
"461",457.098651124833,1185960
"462",459.077951173005,1022295
"463",459.114261173889,2373978
"465",461.09351122206,1192460
"466",461.129851222944,1802255
"472",464.224551298263,1465643
"478",467.30850137332,2404428
"480",467.810051385527,1196668
"483",471.114181465942,1086906
"485",473.129921515001,1244288
"487",475.109181563172,1304902
"490",477.124831612229,1057297
"502",487.145551856113,1024305
"504",488.17718188122,11487394
"506",489.12467190428,1056011
"507",489.180581905641,2283793
"513",493.24538200457,1343704
"521",496.329522079631,1210937
"542",519.077888747792,2431805
"549",522.266308678676,1051879
"562",537.193418355096,1064728
"569",547.109108140151,10991336
"572",548.1124981184,2541443
"581",555.325108132233,2440181
"594",577.30708568326,2262702
"609",615.25048791923,4512038
"610",616.463048072796,1278014
"613",621.393728697249,2393801
"614",621.406258698835,4286156
"617",623.422008954123,2216114
"626",665.444533805883,1421856
"628",673.29224408663,14022649
"629",674.295494122521,3836228
"631",679.430584306226,1990658
"632",679.445604306763,3379207
"635",681.463334378946,1362621
"641",701.663565084542,1792999
"642",701.670895085117,1428458
"643",713.323585999919,1203866
"647",731.334117413847,17920652
"648",732.33739749261,5895281
"650",736.489437818569,1078894
"655",753.476279152131,1716114
"656",757.393089459623,1188418
"657",771.36543055653,1055020
"659",789.375951970458,14227535
"660",790.379292049226,5100314
"665",848.421106605835,3200705
"666",854.58900709005,4744412
"667",906.463741162509,1552653
