"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",5890695,497.344872639743,"C32H48O2S","O2S","CHOS",32,48,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,496.337596187583,497.34477795796,0.19076085202582,0.19,497,496.78953291188,0.210467088119515,9,0.0625,1.5,7,38.1798078081385,35,0.9,66,0.7,498.348280506487,1565959,0,0,0,0,"Ambiguous"
"2",5324432,489.24590985822,"C31H36O3S","O3S","CHOS",31,36,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.23863340606,489.24579219746,0.240990269928709,0.24,489,488.699613504552,0.30038649544764,14,0.0967741935483871,1.16129032258065,11,37.5568089034846,35,0.9,64,0.6,490.249227725156,1692940,0,0,0,0,"Ambiguous"
"3",6699965,483.329322436945,"C31H46O2S","O2S","CHOS",31,46,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,482.322045984785,483.32912789416,0.403346242740182,0.4,483,482.789632597648,0.210367402351665,9,0.0645161290322581,1.48387096774194,7,37.1016808801538,34,0.9,64,0.7,484.332440304306,1877046,0,0,0,0,"Ambiguous"
"4",13397652,489.282199781067,"C32H40O2S","O2S","CHOS",32,40,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.274923328907,489.28217770276,0.0452169589286663,0.05,489,488.735862905748,0.264137094252476,13,0.0625,1.25,11,37.5596077885077,35,0.9,66,0.6,490.285617647791,3309328,0,0,0,0,"Ambiguous"
"5",6512404,473.250963863638,"C31H36O2S","O2S","CHOS",31,36,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,472.243687411478,473.25087757516,0.182720235554624,0.18,473,472.72252760956,0.277472390440096,14,0.0645161290322581,1.16129032258065,12,36.3264308556154,34,0.9,64,0.6,474.254411730297,1648008,0,0,0,0,"Ambiguous"
"6",6329453,467.334376442363,"C31H46OS","OS","CHOS",31,46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,466.327099990203,467.33421327186,0.349905684024571,0.35,467,466.812546702656,0.187453297344064,9,0.032258064516129,1.48387096774194,8,35.8713028322846,33,0.9,64,0.7,468.337624309448,1906911,0,0,0,0,"Ambiguous"
"7",13300168,461.287279298553,"C31H40OS","OS","CHOS",31,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,460.280002846393,461.28726308046,0.0352352758464406,0.04,461,460.772201801539,0.227798198461016,12,0.032258064516129,1.29032258064516,11,35.4061528175615,33,0.9,64,0.6,462.29066716534,3174968,0,0,0,0,"Ambiguous"
"8",8048875,459.271633583836,"C31H38OS","OS","CHOS",31,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,458.264357131676,459.27161301666,0.0448805932060386,0.04,459,458.758806774834,0.241193225165716,13,0.032258064516129,1.2258064516129,12,35.2511028126538,33,0.9,64,0.6,460.274991450687,2115929,0,0,0,0,"Ambiguous"
"9",5015570,457.277067824303,"C28H40O3S","O3S","CHOS",28,40,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,456.269791372143,457.27709232506,-0.0536979594413666,0.05,457,456.766468165247,0.233531834752966,9,0.107142857142857,1.42857142857143,6,35.0976781440692,32,0.9,58,0.7,458.280445691112,1096831,0,0,0,0,"Ambiguous"
"10",16448006,397.25613861557,"C26H36OS","OS","CHOS",26,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,396.24886216341,397.25596295286,0.443314105733885,0.44,397,396.81255886227,0.187441137729706,9,0.0384615384615385,1.38461538461538,8,30.4806681923615,28,0.9,54,0.7,398.259577147037,3344983,0,0,0,0,"Ambiguous"
"11",22771750,391.209237465211,"C26H30OS","OS","CHOS",26,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390.201961013051,391.20901276146,0.575865252640476,0.58,391,390.772409735756,0.227590264243815,12,0.0384615384615385,1.15384615384615,11,30.0155181776385,28,0.9,54,0.6,392.212595996795,5070965,0,0,0,0,"Ambiguous"
"12",9041800,389.193510415228,"C26H28OS","OS","CHOS",26,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,388.186233963068,389.19336269766,0.380532731025435,0.38,389,388.758933464605,0.241066535395248,13,0.0384615384615385,1.07692307692308,12,29.8604681727308,28,0.9,54,0.5,390.1968089469,1923030,0,0,0,0,"Ambiguous"
"13",6896477,375.177880927104,"C25H26OS","OS","CHOS",25,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,374.170604474944,375.17771263386,0.44977676497729,0.45,375,374.758953953577,0.241046046422696,13,0.04,1.04,12,28.7823412447462,27,0.9,52,0.5,376.18127945863,1329064,0,0,0,0,"Ambiguous"
"14",6010268,487.266784065861,"C32H38O2S","O2S","CHOS",32,38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,486.259507613701,487.26652763896,0.527345784475201,0.53,487,486.722697621734,0.277302378265688,14,0.0625,1.1875,12,37.4045577836,35,0.9,66,0.6,488.269981933053,1829399,0,0,0,0,"Ambiguous"
"15",15063450,341.193669150871,"C22H28OS","OS","CHOS",22,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340.186392698711,341.19336269766,0.900839120101275,0.9,341,340.812689251814,0.187310748185894,9,0.0454545454545455,1.27272727272727,8,26.1681604804231,24,0.9,46,0.6,342.196998177961,2593252,0,0,0,0,"Ambiguous"
"16",14112766,475.266699578163,"C31H38O2S","O2S","CHOS",31,38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,474.259423126003,475.26652763896,0.362542513262849,0.36,475,474.736012535579,0.263987464421234,13,0.0645161290322581,1.2258064516129,11,36.4814808605231,34,0.9,64,0.6,476.270017445099,3647604,0,0,0,0,"Ambiguous"
"17",8350005,313.162296332369,"C20H24OS","OS","CHOS",20,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312.155019880209,313.16206257006,0.748866090578687,0.75,313,312.812616514623,0.187383485377381,9,0.05,1.2,8,24.0119066244538,22,0.9,42,0.6,314.165575359508,1260934,0,0,0,0,"Ambiguous"
"18",1901252,481.26191683227,"C26H40O6S","O6S","CHOS",26,40,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,480.25464038011,481.26183619196,0.167911569299783,0.17,481,480.724535476541,0.275464523458822,7,0.230769230769231,1.53846153846154,1,36.9426584415231,33,0.9,54,0.7,0,0,0,0,0,0,"Ambiguous"
"19",12641663,327.177952741649,"C21H26OS","OS","CHOS",21,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,326.170676289489,327.17771263386,0.736141555702048,0.74,327,326.812622916746,0.187377083254319,9,0.0476190476190476,1.23809523809524,8,25.0900335524385,23,0.9,44,0.6,328.181261768759,2089419,0,0,0,0,"Ambiguous"
"20",1419763,437.235762271993,"C24H36O5S","O5S","CHOS",24,36,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,436.228485819833,437.23562144206,0.32283525244515,0.32,437,436.747540913758,0.252459086242482,7,0.208333333333333,1.5,2,33.5560265376846,30,0.9,50,0.7,0,0,0,0,0,0,"Ambiguous"
"21",11994162,427.266483424836,"C27H38O2S","O2S","CHOS",27,38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426.259206972676,427.26652763896,-0.103725910313877,0.1,427,426.789393852422,0.210606147577892,9,0.0740740740740741,1.40740740740741,7,32.7891731682154,30,0.9,56,0.7,428.269851295887,2606225,0,0,0,0,"Ambiguous"
"22",1362933,377.214627946324,"C22H32O3S","O3S","CHOS",22,32,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,376.207351494164,377.21449206986,0.361174399896022,0.36,377,376.793426722881,0.206573277119446,7,0.136363636363636,1.45454545454545,4,28.9390165859769,26,0.9,46,0.7,0,0,0,0,0,0,"Ambiguous"
"23",17526174,355.209150151345,"C23H30OS","OS","CHOS",23,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,354.201873699185,355.20901276146,0.387885822581685,0.39,355,354.812520440995,0.187479559004998,9,0.0434782608695652,1.30434782608696,8,27.2462874084077,25,0.9,48,0.6,356.21250868293,2940392,0,0,0,0,"Ambiguous"
"24",1119908,617.365540351299,"C39H52O4S","O4S","CHOS",39,52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,616.358263899139,617.36590733016,-0.595398622664392,0.6,617,616.676184473655,0.323815526345129,14,0.102564102564103,1.33333333333333,10,47.4122023752308,44,0.9,80,0.7,0,0,0,0,0,0,"Ambiguous"
"25",1058192,601.371028734822,"C39H52O3S","O3S","CHOS",39,52,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600.363752282662,601.37099270786,0.06000855661859,0.06,601,600.699532471738,0.300467528262175,14,0.0769230769230769,1.33333333333333,11,46.1818243273615,43,0.9,80,0.7,0,0,0,0,0,0,"Ambiguous"
"26",1709471,487.287814021152,"C29H42O4S","O4S","CHOS",29,42,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,486.280537568992,487.28765701116,0.322879448226306,0.32,487,486.743704094788,0.256295905211516,9,0.137931034482759,1.44827586206897,5,37.4061831199231,34,0.9,60,0.7,0,0,0,0,0,0,"Ambiguous"
"27",1968305,485.344968151662,"C31H48O2S","O2S","CHOS",31,48,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484.337691699502,485.34477795796,0.39268821108055,0.39,485,484.803027624353,0.196972375646965,8,0.0645161290322581,1.54838709677419,6,37.2567308850615,34,0.9,64,0.8,0,0,0,0,0,0,"Ambiguous"
"28",2464934,485.25093835157,"C32H36O2S","O2S","CHOS",32,36,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484.24366189941,485.25087757516,0.125507910152454,0.13,485,484.709102818776,0.290897181223897,15,0.0625,1.125,13,37.2495077786923,35,0.9,66,0.5,0,0,0,0,0,0,"Ambiguous"
"29",1328355,477.209695447334,"C29H32O4S","O4S","CHOS",29,32,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,476.202418995174,477.20940669216,0.606370658132861,0.61,477,476.676838838204,0.323161161795667,14,0.137931034482759,1.10344827586207,10,36.6309330953846,34,0.9,60,0.5,0,0,0,0,0,0,"Ambiguous"
"30",2034002,469.349952157228,"C31H48OS","OS","CHOS",31,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,468.342675705068,469.34986333566,0.189650811264343,0.19,469,468.825871807672,0.174128192328112,8,0.032258064516129,1.54838709677419,7,36.0263528371923,33,0.9,64,0.8,0,0,0,0,0,0,"Ambiguous"
"31",3582991,457.256027869034,"C31H36OS","OS","CHOS",31,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,456.248751416874,457.25596295286,0.14228241566242,0.14,457,456.74545170338,0.25454829661976,14,0.032258064516129,1.16129032258065,13,35.0960528077461,33,0.9,64,0.6,0,0,0,0,0,0,"Ambiguous"
"32",2966510,415.266548886329,"C26H38O2S","O2S","CHOS",26,38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.259272434169,415.26652763896,0.0512900258858415,0.05,415,414.802858548023,0.197141451976677,8,0.0769230769230769,1.46153846153846,6,31.8660962451385,29,0.9,54,0.7,0,0,0,0,0,0,"Ambiguous"
"33",2703084,387.177863365128,"C26H26OS","OS","CHOS",26,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,386.170586912968,387.17771263386,0.390323014464125,0.39,387,386.745537104008,0.254462895992276,14,0.0384615384615385,1,13,29.7054181678231,28,0.9,54,0.5,0,0,0,0,0,0,"Ambiguous"
"34",1926343,373.162203877048,"C25H24OS","OS","CHOS",25,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,372.154927424888,373.16206257006,0.379699360134161,0.38,373,372.745527626522,0.254472373477597,14,0.04,0.96,13,28.6272912398385,27,0.9,52,0.5,0,0,0,0,0,0,"Ambiguous"
"35",5504850,361.162161439112,"C24H24OS","OS","CHOS",24,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,360.154884986952,361.16206257006,0.274518147973665,0.27,361,360.758884543176,0.24111545682382,13,0.0416666666666667,1,12,27.7042143167615,26,0.9,50,0.5,0,0,0,0,0,0,"Ambiguous"
"36",1573566,359.146494389041,"C24H22OS","OS","CHOS",24,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,358.139217936881,359.14641250626,0.228633941939245,0.23,359,358.745468204941,0.254531795059449,14,0.0416666666666667,0.916666666666667,13,27.5491643118538,26,0.9,50,0.4,0,0,0,0,0,0,"Ambiguous"
"37",2428738,333.130976969113,"C22H20OS","OS","CHOS",22,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,332.123700516953,333.13076244246,0.645923950388094,0.65,333,332.758999944175,0.241000055824998,13,0.0454545454545455,0.909090909090909,12,25.5479604607923,24,0.9,46,0.4,0,0,0,0,0,0,"Ambiguous"
"38",5890695,497.344872639743,"C24H44N6O5","N6O5","CHNO",24,44,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,496.337596187583,497.34459501166,0.55935332098273,0.56,497,496.78953291188,0.210467088119515,6,0.208333333333333,1.83333333333333,1,38.1797937353462,35,0.9,50,0.9,498.348280506487,1565959,0,0,0,0,"Ambiguous"
"39",13397652,489.282199781067,"C24H36N6O5","N6O5","CHNO",24,36,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.274923328907,489.28199475646,0.419895836198241,0.42,489,488.735862905748,0.264137094252476,10,0.208333333333333,1.5,5,37.5595937157154,35,0.9,50,0.7,490.285617647791,3309328,0,0,0,0,"Ambiguous"
"40",4347053,485.30847822924,"C22H40N6O6","N6O6","CHNO",22,40,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484.30120177708,485.30820950636,0.554867257392889,0.55,485,484.766578446904,0.233421553095695,6,0.272727272727273,1.81818181818182,0,37.2539179272462,34,0.9,46,0.9,486.312016095708,1238311,0,0,0,0,"Ambiguous"
"41",4689065,485.271998306796,"C21H36N6O7","N6O7","CHNO",21,36,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484.264721854636,485.27182400106,0.359938951803281,0.36,485,484.730139258268,0.269860741731691,7,0.333333333333333,1.71428571428571,0,37.2511190422231,34,0.9,44,0.8,486.275426173498,1093923,0,0,0,0,"Ambiguous"
"42",14112766,475.266699578163,"C23H34N6O5","N6O5","CHNO",23,34,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,474.259423126003,475.26634469266,0.748294047326333,0.75,475,474.736012535579,0.263987464421234,10,0.217391304347826,1.47826086956522,5,36.4814667877308,34,0.9,48,0.7,476.270017445099,3647604,0,0,0,0,"Ambiguous"
"43",4388858,475.230289655571,"C22H30N6O6","N6O6","CHNO",22,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,474.223013203411,475.22995918736,0.696862450402829,0.7,475,474.699643268631,0.300356731368595,11,0.272727272727273,1.36363636363636,5,36.4786679027077,34,0.9,46,0.7,476.233477522783,1245296,0,0,0,0,"Ambiguous"
"44",6512404,473.250963863638,"C23H32N6O5","N6O5","CHNO",23,32,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,472.243687411478,473.25069462886,0.570118320254723,0.57,473,472.72252760956,0.277472390440096,11,0.217391304347826,1.39130434782609,6,36.3264167828231,34,0.9,48,0.7,474.254411730297,1648008,0,0,0,0,"Ambiguous"
"45",8541518,469.313622234466,"C22H40N6O5","N6O5","CHNO",22,40,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,468.306345782306,469.31329488406,0.699009118955833,0.7,469,468.789582451226,0.210417548773989,6,0.227272727272727,1.81818181818182,1,36.0235398793769,33,0.9,46,0.9,470.316980101317,2250177,0,0,0,0,"Ambiguous"
"46",11953482,469.277192311917,"C21H36N6O6","N6O6","CHNO",21,36,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,468.269915859757,469.27690937876,0.604209552991138,0.6,469,468.753193206653,0.24680679334665,7,0.285714285714286,1.71428571428571,1,36.0207409943538,33,0.9,44,0.8,470.280580178704,2997693,0,0,0,0,"Ambiguous"
"47",6111463,459.235383660904,"C22H30N6O5","N6O5","CHNO",22,30,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,458.228107208744,459.23504456506,0.740015373394274,0.74,459,458.72259732889,0.277402671110281,11,0.227272727272727,1.36363636363636,6,35.2482898548385,33,0.9,46,0.7,460.238531528201,1655125,0,0,0,0,"Ambiguous"
"48",5015570,457.277067824303,"C20H36N6O6","N6O6","CHNO",20,36,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,456.269791372143,457.27690937876,0.347262839354327,0.35,457,456.766468165247,0.233531834752966,6,0.3,1.8,0,35.0976640712769,32,0.9,42,0.9,458.280445691112,1096831,0,0,0,0,"Ambiguous"
"49",9060156,455.297832032179,"C21H38N6O5","N6O5","CHNO",21,38,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.290555580019,455.29764482026,0.412097316197244,0.41,455,454.78944240549,0.210557594510306,6,0.238095238095238,1.80952380952381,1,34.9454129513923,32,0.9,44,0.9,456.301389898604,2018216,0,0,0,0,"Ambiguous"
"50",11968312,455.26155210931,"C20H34N6O6","N6O6","CHNO",20,34,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.25427565715,455.26125931496,0.644560471539287,0.64,455,454.753202993107,0.246797006892905,7,0.3,1.7,1,34.9426140663692,32,0.9,42,0.8,456.264819976352,2874276,0,0,0,0,"Ambiguous"
"51",4713240,445.219615331833,"C21H28N6O5","N6O5","CHNO",21,28,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,444.212338879673,445.21939450126,0.497128407396328,0.5,445,444.722479131946,0.277520868054296,11,0.238095238095238,1.33333333333333,6,34.1701629268538,32,0.9,44,0.6,446.22285320316,1187711,0,0,0,0,"Ambiguous"
"52",10783111,441.28214368637,"C20H36N6O5","N6O5","CHNO",20,36,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440.27486723421,441.28199475646,0.338265755148307,0.34,441,440.789404102499,0.210595897501378,6,0.25,1.8,1,33.8672860234077,31,0.9,42,0.9,442.285601557231,2615789,0,0,0,0,"Ambiguous"
