"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",3298189,389.251130330901,"C24H36O2S","O2S","CHOS",24,36,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,388.243853878741,389.25087757516,0.651023161101435,0.65,389,388.816489041365,0.183510958634542,7,0.0833333333333333,1.5,5,29.8648923940769,27,0.9,50,0.7,0,0,0,0,0,0,"Unambiguous"
"2",3534513,331.209238832586,"C21H30OS","OS","CHOS",21,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,330.201962380426,331.20901276146,0.684645011209008,0.68,331,330.83940763762,0.160592362380157,7,0.0476190476190476,1.42857142857143,6,25.4001335622538,23,0.9,44,0.7,0,0,0,0,0,0,"Unambiguous"
"3",1239038,303.177866014085,"C19H26OS","OS","CHOS",19,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.170589561925,303.17771263386,0.507594816492961,0.51,303,302.839334900428,0.160665099571645,7,0.0526315789473684,1.36842105263158,6,23.2438797062846,21,0.9,40,0.7,0,0,0,0,0,0,"Unambiguous"
"4",1128643,345.224895241866,"C22H32OS","OS","CHOS",22,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,344.217618789706,345.22466282526,0.675202526776953,0.68,345,344.839414039743,0.160585960257094,7,0.0454545454545455,1.45454545454545,6,26.4782604902385,24,0.9,46,0.7,0,0,0,0,0,0,"Unambiguous"
"5",1624191,501.280281689296,"C26H45O5SP","O5SP","CHOSP",26,45,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500.273005237136,501.27980821916,0.946423515190153,0.95,501,500.720547648532,0.279452351468137,5,0.192307692307692,1.73076923076923,0,38.4825024436154,33,0.9,54,0.8,0,0,0,0,0,0,"Unambiguous"
"6",1406625,485.212228433868,"C24H37O6SP","O6SP","CHOSP",24,37,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484.204951981708,485.21212258626,0.218600836709981,0.22,485,484.670436124914,0.329563875086308,7,0.25,1.54166666666667,1,37.2465266257,32,0.9,50,0.7,0,0,0,0,0,0,"Unambiguous"
"7",1396774,471.196658231112,"C23H35O6SP","O6SP","CHOSP",23,35,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,470.189381778952,471.19647252246,0.394965645012551,0.39,471,470.670515833056,0.329484166943814,7,0.260869565217391,1.52173913043478,1,36.1683996977154,31,0.9,48,0.7,0,0,0,0,0,0,"Unambiguous"
"8",1128771,469.2173224392,"C24H37O5SP","O5SP","CHOSP",24,37,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,468.21004598704,469.21720796396,0.244495481164823,0.24,469,468.693390185172,0.306609814827993,7,0.208333333333333,1.54166666666667,2,36.0161485778308,31,0.9,50,0.7,0,0,0,0,0,0,"Unambiguous"
"9",1154353,455.201522236934,"C23H35O5SP","O5SP","CHOSP",23,35,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.194245784774,455.20155790016,-0.078519765507647,0.08,455,454.693240150623,0.306759849376988,7,0.217391304347826,1.52173913043478,2,34.9380216498461,30,0.9,48,0.7,0,0,0,0,0,0,"Unambiguous"
"10",2299781,491.222615655723,"C23H39O7SP","O7SP","CHOSP",23,39,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490.215339203563,491.22268727236,-0.146092198535573,0.15,491,490.674112094703,0.325887905296895,5,0.304347826086957,1.69565217391304,-2,37.7088777554,32,0.8,48,0.8,0,0,0,0,0,0,"Unambiguous"
"11",2954895,489.243309863748,"C24H41O6SP","O6SP","CHOSP",24,41,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.236033411588,489.24342271386,-0.231138434501336,0.23,489,488.697016413257,0.302983586742982,5,0.25,1.70833333333333,-1,37.5566266355154,32,0.9,50,0.8,0,0,0,0,0,0,"Unambiguous"
"12",1746571,489.207199940518,"C23H37O7SP","O7SP","CHOSP",23,37,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.199923488358,489.20703720856,0.333330567664332,0.33,489,488.66094681069,0.33905318931005,6,0.304347826086957,1.60869565217391,-1,37.5538277504923,32,0.9,48,0.8,0,0,0,0,0,0,"Unambiguous"
"13",2544023,487.227874148584,"C24H39O6SP","O6SP","CHOSP",24,39,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,486.220597696424,487.22777265006,0.20874994776789,0.21,487,486.683831151618,0.316168848381551,6,0.25,1.625,0,37.4015766306077,32,0.9,50,0.8,0,0,0,0,0,0,"Unambiguous"
"14",1950374,485.248448356864,"C25H41O5SP","O5SP","CHOSP",25,41,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484.241171904704,485.24850809156,-0.123357326212403,0.12,485,484.70661560442,0.293384395579778,6,0.2,1.64,1,37.2493255107231,32,0.9,52,0.8,0,0,0,0,0,0,"Unambiguous"
"15",3066874,475.227809660843,"C23H39O6SP","O6SP","CHOSP",23,39,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,474.220533208683,475.22777265006,0.0780455102832062,0.08,475,474.697166043088,0.302833956911854,5,0.260869565217391,1.69565217391304,-1,36.4784997075308,31,0.8,48,0.8,0,0,0,0,0,0,"Unambiguous"
"16",2482451,473.248593868676,"C24H41O5SP","O5SP","CHOSP",24,41,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,472.241317416516,473.24850809156,0.18163831348464,0.18,473,472.720160260956,0.279839739043894,5,0.208333333333333,1.70833333333333,0,36.3262485876462,31,0.9,50,0.8,0,0,0,0,0,0,"Unambiguous"
