"","abundance","exp_mass","formula","R_mass","recal_err"
"1",729639,195.030016,"C9H8O5",195.02988925255,0.0392862305049497
"2",892809.4,207.030028,"C10H8O5",207.0298934539,0.0167156530657589
"3",865694.3,209.009278,"C9H6O6",209.009142167611,0.092366422472023
"4",888929.6,209.045648,"C10H10O5",209.045512143975,0.166635287860046
"5",979637.9,211.024913,"C9H8O6",211.024775857677,0.169075678832981
"6",855865.2,211.061353,"C10H12O5",211.061215833995,0.0890351002711362
"7",1018444.7,213.040564,"C9H10O6",213.040425547732,0.169230333790526
"8",1069074,221.009298,"C10H6O6",221.009154368956,0.032143844498764
"9",807125.2,221.045698,"C11H10O5",221.0455543453,0.033327791969976
"10",843960.3,221.082054,"C12H14O4",221.081910321673,0.100243231364284
"11",1292736.5,223.024979,"C10H8O6",223.024834058991,0.100984958130403
"12",957059.7,223.061311,"C11H12O5",223.06116603538,0.139005622184526
"13",820678.8,223.097732,"C12H16O4",223.09758701171,0.0200103916641996
"14",1390633.5,225.004184,"C9H6O7",225.004037772732,0.170319617310972
"15",1205228.5,225.04058,"C10H10O6",225.040433749079,0.123762461394897
"16",1539695.6,225.07702,"C11H14O5",225.076873725397,0.118268302853741
"17",729586.7,227.019915,"C9H8O7",227.019767462735,0.181938351402878
"18",1332053.8,227.056257,"C10H12O6",227.056109439117,0.00980076446333539
"19",1080312.8,229.03552,"C9H10O7",229.035371152819,0.0221368445615018
"20",1264059.8,229.071894,"C10H14O6",229.07174512918,0.0724622686342955
"21",1064731.4,231.051172,"C9H12O7",231.051021842874,0.01923326815096
"22",736949.9,233.009313,"C11H6O6",233.009161570304,0.000417423723875668
"23",1567056.9,235.024937,"C11H8O6",235.024784260376,0.116057806480224
"24",887827.7,235.061356,"C12H12O5",235.061203236708,0.0263529997837136
"25",941604.9,237.004264,"C10H6O7",237.004109974037,0.142945631189873
"26",1394087.6,237.040622,"C11H10O6",237.040467950409,0.0267876994970096
"27",1299434.4,237.076983,"C12H14O5",237.076828926778,0.0766804605737137
"28",877293,237.113401,"C13H18O4",237.113246903111,0.0602744537416517
"29",1389047.3,239.019875,"C10H8O7",239.019719664118,0.0271735810141303
"30",1556793.8,239.056284,"C11H12O6",239.056128640456,0.0710126851166659
"31",2302844.5,239.092669,"C12H16O5",239.09251361681,0.0687895706974637
"32",1530628.8,241.035482,"C10H10O7",241.035325354202,0.211042624689323
"33",2835975.3,241.071913,"C11H14O6",241.071756330526,0.0223904884172762
"34",1680077.6,243.05117,"C10H12O7",243.051012044232,0.0585988376577826
"35",1957904.1,243.087547,"C11H16O6",243.087389020591,0.0936759677855904
"36",887503.8,245.030416,"C9H10O8",245.030252198463,0.15772244872173
"37",820114.2,245.066862,"C10H14O7",245.066698174099,0.0890515141535314
"38",1105487,247.024989,"C12H8O6",247.024823865101,0.0499069748238804
