"","exp_mass","abundance"
"2",152.98649357602,785603.2
"3",152.98766257526,695019.3
"4",152.990969573111,1021043.4
"6",200.986281381567,731169.3
"7",203.977682641907,754578.3
"8",203.981355639451,806546.7
"9",203.982431638732,1120018.8
"10",203.983228638199,800850.8
"11",203.98481363714,961491
"12",203.986415636069,893587.1
"13",203.988063634967,980371.3
"69",252.027525520819,703548.8
"122",279.032902409691,692550.2
"126",280.433359257385,812129.5
"170",297.096324546975,811087.9
"201",305.970875788791,808901.9
"202",305.972672787198,1074790
"203",305.975942784299,874310.2
"204",305.978989781599,1277958.3
"205",305.981776779128,1084294.4
"206",305.984964776302,977478.6
"207",305.987444774104,938566.7
"208",306.038093729209,899656.9
"214",308.053792942502,705248.9
"227",311.078994260978,762792.1
"228",311.111786231911,951721.5
"236",313.091013477533,913412.1
"260",320.053669305866,687187.3
"273",324.048602764775,720225.3
"274",324.072464743624,699362.6
"287",327.070120086515,766916.8
"291",328.033035232992,732410.4
"316",334.033099914561,703770.6
"323",336.072433106906,739481.6
"332",338.088140320192,922138.8
"338",339.106369417638,1024157.4
"342",340.067520565678,757757.1
"378",348.030548507286,781514.8
"382",349.03834461398,765077.1
"388",350.088215683379,839907.4
"397",352.067447928996,700473.4
"399",352.103856896724,708604.2
"404",353.085475947984,875911.8
"406",353.090090943592,859528.1
"408",353.126472908965,882570.9
"460",364.043570518527,818116.9
"461",364.06736549588,889926.9
"467",365.053835556999,700507.6
"472",366.083009577474,868660.8
"477",367.064568643267,755978.4
"479",367.069541638534,725258.8
"481",367.10597360386,868878.1
"485",368.062380693592,700962.2
"487",368.09869365903,807397.4
"495",369.085211720104,853436.9
"496",369.116563690264,874431.7
"533",376.04363209737,764728.3
"534",376.067338074807,688890.6
"541",377.090449101053,700698.6
"545",378.059277178963,776886.2
"546",378.083058156329,842680.5
"553",379.106118182623,799065.8
"555",379.142464148031,729693.3
"557",379.519263789409,792161.4
"559",380.062417272458,812789.4
"561",380.098621238,778680.9
"567",381.08536429886,819992
"572",382.077938354169,911544.3
"608",388.067249653792,722441.4
"619",390.083018735268,766741.6
"628",392.062423851352,928864.4
"636",393.121958842931,790221.7
"640",394.078019932992,784304.9
"650",396.093675014576,899267.5
"659",397.116965040651,846959.3
"699",404.062364522923,860376
"710",406.078070375444,990516.4
"719",408.057122267016,803406.6
"721",408.093552228205,832850.6
"728",409.117060137787,857732.1
"729",409.147229105646,780423.4
"785",418.077963591084,852087.9
"795",420.057076482591,803739.6
"797",420.093631443646,708959.8
"804",421.147015321399,759513.6
"816",423.126226212802,740031.4
"818",423.132960205628,740544.2
"822",424.088449187676,725295.6
"824",424.124828148918,708467.8
"831",425.105457104183,728230.5
"833",425.141885065374,791466.8
"837",426.104191040159,704155.6
"866",430.077883806695,742832.6
"879",432.093364659456,728992.4
"889",434.072805550613,918028.9
"901",436.088414403238,722046.8
"910",437.141684281113,773693.7
"925",439.120924172485,721708.8
"927",439.128084164857,693037.6
"971",446.072801766143,782715.6
"983",448.088490618683,728307
"994",450.067514510285,695526.6
"996",450.104187471214,702123.1
"1005",451.157123349445,687597
"1009",452.083106362928,730079.4
"1051",458.061038639963,994116.8
"1066",460.051939143585,717692.8
"1068",460.088428097831,753025.3
"1081",462.067322616507,707960.2
"1083",462.103730570856,709308.7
"1089",463.084098341578,707255.2
"1095",464.083148088876,722036.1
"1118",467.151811241097,714164.1
"1166",474.06763156939,782423.4
"1181",476.08330504195,913684.4
"1193",478.06228356052,695372.9
"1195",478.098987514497,738193.5
"1205",479.151564194677,749205.7
"1253",486.067362522999,773369.4
"1271",488.083388995115,707765.9
"1283",490.062590513406,738861.4
"1285",490.09905746768,765106.1
"1371",502.099049420961,775495
"1398",506.094072736126,775923.5
"1579",531.063611640329,854768.9
"1581",531.099832595222,973429.2
"1608",535.051040674588,871752.7
"1687",545.079024186246,1014384.5
"1714",549.066782220094,846031.5
"1799",560.860429562408,746231.8
"1889",575.030860814956,1275811.9
"1955",585.073927236734,896787.1
"2062",601.105455158391,774349.6
"2136",611.945581581908,1352166.4
"2236",627.15733853027,1148599.1
"2244",629.098764098773,745273.6
"2274",635.103577578173,832522.3
"2321",645.037769136308,813311.4
"2340",649.082824070166,921631.1
"2347",649.287260814124,857934.7
"2354",651.134877500116,1000831.9
"2459",671.11117648123,704450.3
"2617",701.074595954189,810867.1
"2672",712.084120165547,689373.8
"2724",723.192243253417,750614.7
"2764",733.103758839952,957439.9
"2815",743.292833078865,1066304.9
"2831",749.083174826876,750336.3
"2832",749.100312805412,874503.6
"2835",749.156252735351,1213086.6
"2836",749.194269687738,1431854.4
"2844",751.173610208755,722404.1
"2853",753.204487665226,955380.9
"2856",753.295694550996,727259.6
"2871",759.069417319821,875051.9
"2905",767.110896248444,1341070.1
"2911",767.24119808525,1170887.3
"2915",769.090427769222,1181174.9
"2919",769.235956586958,1033398.9
"2921",769.272897540692,932807.5
"2938",775.080558267012,707815.4
"2946",777.116680716914,873086.1
"2955",779.130198195127,697040.2
"2958",779.181986130267,813959.7
"2964",781.16297464922,832432.1
"2966",781.199467603515,1041665.1
"2969",781.255009533953,878170.1
"2976",785.121967690864,1252813.4
"2982",786.124357435443,715613.1
"2989",788.285551728702,928841.9
"2991",789.116569687911,930445.8
"2998",791.109541191857,863154.6
"3004",793.108656688108,797854.5
"3005",793.12679566539,825063.1
"3006",793.163142619868,891128.4
"3009",793.220478548059,1025299
"3011",793.293558456531,970933.6
"3030",799.135265140211,1405067
"3036",806.260175216771,686128.8
