"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",1672037.1,535.051529758734,"C26H16O13","O13","CHO",26,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,536.058806210894,535.05181414814,-0.530519046032114,0.53,535,534.454086440677,0.545913559323367,19,0.5,0.615384615384615,6,41.2353146615615,39,0.9,54,0.3,0,0,0,0,0,0,"Unambiguous"
"2",1503114,521.108579150045,"C27H22O11","O11","CHO",27,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522.115855602205,521.10893509494,-0.681735462930854,0.68,521,520.526704655199,0.473295344801272,17,0.407407407407407,0.814814814814815,6,40.1627855036231,38,0.9,56,0.4,0,0,0,0,0,0,"Unambiguous"
"3",1887726.5,507.056740841175,"C25H16O12","O12","CHO",25,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508.064017293335,507.05689952584,-0.312332028125559,0.31,507,506.490556754517,0.509443245482714,18,0.48,0.64,6,39.0818596906154,37,0.9,52,0.3,0,0,0,0,0,0,"Unambiguous"
"4",1113077.3,423.035519099077,"C21H12O10","O10","CHO",21,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,424.042795551237,423.03577015364,-0.592050062056907,0.59,423,422.563153859227,0.436846140773241,16,0.476190476190476,0.571428571428571,6,32.6186958927538,31,1,44,0.3,0,0,0,0,0,0,"Unambiguous"
"5",2011878,411.035590667895,"C20H12O10","O10","CHO",20,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.042867120055,411.03577015364,-0.435599689917059,0.44,411,410.576624655334,0.42337534466634,15,0.5,0.6,5,31.6956189696769,30,0.9,42,0.3,0,0,0,0,0,0,"Unambiguous"
"6",967043.6,395.040920490955,"C20H12O9","O9","CHO",20,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,396.048196943115,395.04085553134,0.1640194694639,0.16,395,394.599814270003,0.400185729996736,15,0.45,0.6,6,30.4652409218077,29,1,42,0.3,0,0,0,0,0,0,"Unambiguous"
"7",1219214.1,369.025039573146,"C18H10O9","O9","CHO",18,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370.032316025306,369.02520546754,-0.448324070441025,0.45,369,368.612982917242,0.387017082758064,14,0.5,0.555555555555556,5,28.4640370707462,27,0.9,38,0.3,0,0,0,0,0,0,"Unambiguous"
"8",1701879.6,355.045823394681,"C18H12O8","O8","CHO",18,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356.053099846841,355.04594090904,-0.330047285316758,0.33,355,354.649376056446,0.350623943553614,13,0.444444444444444,0.666666666666667,5,27.3887090277846,26,0.9,38,0.3,0,0,0,0,0,0,"Unambiguous"
"9",708258.9,615.08446206027,"C24H24O19","O19","CHO",24,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,616.09173851243,615.08390213714,0.908830770945748,0.91,615,614.397653255024,0.602346744976217,13,0.791666666666667,1,-6,47.3916291222538,43,0.9,50,0.5,0,0,0,0,0,0,"Unambiguous"
"10",3115592,523.051740799634,"C25H16O13","O13","CHO",25,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,524.059017251794,523.05181414814,-0.139962301420272,0.14,523,522.46769655313,0.532303446870174,18,0.52,0.64,5,40.3122377384846,38,0.9,52,0.3,0,0,0,0,0,0,"Unambiguous"
"11",1053573.9,791.183212430519,"C39H36O18","O18","CHO",39,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,792.190488882679,791.18288789764,0.409665205188286,0.41,791,790.299770187417,0.700229812583302,22,0.461538461538462,0.923076923076923,4,60.9377049499846,57,0.9,80,0.4,0,0,0,0,0,0,"Unambiguous"
"12",1360292.3,779.183499247958,"C38H36O18","O18","CHO",38,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,780.190775700118,779.18288789764,0.783590805269942,0.78,779,778.313455991796,0.686544008204123,21,0.473684210526316,0.947368421052632,3,60.0146280269077,56,0.9,78,0.5,0,0,0,0,0,0,"Unambiguous"
"13",881344.5,777.333722769278,"C39H54O16","O16","CHO",39,54,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,778.340999221438,777.33390922724,-0.239558191244664,0.24,777,776.465744990057,0.534255009942967,13,0.41025641025641,1.38461538461538,-3,59.8723988984154,55,0.9,80,0.7,0,0,0,0,0,0,"Unambiguous"
"14",1272103,767.292691740329,"C40H48O15","O15","CHO",40,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,768.299968192489,767.29204441354,0.842544339365336,0.84,767,766.435925866057,0.564074133942654,17,0.375,1.2,2,59.0999477589,55,0.9,82,0.6,0,0,0,0,0,0,"Unambiguous"
"15",979349.3,735.265881335808,"C39H44O14","O14","CHO",39,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,736.273157787968,735.26582966364,0.0701807031934004,0.07,735,734.444876884148,0.555123115851984,18,0.358974358974359,1.12820512820513,4,56.6363927781385,53,0.9,80,0.6,0,0,0,0,0,0,"Unambiguous"
"16",817139.3,733.213973460461,"C38H38O15","O15","CHO",38,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,734.221249912621,733.21379409454,0.244294102557813,0.24,733,732.395260187466,0.604739812533921,20,0.394736842105263,1,5,56.4785438882077,53,0.9,78,0.5,0,0,0,0,0,0,"Unambiguous"
"17",945373.7,721.250087170962,"C38H42O14","O14","CHO",38,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,722.257363623122,721.25017959984,-0.127972219388271,0.13,721,720.444732880278,0.555267119721861,18,0.368421052631579,1.10526315789474,4,55.5582658501538,52,0.9,78,0.5,0,0,0,0,0,0,"Unambiguous"
"18",836939.7,719.198555294493,"C37H36O15","O15","CHO",37,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,720.205831746653,719.19814403074,0.571036410990912,0.57,719,718.39549176263,0.604508237369942,20,0.405405405405405,0.972972972972973,5,55.4004169602231,52,0.9,76,0.5,0,0,0,0,0,0,"Unambiguous"
"19",928245.8,707.234987004045,"C37H40O14","O14","CHO",37,40,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,708.242263456205,707.23452953604,0.645920228894685,0.65,707,706.445282099412,0.554717900587661,18,0.378378378378378,1.08108108108108,4,54.4801389221692,51,0.9,76,0.5,0,0,0,0,0,0,"Unambiguous"
"20",991609.5,693.255300731422,"C37H42O13","O13","CHO",37,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,694.262577183582,693.25526497754,0.0514990777731382,0.05,693,692.48120566937,0.518794330629476,17,0.351351351351351,1.13513513513514,4,53.4048108792077,50,0.9,76,0.6,0,0,0,0,0,0,"Unambiguous"
"21",1225581.4,693.218778840435,"C36H38O14","O14","CHO",36,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,694.226055292595,693.21887947224,-0.144955384861532,0.14,693,692.444724559053,0.555275440947071,18,0.388888888888889,1.05555555555556,4,53.4020119941846,50,0.9,74,0.5,0,0,0,0,0,0,"Unambiguous"
"22",926029.6,691.202899857547,"C36H36O14","O14","CHO",36,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,692.210176309707,691.20322940844,-0.476085015641729,0.48,691,690.431096524646,0.568903475353522,19,0.388888888888889,1,5,53.2469619892769,50,0.9,74,0.5,0,0,0,0,0,0,"Unambiguous"
"23",1135425.6,691.166938964885,"C35H32O15","O15","CHO",35,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,692.174215417045,691.16684390314,0.137337888860628,0.14,691,690.395175786239,0.60482421376139,20,0.428571428571429,0.914285714285714,5,53.2441631042538,50,0.9,72,0.4,0,0,0,0,0,0,"Unambiguous"
"24",946729.1,689.151722980019,"C35H30O15","O15","CHO",35,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,690.158999432179,689.15119383934,0.766693876752272,0.77,689,688.382210009544,0.617789990456231,21,0.428571428571429,0.857142857142857,6,53.0891130993462,50,0.9,72,0.4,0,0,0,0,0,0,"Unambiguous"
"25",1087818.4,679.239904565389,"C36H40O13","O13","CHO",36,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,680.247181017549,679.23961491374,0.425803526692456,0.43,679,678.481459219904,0.518540780096487,17,0.361111111111111,1.11111111111111,4,52.3266839512231,49,0.9,74,0.5,0,0,0,0,0,0,"Unambiguous"
"26",947930.9,677.224131582185,"C36H38O13","O13","CHO",36,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,678.231408034345,677.22396484994,0.245833859344205,0.25,677,676.467937066821,0.532062933179418,18,0.361111111111111,1.05555555555556,5,52.1716339463154,49,0.9,74,0.5,0,0,0,0,0,0,"Unambiguous"
"27",785359.6,677.188216689385,"C35H34O14","O14","CHO",35,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,678.195493141545,677.18757934464,0.939765527599815,0.94,677,676.432062276912,0.567937723088448,19,0.4,0.971428571428571,5,52.1688350612923,49,0.9,72,0.5,0,0,0,0,0,0,"Unambiguous"
"28",1028443.6,675.13521281731,"C34H28O15","O15","CHO",34,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,676.14248926947,675.13554377554,-0.489480005840965,0.49,675,674.381350807301,0.618649192699195,21,0.441176470588235,0.823529411764706,6,52.0109861713615,49,0.9,70,0.4,0,0,0,0,0,0,"Unambiguous"
"29",812783.6,665.260167292918,"C36H42O12","O12","CHO",36,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,666.267443745078,665.26035035524,-0.274758017347524,0.27,665,664.517331846961,0.482668153039413,16,0.333333333333333,1.16666666666667,4,51.2513559082615,48,0.9,74,0.6,0,0,0,0,0,0,"Unambiguous"
"30",908771.8,663.208029418258,"C35H36O13","O13","CHO",35,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,664.215305870418,663.20831478614,-0.429631595799478,0.43,663,662.467485407784,0.532514592215534,18,0.371428571428571,1.02857142857143,5,51.0935070183308,48,0.9,72,0.5,0,0,0,0,0,0,"Unambiguous"
"31",1165209.5,663.171771526483,"C34H32O14","O14","CHO",34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,664.179047978643,663.17192928084,-0.237517816337406,0.24,663,662.431268001895,0.568731998105022,19,0.411764705882353,0.941176470588235,5,51.0907081333077,48,0.9,70,0.5,0,0,0,0,0,0,"Unambiguous"
"32",1374154.1,661.083203760561,"C32H22O16","O16","CHO",32,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662.090480212721,661.08350820644,-0.459825187376037,0.46,661,660.345032349399,0.654967650601179,22,0.5,0.6875,6,50.9300603583538,48,0.9,66,0.3,0,0,0,0,0,0,"Unambiguous"
