"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"1",191.034963188875,674379.4,18.99,"C10H8O4","O4","CHO",10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192.042239641035,191.03498229224,-0.0994748094267396,0.1,191,190.821651842351,0.178348157648941,7,0.4,0.8,3,14.7724814418769,14,0.9,22,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"2",199.040021745724,960687.2,27.52,"C12H8O3","O3","CHO",12,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200.047298197884,199.04006766994,-0.229566790143407,0.23,199,198.817771879302,0.18222812069834,9,0.25,0.666666666666667,6,15.3882572401615,15,1,26,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"3",201.019267421913,1467841.8,43.07,"C11H6O4","O4","CHO",11,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202.026543874073,201.01933222844,-0.320782236943857,0.32,201,200.794807512087,0.205192487912683,9,0.363636363636364,0.545454545454545,5,15.5405083600462,15,1,24,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"4",201.055609360883,1020037,29.33,"C12H10O3","O3","CHO",12,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202.062885813043,201.05571773374,-0.536332322590191,0.54,201,200.831108871323,0.168891128676592,8,0.25,0.833333333333333,5,15.5433072450692,15,1,26,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"5",202.998499098126,2424437.3,72.1,"C10H4O5","O5","CHO",10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204.005775550286,202.99859678694,-0.47885317702125,0.48,203,202.771829160529,0.228170839471062,9,0.5,0.4,4,15.6927594799308,15,1,22,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"6",203.034895037005,2424568.5,72.11,"C11H8O4","O4","CHO",11,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204.042171489165,203.03498229224,-0.427633336753131,0.43,203,202.808184459378,0.191815540622429,8,0.363636363636364,0.727272727272727,4,15.6955583649538,15,1,24,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"7",205.014156713168,2754604.5,82.18,"C10H6O5","O5","CHO",10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206.021433165328,205.01424685074,-0.437515508401772,0.44,205,204.785236074271,0.214763925729386,8,0.5,0.6,3,15.8478094848385,15,0.9,22,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"8",205.050542652064,1323311.9,38.45,"C11H10O4","O4","CHO",11,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206.057819104224,205.05063235604,-0.435334007455886,0.44,205,204.821581384302,0.178418615697893,7,0.363636363636364,0.909090909090909,3,15.8506083698615,15,0.9,24,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"9",206.993447389282,1246561.1,35.94,"C9H4O6","O6","CHO",9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,208.000723841442,206.99351140924,-0.307787189554586,0.31,207,206.762316656733,0.237683343266639,8,0.666666666666667,0.444444444444444,2,16.0000606047231,15,0.9,20,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"10",207.029809328218,1503012.4,43.73,"C10H8O5","O5","CHO",10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,208.037085780378,207.02989691454,-0.421013021151803,0.42,207,206.798637993604,0.201362006396266,7,0.5,0.8,2,16.0028594897462,15,0.9,22,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"11",209.009013004478,838296.9,23.51,"C9H6O6","O6","CHO",9,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210.016289456638,209.00916147304,-0.706938316143645,0.71,209,208.775631673357,0.224368326642633,7,0.666666666666667,0.666666666666667,1,16.1551106096308,15,0.9,20,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"12",209.045415943345,699772.3,19.3,"C10H10O5","O5","CHO",10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210.052692395505,209.04554697834,-0.623819638508767,0.62,209,208.811993964378,0.188006035621981,6,0.5,1,1,16.1579094946538,15,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"13",209.060687917699,883677.6,24.89,"C14H10O2","O2","CHO",14,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210.067964369859,209.06080311144,-0.548364153120721,0.55,209,208.827248885908,0.17275111409171,10,0.142857142857143,0.714285714285714,8,16.1590830433538,16,1,30,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"14",211.039969593828,1484114,42.94,"C13H8O3","O3","CHO",13,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.047246045988,211.04006766994,-0.462520095240751,0.46,211,210.804320478436,0.195679521564387,10,0.230769230769231,0.615384615384615,7,16.3113341632385,16,1,28,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"15",211.076337532754,803381.4,22.34,"C14H12O2","O2","CHO",14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.083613984914,211.07645317524,-0.545268368882586,0.55,211,210.840647808596,0.159352191403741,9,0.142857142857143,0.857142857142857,7,16.3141330482615,16,1,30,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"16",213.019240269975,1762886,51.37,"C12H6O4","O4","CHO",12,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,214.026516722135,213.01933222844,-0.42965921406397,0.43,213,212.781381083264,0.21861891673592,10,0.333333333333333,0.5,6,16.4635852831231,16,1,26,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"17",213.055610208898,1815625.3,52.97,"C13H10O3","O3","CHO",13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,214.062886661058,213.05571773374,-0.502304924761273,0.5,213,212.817710411188,0.182289588811841,9,0.230769230769231,0.769230769230769,6,16.4663841681462,16,1,28,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"18",214.99853594608,1032409.3,29.11,"C11H4O5","O5","CHO",11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216.00581239824,214.99859678694,-0.281663066510575,0.28,215,214.758466660135,0.241533339864617,10,0.454545454545455,0.363636363636364,5,16.6158364030077,16,1,24,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"19",215.034897885017,3544892.5,104.76,"C12H8O4","O4","CHO",12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216.042174337177,215.03498229224,-0.390697897626326,0.39,215,214.794787997006,0.205212002994244,9,0.333333333333333,0.666666666666667,5,16.6186352880308,16,1,26,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
