"","abundance","exp_mass","formula","R_mass","recal_err"
"1",834249.4,253.072119,"C12H14O6",253.071733781686,0.110429365148839
"2",876750.9,265.108516,"C14H18O5",265.108112460266,0.131166371973581
"3",1683212.1,267.087825,"C13H16O6",267.087418447425,0.024918378078432
"4",1282761.1,269.067106,"C12H14O7",269.066696434627,0.0746435304783492
"5",1059079,279.087889,"C14H16O6",279.08746418131,0.187716349518129
"6",769033.4,279.124207,"C15H20O5",279.123782126028,0.0543533447636829
"7",2053001.5,281.103447,"C14H18O6",281.103019113292,0.152052943679471
"8",744648.5,283.046401,"C12H12O8",283.045970155789,0.103328630019889
"9",2167819,283.082741,"C13H16O7",283.082310100474,0.0576294059173813
"10",1027277.6,285.062064,"C12H14O8",285.061630087611,0.137215158233698
"11",865519.1,293.067107,"C14H14O7",293.06666090259,0.0527113835300411
"12",1385713.6,293.103484,"C15H18O6",293.103037847218,0.0819118769935848
"13",826107.1,295.046363,"C13H12O8",295.04591388983,0.0915762825484267
"14",1978045.8,295.082813,"C14H16O7",295.082363834346,0.126812089857241
"15",2101440.3,295.119166,"C15H20O6",295.118716779011,0.016465818448624
"16",1501004.1,297.062151,"C13H14O8",297.061698821461,0.363051382428547
"17",2770766.8,297.098478,"C14H18O7",297.098025766166,0.165898220246292
"18",830813.1,299.041321,"C12H12O9",299.040865808832,0.0343681862206521
"19",2323295.8,299.077736,"C13H16O8",299.077280753402,0.132797674491922
"20",864371.6,301.057103,"C12H14O9",301.056644740473,0.462190087608043
"21",1552630.4,301.093418,"C13H18O8",301.092959685195,0.227786032662733
"22",1390760.3,305.067136,"C15H14O7",305.066500953944,0.574945116607233
"23",1163499.1,305.103536,"C16H18O6",305.102900878172,0.527617347471028
"24",1519813.4,307.046411,"C14H12O8",307.045771833767,0.550651387694613
"25",2605643.3,307.119269,"C16H20O6",307.118629682101,0.267771177298839
"26",1157798,309.025759,"C13H10O9",309.025115713437,0.290442660984169
"27",2715241,309.062084,"C14H14O8",309.061440637821,0.486424142182887
"28",5689452,309.098504,"C15H18O7",309.097860562007,0.375014209557734
"29",2513391,309.134854,"C16H22O6",309.134210486338,0.490068786630966
"30",2433421.5,311.041352,"C13H12O9",311.040704517658,0.485510760399812
"31",6235408.5,311.077751,"C14H16O8",311.077103441887,0.442317002131644
"32",8438035,311.114148,"C15H20O7",311.113500366121,0.405561853011662
"33",4491704.5,313.057012,"C13H14O9",313.056360321739,0.464048497745587
"34",8753596,313.093391,"C14H18O8",313.09273924601,0.48501398207919
"35",1568228.9,315.036406,"C12H12O10",315.035750201314,0.0633335269972698
"36",1064742.3,315.051539,"C16H12O7",315.050883169812,0.454265869067834
"37",4330344,315.072717,"C13H16O9",315.072061125726,0.300036711910382
"38",4807531.5,315.109067,"C14H20O8",315.108411050058,0.412918613798436
"39",1490582.6,317.030861,"C15H10O8",317.030201049536,0.283240139083647
"40",1383128.5,317.052001,"C12H14O10",317.05134100553,0.249839315817233
"41",1508763.9,317.088447,"C13H18O9",317.087786929662,0.0592677416211368
"42",999072.5,317.139912,"C18H22O5",317.139251822529,0.616569816286232
"43",3503054.8,319.046588,"C15H12O8",319.045923853478,0.0534580126804092
"44",3628754,319.082981,"C16H16O7",319.08231677772,0.0302010452530409
"45",3922901.5,319.119317,"C17H20O6",319.118652702081,0.185565925114217
"46",1211352.9,319.155621,"C18H24O5",319.154956626508,0.441159902221031
"47",2882696.3,321.025892,"C14H10O9",321.02522373324,0.0568980247242229
"48",6161547.5,321.062169,"C15H14O8",321.061500657724,0.281301528627668
"49",8829583,321.098553,"C16H18O7",321.097884581985,0.286193505274475
"50",6491282.5,321.134998,"C17H22O6",321.134329506118,0.101133124765705
"51",1235974.3,323.005065,"C13H8O10",323.004392613275,0.239664686866478
"52",6242633.5,323.041399,"C14H12O9",323.04072653764,0.399310792935994
"53",12685645,323.077808,"C15H16O8",323.077135461849,0.326778794475171
"54",16258385,323.114281,"C16H20O7",323.113608385924,0.0561908080139877
"55",2497036.8,325.020776,"C13H10O10",325.02009941725,0.0636040321065871
"56",11295248,325.057096,"C14H14O9",325.056419341644,0.265349237862697
"57",23297556,325.093526,"C15H18O8",325.092849265809,0.128685160790064
"58",14646808,325.12994,"C16H22O7",325.129263190007,0.0412627638254203
"59",5294552.5,327.036428,"C13H12O10",327.035747221348,0.0701216637980197
"60",15706844,327.07275,"C14H16O9",327.072069145738,0.264508002004354
"61",24000224,327.109133,"C15H20O8",327.108452070001,0.272369040377672
"62",1650471.6,329.030959,"C16H10O8",329.030274069412,0.0509856637111873
"63",7476650,329.052093,"C13H14O10",329.051408025418,0.0370520250736034
"64",2683563.5,329.067284,"C17H14O7",329.066598993796,0.235079239566923
"65",11044782,329.088537,"C14H18O9",329.087851949554,0.140469545341899
"66",7923633.5,329.124834,"C15H22O8",329.124148873996,0.128687117770489
