"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",1793382.5,521.072173876028,"C26H18O12","O12","CHO",26,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522.079450328188,521.07254958964,-0.719648344288471,0.72,521,520.490340031635,0.509659968364645,18,0.461538461538462,0.692307692307692,6,40.1599866186,38,0.9,54,0.3,0,0,0,0,0,0,"Unambiguous"
"2",3728881.8,509.072512339714,"C25H18O12","O12","CHO",25,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,510.079788791874,509.07254958964,-0.073027644697331,0.07,509,508.504077424593,0.495922575406723,17,0.48,0.72,5,39.2369096955231,37,0.9,52,0.3,0,0,0,0,0,0,"Unambiguous"
"3",2945362.5,495.05683450048,"C24H16O12","O12","CHO",24,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,496.06411095264,495.05689952584,-0.131082573301424,0.13,495,494.504049616444,0.495950383555737,17,0.5,0.666666666666667,5,38.1587827675385,36,0.9,50,0.3,0,0,0,0,0,0,"Unambiguous"
"4",2743211.3,467.061834849178,"C23H16O11","O11","CHO",23,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,468.069111301338,467.06198490354,-0.320581636775238,0.32,467,466.540309431849,0.459690568151018,16,0.478260869565217,0.695652173913043,5,36.0053277965923,34,0.9,48,0.3,0,0,0,0,0,0,"Unambiguous"
"5",1668143.3,451.066887982678,"C23H16O10","O10","CHO",23,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,452.074164434838,451.06707028124,-0.403249237987321,0.4,451,450.563222665912,0.436777334088106,16,0.434782608695652,0.695652173913043,6,34.7749497487231,33,0.9,48,0.3,0,0,0,0,0,0,"Unambiguous"
"6",2471507.5,439.067062789651,"C22H16O10","O10","CHO",22,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440.074339241811,439.06707028124,-0.0170234631904006,0.02,439,438.576796584897,0.42320341510316,15,0.454545454545455,0.727272727272727,5,33.8518728256462,32,0.9,46,0.3,0,0,0,0,0,0,"Unambiguous"
"7",2361367.8,425.051406771836,"C21H14O10","O10","CHO",21,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426.058683223996,425.05142021744,-0.0315581027743341,0.03,425,424.576790573802,0.423209426198071,15,0.476190476190476,0.666666666666667,5,32.7737458976615,31,0.9,44,0.3,0,0,0,0,0,0,"Unambiguous"
"8",1640392.5,411.035745754035,"C20H12O10","O10","CHO",20,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.043022206195,411.03577015364,-0.0592161596011161,0.06,411,410.576779568303,0.423220431697132,15,0.5,0.6,5,31.6956189696769,30,0.9,42,0.3,0,0,0,0,0,0,"Unambiguous"
"9",1647122.9,383.040896281775,"C19H12O9","O9","CHO",19,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,384.048172733935,383.04085553134,0.106107612866491,0.11,383,382.613189395058,0.386810604941843,14,0.473684210526316,0.631578947368421,5,29.5421639987308,28,0.9,40,0.3,0,0,0,0,0,0,"Unambiguous"
"10",914501.1,369.025343178142,"C18H10O9","O9","CHO",18,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370.032619630302,369.02520546754,0.372158006383872,0.37,369,368.61328618323,0.386713816769998,14,0.5,0.555555555555556,5,28.4640370707462,27,0.9,38,0.3,0,0,0,0,0,0,"Unambiguous"
