"","exp_mass","abundance"
"2",203.924192250716,762720.4
"42",305.877766320849,830237
"43",305.889587289094,768925.9
"88",321.043198581962,837403.5
"93",322.032937923227,917110.9
"94",322.056617859615,861625.1
"96",322.069203825806,790074.3
"101",323.075102123662,996760.4
"103",323.078947113333,977560.7
"106",324.030288557746,881586.8
"108",324.048544508705,902964.5
"109",324.072327444816,1223286.8
"111",324.108605347363,883002.2
"119",326.051568127984,788469.6
"121",326.088028030042,1246777.3
"125",327.024982513102,839573.3
"127",327.043542463244,869143.1
"131",327.106371294467,1666077.3
"134",328.032874805602,1098937.5
"136",328.067272713199,728252.9
"142",329.040951097607,874334.9
"150",330.030470439463,904771.9
"151",330.048553390886,766661.7
"157",331.038213732363,889899.9
"165",332.053635004638,963286.1
"169",333.043506345547,857343
"176",334.032975687537,1338601.1
"177",334.051120638794,721451.1
"178",334.056782623584,1004651.7
"180",334.069281590008,829421.1
"181",334.093032526206,949935.6
"185",335.022578029169,734548.6
"187",335.058865931689,900504.5
"191",336.030361321962,952131.3
"193",336.048660272805,1092805.4
"194",336.072396209043,1603655.9
"196",336.085064175013,846089.4
"197",336.108665111614,1052684
"201",337.038301614332,822451.4
"206",338.027892955994,781282.7
"207",338.046091907106,1033380.8
"208",338.051769891854,1249573.4
"210",338.064270858272,888166.8
"211",338.088063794357,1581353.5
"213",338.124378696805,843565.6
"218",339.043191228599,1010774.2
"223",340.032949569813,963464
"225",340.051056521172,816330.1
"226",340.067333477447,1440908
"228",340.10378037954,1320720.3
"233",341.040663862791,1119037.3
"235",341.058928813725,762047.4
"242",342.030284204374,953329.6
"243",342.048634155081,1012595.8
"245",342.082976062828,1024183.8
"250",343.03817049689,1015913.3
"257",344.028132837556,881888.1
"258",344.045893789844,842274.3
"259",344.05366076898,836387.2
"264",345.03566613102,804058.3
"266",345.053957081885,828956.5
"274",346.032961451986,1116372.5
"275",346.051341402612,755606.7
"276",346.056882387728,1008855.4
"278",346.069367354189,725336.9
"280",346.093007290685,741851.9
"290",348.030435086175,1009932.8
"292",348.048667037198,1161935
"293",348.072508973152,1257426
"295",348.108692875951,884950.6
"299",349.038219378965,1299147.8
"301",349.090510238496,1019346.4
"303",349.095051226297,1091027
"306",350.027834720562,734473.8
"307",350.04600567175,1060876.1
"308",350.051621656663,1180300.8
"310",350.06423862277,927758.4
"311",350.088043558823,1219025.5
"317",351.053840964402,995149.6
"319",351.106183823794,1749460.4
"321",351.110675811727,1659604.9
"325",352.043557305728,947789.9
"326",352.06729924195,1654609
"328",352.079793208388,750098.6
"329",352.103802143893,1374677.8
