"","exp_mass","abundance","RT"
"1",203.917463191743,973935.6,28.23
"2",203.919931186263,796447.9,22.72
"3",269.102780226643,1027163.4,26.38
"4",283.082038693226,1107029.4,27.48
"5",283.118387603432,800151.8,19.35
"6",295.082015049294,1003303.6,23.72
"7",305.029980876278,1136717.9,26.51
"8",305.06635377908,1008721.1,23.32
"9",305.880328603916,844504.2,19.23
"10",305.886350587824,975832.7,22.5
"11",307.081992392741,1488898.8,35.27
"12",307.118385295489,1435014,33.93
"13",309.024893200778,1013683.1,23.44
"14",316.022275501854,757403.3,16.66
"15",318.037883115598,908013.4,20.32
"16",320.01723382623,794626.3,17.03
"17",320.035502777411,904772.3,19.63
"18",320.053461729419,839302.2,18.09
"19",321.043097084842,776499.3,16.6
"20",322.032983439595,1118818,24.68
"21",324.019802130271,766085.8,16.35
"22",324.037871081985,772935.8,16.51
"23",325.027653437016,997308,21.8
"24",325.045687388824,938942.1,20.42
"25",326.035473743844,1019508.2,22.32
"26",326.043050723596,918773.1,19.95
"27",326.05339969594,933750.4,20.3
"28",327.024926099756,777836.1,16.62
"29",327.043226050853,958702.4,20.89
"30",327.106291882324,798006.1,17.09
"31",328.022279434554,1122918.9,24.76
"32",328.03282240638,1109160.3,24.44
"33",329.022501761686,823972.1,16.61
"34",330.037972048071,1609893.1,34.02
"35",332.017287758797,1034278.9,21.26
"36",332.035572709934,1175977.4,24.4
"37",332.053534661935,1354155.8,28.35
"38",332.077537597793,751470.9,15
"39",333.043200017278,1093999.8,22.58
"40",334.032864372624,1529781.8,32.24
"41",334.050992324181,902392.3,18.33
"42",334.056675308994,796281,15.98
"43",334.069352275118,997818.8,20.45
"44",335.022548727916,761661.8,15.21
"45",335.058831630958,753730.9,15.04
"46",336.030398034666,888842.4,18.03
"47",336.03813901398,828843.5,16.7
"48",336.048582986071,1194701,24.81
"49",336.0723719225,854928.3,17.28
"50",338.017193725403,798757.4,16.03
"51",338.035453676608,1029096.1,21.13
"52",338.043224655842,849001.2,17.14
"53",338.064179599844,746348.2,14.86
"54",338.978205157317,806129.1,16.19
"55",339.024973032341,1228152,25.54
"56",339.043263983462,1091450.6,22.51
"57",340.022387366976,857674.8,16.26
"58",340.03301733857,1134476.4,22.01
"59",340.051107290229,1161615.1,22.58
"60",341.022752693726,846624,16.03
"61",341.040718645716,1164706.8,22.64
"62",341.058859597238,966949.4,18.53
"63",342.030252001412,1022520.2,19.68
"64",342.037934980881,1316281.4,25.79
"65",342.048576952442,1114619,21.59
"66",342.973166481686,954696.3,18.27
"67",343.03811330813,948434.3,18.14
"68",344.017466691029,1033449.7,19.9
"69",344.035510642811,762348.5,14.26
"70",344.045952614907,854958.1,16.19
"71",344.05354059463,1237679.4,24.15
"72",346.032845305385,1607718.8,31.83
"73",346.051272256143,913257.6,17.39
"74",346.056761241475,879466.5,16.69
"75",346.069348207839,930092.5,17.74
"76",347.022568660573,1001732.9,19.23
"77",347.061631556186,767563.3,14.36
"78",348.030274967706,1206503.8,23.49
"79",348.048498919006,1539434.8,30.41
"80",348.072469854949,905582.6,17.23
"81",349.038067274608,1210188.3,23.56
"82",350.027870629582,895023.4,17
"83",350.043111588854,763698,14.27
