"","abundance","exp_mass","theor_mass","recal_err","orig_err"
"1",313.08732,"C21H14O3",313.08701786134,0.403960964002357,0.965030942732218
"2",315.066614,"C20H12O4",315.06628241984,0.316578047126147,1.0524139793375
"3",317.045846,"C19H10O5",317.04554697834,0.425841396257305,0.943150480579742
"4",319.025162,"C18H8O6",319.02481153684,0.27044693767714,1.09854515184537
"5",321.004454,"C17H6O7",321.00407609534,0.191734062218179,1.17725813519182
"6",321.040843,"C18H10O6",321.04046160064,0.180981959249253,1.18801025291027
"7",323.020126,"C17H8O7",323.01972615914,0.131170476810118,1.23782180344967
"8",323.056555,"C18H12O6",323.05611166444,0.00332504958352168,1.37231751393638
"9",325.03581,"C17H10O7",325.03537622294,0.0344390323749372,1.33455338024849
"10",325.072163,"C18H14O6",325.07176172824,0.134582501390209,1.23440977416846
"11",327.030325,"C20H8O5",327.02989691454,0.059982210624338,1.30901016703934
"12",327.051443,"C17H12O7",327.05102628674,0.0948386765122512,1.27415365340956
"13",327.066617,"C21H12O4",327.06628241984,0.346018423848805,1.0229735622808
"14",327.087847,"C18H16O6",327.08741179204,0.0384368910990642,1.3305555161956
"15",327.103002,"C22H16O3",327.10266792514,0.347676987875796,1.02131499607074
"16",329.046024,"C20H10O5",329.04554697834,0.0807205905874255,1.4497131609413
"17",329.067039,"C17H14O7",329.06667635054,0.266937446716117,1.10205464760469
"18",329.082371,"C21H14O4",329.08193248364,0.0364477857927412,1.33254462410287
"19",329.103493,"C18H18O6",329.10306185584,0.058934193823016,1.31005818538039
"20",331.025284,"C19H8O6",331.02481153684,0.0582816208480608,1.42727416055275
"21",331.061597,"C20H12O5",331.06119704214,0.160883697809785,1.20810854177649
"22",331.082741,"C17H16O7",331.08232641434,0.116779098180227,1.25221320173204
"23",333.004513,"C18H6O7",333.00407609534,0.0569824356613132,1.31200994624646
"24",333.040892,"C19H10O6",333.04046160064,0.0766588111674433,1.29233354380431
"25",335.020164,"C18H8O7",335.01972615914,0.0620816892328406,1.30691068559315
"26",335.056573,"C19H12O6",335.05611166444,0.00789797829629085,1.3768904490085
"27",336.999448,"C17H6O8",336.99899071764,0.0120674299404667,1.35692501342239
"28",337.035839,"C18H10O7",337.03537622294,0.00408909411185873,1.37308155959324
"29",337.072156,"C19H14O6",337.07176172824,0.199295390233353,1.16969679684723
"30",339.015146,"C17H8O8",339.01464078144,0.12126324886086,1.49025587466521
"31",339.051451,"C18H12O7",339.05102628674,0.116339375051941,1.25265292550747
"32",339.087791,"C19H16O6",339.08741179204,0.250672925774549,1.11831919092728
"33",341.030768,"C17H10O8",341.03029084524,0.030164033752166,1.39915653481436
"34",341.067136,"C18H14O7",341.06667635054,0.0213103147420611,1.34768211583941
"35",341.08236,"C22H14O4",341.08193248364,0.115579794845374,1.25341250672049
"36",341.103458,"C19H18O6",341.10306185584,0.207630099797647,1.16136207584116
