"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"1",243.029691294185,1171771.1,32.78,"C13H8O5","O5","CHO",13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,244.036967746345,243.02989691454,-0.842578715970252,0.84,243,242.75832216976,0.241677830240405,10,0.384615384615385,0.615384615384615,5,18.7720902589769,18,1,28,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"2",245.008993584535,901497.4,24.46,"C12H6O6","O6","CHO",12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,246.016270036695,245.00916147304,-0.6824284618957,0.68,245,244.73541435349,0.264585646509971,10,0.5,0.5,4,18.9243413788615,18,1,26,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"3",245.045422534664,905467.7,24.58,"C13H10O5","O5","CHO",13,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,246.052698986824,245.04554697834,-0.505760254901637,0.51,245,244.771802626728,0.228197373272081,9,0.384615384615385,0.769230769230769,4,18.9271402638846,18,1,28,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"4",247.024684825069,886070.9,24,"C12H8O6","O6","CHO",12,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248.031961277229,247.02481153684,-0.510868721374103,0.51,247,246.748854855177,0.25114514482263,9,0.5,0.666666666666667,3,19.0793913837692,18,0.9,26,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"5",253.0504805758,810142.1,21.5,"C15H10O4","O4","CHO",15,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.05775702796,253.05063235604,-0.597424151362056,0.6,253,252.767922148541,0.232077851458797,11,0.266666666666667,0.666666666666667,7,19.5429160621692,19,1,32,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"6",255.029789462344,1189263.3,32.47,"C14H8O5","O5","CHO",14,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.037065914504,255.02989691454,-0.419674374970844,0.42,255,254.7450209211,0.254979078899567,11,0.357142857142857,0.571428571428571,6,19.6951671820538,19,1,30,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"7",257.009016633252,804094.4,21.04,"C13H6O6","O6","CHO",13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258.016293085412,257.00916147304,-0.561359076218621,0.56,257,256.722038069267,0.277961930732545,11,0.461538461538462,0.461538461538462,5,19.8474183019385,19,1,28,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"8",257.045424581211,1161216.5,31.25,"C14H10O5","O5","CHO",14,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258.052701033371,257.04554697834,-0.474310591425594,0.47,257,256.758405363786,0.24159463621379,10,0.357142857142857,0.714285714285714,5,19.8502171869615,19,1,30,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"9",259.024609752178,1025133.7,27.35,"C13H8O6","O6","CHO",13,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.031886204338,259.02481153684,-0.775999684120592,0.78,259,258.735380558911,0.264619441089224,10,0.461538461538462,0.615384615384615,4,20.0024683068462,19,0.9,28,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"10",265.050410138945,885424.3,23.04,"C16H10O4","O4","CHO",16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266.057686591105,265.05063235604,-0.835221481652051,0.84,265,264.754452483133,0.245547516866679,12,0.25,0.625,8,20.4659929852462,20,1,34,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
