"","exp_mass","abundance","RT"
"1",203.938165810189,1030447,30.02
"2",203.940932806401,891023.3,25.69
"3",203.943549802818,865679.4,24.9
"4",203.945129800655,850367.6,24.43
"5",280.436652145967,800688.1,20.04
"6",305.904383233061,812866.5,19.39
"7",305.908635226225,821426.8,19.62
"8",305.911856221047,1058627,25.82
"9",305.915121215799,770371.1,18.28
"10",318.053228702773,1039665.5,24.87
"11",320.032476520967,1283382.5,30.46
"12",320.056315482644,761848.1,17.35
"13",320.068904462406,967737,22.53
"14",321.091939817791,821055.1,18.84
"15",322.011713339178,1224190.9,28.97
"16",322.035570300825,936576.6,21.74
"17",322.048140280618,1559745.5,37.41
"18",322.063324256209,733058.6,16.63
"19",322.071867242475,789571.1,18.05
"20",322.983228777385,1451523.3,34.68
"21",323.071213635942,1314697.5,31.24
"22",323.10776057719,738124,16.75
"23",324.02742609875,1802829.6,43.51
"24",324.05125106045,1041871.3,24.38
"25",324.063735040381,1258448.1,29.83
"26",324.07903801578,757329.3,17.23
"27",326.006691916915,1195229.5,28.24
"28",326.03053787858,906335.2,20.97
"29",326.043118858355,1344480.1,31.99
"30",326.058213834089,1094433.3,25.7
"31",326.06680382028,716193.9,16.19
"32",326.978206355124,1379749.5,32.87
"33",328.022285676679,987636,23.01
"34",328.037586652081,1058677.1,24.8
"35",328.046209638219,904693.8,20.93
"36",328.058789617996,781174.8,17.82
"37",328.073861593766,1394295.9,33.24
"38",330.053211411795,1925904,44.82
"39",330.061881397858,738064.7,16.1
"40",330.089538353397,758162.9,16.58
"41",331.047803812905,729566.1,15.89
"42",332.032596229768,1759916.4,40.8
"43",332.056311191645,984366.3,22.05
"44",332.06894817133,1542063.4,35.53
"45",332.092675133186,772849.3,16.94
"46",333.091947526772,984769.9,22.06
"47",334.011881047902,1400397.3,32.1
"48",334.035647009696,977551.2,21.88
"49",334.048129989629,2257488.3,52.82
"50",334.072088951113,925330.1,20.62
"51",334.084439931258,936275.2,20.88
"52",335.071243344888,1398693,32.06
"53",335.107656286351,717864.1,15.6
"54",336.014812828021,742324.3,16.19
"55",336.027426807743,1929333.3,44.89
"56",336.051307769353,1198071.4,27.21
"57",336.063766749324,1686520.4,39.02
"58",336.078943724925,761273.7,16.65
"59",337.050645162834,1111116.3,25.1
"60",337.086844104641,1601743.4,36.96
"61",338.00674062583,1347486.6,30.82
"62",338.030511587617,1091168.6,24.62
"63",338.043091567393,1665313.8,38.5
"64",338.058265543,765411,16.74
"65",338.066956529028,1121955.8,25.36
"66",338.079409509009,855588.9,18.92
"67",338.978162064189,1829875.1,42.48
"68",340.022398385492,1312079,28.78
"69",340.046189347246,953105.1,20.44
"70",340.058686327156,1019794.3,21.99
"71",340.073991302552,1055827.6,22.83
"72",342.025484165363,877954.3,18.69
"73",342.037976145281,964419.4,20.7
"74",342.053296120653,1599620.8,35.46
"75",342.062051106579,862981.6,18.35
"76",342.089561062354,1005320.1,21.65
"77",342.973147641915,1323864.4,29.05
"78",344.032526938874,1308985.6,28.7
"79",344.056326900613,851963.8,18.09
"80",344.06898788026,1393533,30.67
"81",346.011981756734,1063090,22.99
"82",346.03560371876,897780.3,19.15
"83",346.048171698556,1897589.5,42.37
"84",346.072103660083,870071.7,18.5
"85",346.084556640064,1106744.9,24
"86",347.071190053968,1057238.1,22.85
"87",348.027513516598,1789617.3,39.86
"88",348.051220478487,1209523.5,26.38
"89",348.063799458265,1588148.8,35.18
