"","abundance","exp_mass","formula","R_mass","recal_err"
"1",769612.9,177.019399,"C9H6O4",177.019290943741,0.233221411904199
"2",872204.8,179.035072,"C9H8O4",179.034962713333,0.109357994148005
"3",950513.3,181.050721,"C9H10O4",181.05061048294,0.120812060285153
"4",923255.3,183.03001,"C8H8O5",183.029898274742,0.00743158180056004
"5",873342.9,191.03507,"C10H8O4",191.034953388289,0.151301872883976
"6",870871.8,193.01438,"C9H6O5",193.014262180078,0.0794207598159592
"7",973851.3,193.050739,"C10H10O4",193.050621157884,0.058006316903151
"8",1245015.3,195.030037,"C9H8O5",195.02991794968,0.107855976217121
"9",1362682.8,195.066393,"C10H12O4",195.066273927487,0.0435357275250849
"10",909398.1,197.009254,"C8H6O6",197.009133741525,0.140762563450776
"11",1323129.6,197.045657,"C9H10O5",197.045536719304,0.0520642858852539
"12",906395.3,199.024921,"C8H8O6",199.024799511121,0.0604232145499474
"13",1197782.9,205.050783,"C11H10O4",205.050657832812,0.12424624830105
"14",1648673,207.03004,"C10H8O5",207.029913624633,0.0807134289008828
"15",1142948.8,207.06639,"C11H12O4",207.066263602444,0.0908761953225876
"16",1107180.8,209.009269,"C9H6O6",209.009141416471,0.0959602383714084
"17",1841008.5,209.045665,"C10H10O5",209.045537394254,0.0458468785432185
"18",1631092.3,209.082059,"C11H14O4",209.081931372039,0.00531658314196761
"19",1694589.6,211.024954,"C9H8O6",211.024825186056,0.0646806204047255
"20",2383809.5,211.061339,"C10H12O5",211.061210163846,0.0621701466104642
"21",1502799.8,213.040588,"C9H10O6",213.040457955672,0.0171092779533099
"22",1315106.9,215.056262,"C9H12O6",215.056130725263,0.0886318589260298
"23",1408069.1,219.030052,"C11H8O5",219.02991829958,0.0976352571034017
"24",1163720.9,219.066439,"C12H12O4",219.066305277369,0.104340698533021
"25",1330069.9,221.009279,"C10H6O6",221.00914409142,0.0786466053267414
"26",1731097.8,221.045693,"C11H10O5",221.045558069192,0.0501745093818301
"27",1573853.6,221.082037,"C12H14O4",221.081902047007,0.137671282753524
"28",856129.4,221.118481,"C13H18O3",221.118346024761,0.126791035822235
"29",1994154.6,223.024966,"C10H8O6",223.024829861003,0.0821619938461502
"30",2102830.5,223.061354,"C11H12O5",223.061217838791,0.0932329398690139
"31",1906610.4,223.097727,"C12H16O4",223.097590816588,0.0370651634702347
"32",913531.4,225.004196,"C9H6O7",225.004058652841,0.0775208145523231
"33",2059775.3,225.040607,"C10H10O6",225.040469630615,0.0356823597461738
"34",3015555,225.076997,"C11H14O5",225.076859608402,0.0555475239014162
"35",857999.7,227.019886,"C9H8O7",227.019725079318,0.00475651164229512
"36",2174163.5,227.056247,"C10H12O6",227.056086053544,0.11279544904725
"37",1031395.4,229.035542,"C9H10O7",229.035379650541,0.0149653792072193
"38",1553191.1,229.07191,"C10H14O6",229.071747624762,0.0615679459206594
"39",781814.3,231.05123,"C9H12O7",231.051066221742,0.172840616299891
"40",939842.1,233.009334,"C11H6O6",233.00916883376,0.0315898316756105
"41",1597765.9,233.045723,"C12H10O5",233.045557807966,0.0464699985664417
"42",1190409.6,233.082094,"C13H14O4",233.081928782185,0.015880488722746
"43",788653.4,233.11851,"C14H18O3",233.118344756372,0.114823374273064
"44",2116754.8,235.024985,"C11H8O6",235.024818404987,0.0292230718508574
"45",2079382.5,235.061363,"C12H12O5",235.061196379201,0.00282028361719769
"46",2178913.8,237.040628,"C11H10O6",237.040459976219,0.00685292554103345
"47",3003365.5,237.076997,"C12H14O5",237.07682895044,0.0765806555050468
"48",2067049.3,237.113387,"C13H18O4",237.113218924645,0.0577217683359025
"49",1507947.6,239.019899,"C10H8O7",239.019729573234,0.0142837321807465
"50",2623791.3,239.056293,"C11H12O6",239.056123547436,0.0497079794669674
"51",4804915,239.092667,"C12H16O5",239.092497521653,0.00147186934241341
"52",1761143.3,241.035532,"C10H10O7",241.035361144473,0.0625570691699743
"53",3285242.8,241.071898,"C11H14O6",241.071727118696,0.143565318988909
"54",1563329,243.05119,"C10H12O7",243.051017715695,0.0352643847356623
"55",2466244.5,243.087552,"C11H16O6",243.08737968992,0.13205998390854
"56",757605.4,245.030441,"C9H10O8",245.030267312724,0.0960392132931813
"57",1709513.5,247.024979,"C12H8O6",247.024803898916,0.0309196626115736
"58",1774029,247.06137,"C13H12O5",247.061194873121,0.00877927913132018
"59",1363024.6,247.097759,"C14H16O4",247.097583847327,0.00526062140891234
"60",1085642.4,249.004248,"C11H6O7",249.004071495932,0.0184712159909388
"61",2157709.8,249.040666,"C12H10O6",249.040489470117,0.111907427522481
"62",2414353.5,249.077037,"C13H14O5",249.076860444336,0.0535513291752395
"63",2333973,249.113376,"C14H18O4",249.113199418578,0.133243272356821
"64",1977805,251.019909,"C11H8O7",251.019731067152,0.0195522945290067
"65",3100368.5,251.056268,"C12H12O6",251.056090041379,0.086128399407056
"66",4275924,251.092682,"C13H16O5",251.092504015567,0.0272641648831236
"67",2019287.5,251.129078,"C14H20O4",251.128899989768,0.0689475782794542
"68",2127758,253.035585,"C11H10O7",253.035405638361,0.11625023005647
"69",4757393.5,253.071933,"C12H14O6",253.071753612596,0.0320685491151991
"70",5305493,253.108322,"C13H18O5",253.108142586802,0.0183587063428355
"71",2584653,255.05122,"C11H12O7",255.051039209599,0.0506677389351766
"72",6291536.5,255.087586,"C12H16O6",255.087405183821,0.0259057033785115
"73",939719.1,257.0305,"C10H10O8",257.030317806607,0.104895678735497
"74",2755466.5,257.066872,"C11H14O7",257.066689780825,0.052244363656744
"75",3272973.8,257.103236,"C12H18O6",257.103053755049,0.0315079537283239
"76",1195328.8,259.024981,"C13H8O6",259.02479739284,0.0546048086160791
"77",941442.8,259.046073,"C10H12O8",259.045889377889,0.19892668830364
"78",1163974.1,259.082501,"C11H16O7",259.082317352067,0.0349783517226649
"79",1903098.9,261.040628,"C13H10O6",261.040442964069,0.0713934174410096
"80",2013822.1,261.077032,"C14H14O5",261.076846938265,0.00064224476772037
"81",1698945.5,261.113414,"C15H18O4",261.113228912476,0.0141653650533829
"82",1686447.9,263.01992,"C12H8O7",263.019733561069,0.0281421052876965
"83",2551347.3,263.056315,"C13H12O6",263.056128535271,0.0641339618143515
"84",3391798.5,263.092654,"C14H16O5",263.092467509512,0.112736882491085
"85",2366777.8,263.129066,"C15H20O4",263.128879483702,0.0121284221934972
"86",842659.3,264.999179,"C11H6O8",264.998991158092,0.00166208837792536
"87",2652902.5,265.035554,"C12H10O7",265.035366132308,0.0380727754767778
"88",4029417.8,265.071961,"C13H14O6",265.071773106501,0.042925209564823
"89",5970157,265.108322,"C14H18O5",265.108134080727,0.0496130099754972
"90",1580784.4,265.144712,"C15H22O4",265.144524054932,0.032751600542009
"91",1445080.4,267.014826,"C11H8O8",267.014636729321,0.0151756423753171
"92",3075355.5,267.051212,"C12H12O7",267.05102270353,0.013417699845244
"93",8106143,267.087613,"C13H16O6",267.087423677727,0.0445011126581173
"94",5571746,267.124004,"C14H20O5",267.123814651932,0.0649683473497577
"95",1907531.8,269.030493,"C11H10O8",269.030302300537,0.0425799514202179
"96",5190223,269.066867,"C12H14O7",269.066676274753,0.000281664763957151
"97",9049938,269.103245,"C13H18O6",269.103054248967,0.0282675073198107
"98",2181885.5,271.046165,"C11H12O8",271.045972871749,0.117923583296893
"99",5090817,271.082518,"C12H16O7",271.08232584598,0.00209663184219355
"100",3007236,271.118903,"C13H20O6",271.118710820189,0.00405523824450463
"101",1711403.9,273.040666,"C14H10O6",273.040472457967,0.0397645361692482
"102",1464493.8,273.06178,"C11H14O8",273.061586443001,0.0165890745475399
"103",1513648.9,273.098171,"C12H18O7",273.097977417206,0.00343856651692983
"104",1194391.4,275.019934,"C13H8O7",275.019739054984,0.046890614059666
"105",2492506.5,275.056308,"C14H12O6",275.0561130292,0.00496175312456895
"106",2165085.8,275.092693,"C15H16O5",275.092498003409,0.00303050573206755
"107",1340704.8,275.129103,"C16H20O4",275.128907977601,0.0919662096909821
"108",827271.4,266.111705,"C14H18O5",266.111516369489,0.0531203992480904
"109",1071928.4,268.090966,"C13H16O6",268.090775966511,0.034221509327903
"110",1127338.9,270.106602,"C13H18O6",270.106410537748,0.0233911210440295
"111",2409220.5,277.035601,"C13H10O7",277.035386757437,0.0380258172785127
"112",3060487.5,277.071962,"C14H14O6",277.071747729317,0.0505245383051339
"113",4596746.5,277.108348,"C15H18O5",277.108133701178,0.0488342247770366
"114",1040589.8,277.144708,"C16H22O4",277.14449367306,0.140958148442631
"115",1476652.8,279.014841,"C12H8O8",279.014625226812,0.0557484286495722
"116",3416240,279.051239,"C13H12O7",279.051023198664,0.0110663481209804
"117",6309043,279.087632,"C14H16O6",279.08741617052,0.0156885616690484
"118",7164086,279.124002,"C15H20O5",279.123786142394,0.0399641536455215
"119",824441.1,279.160418,"C16H24O4",279.160202114232,0.0691774577697741
"120",2102486.8,281.030517,"C12H10O8",281.03029966801,0.0313943749598746
"121",5579610,281.066883,"C13H14O7",281.066665639887,0.0381071600350686
"122",12024669,281.103244,"C14H18O6",281.103026611768,0.125377760093329
