"","exp_mass","abundance"
"2",122.389408138649,739167.4
"3",137.517613907537,1034793.4
"4",152.980964427614,968856.3
"5",152.982114426761,744008.3
"6",152.984990424625,725880.4
"7",152.985689424106,888328.5
"8",152.98631842364,703208.5
"9",152.98763842266,958072.6
"11",181.071731386005,1076841.1
"18",203.976890080685,1337431.3
"19",203.977622080068,1103927.3
"20",203.979394078574,1384631.5
"21",203.98204507634,974615.7
"24",206.022054356944,747290.4
"27",209.027322823992,702811.3
"34",216.016956932868,682720.7
"36",217.02472908348,747330.5
"37",218.02209824286,701571.4
"39",220.019510559367,764453
"41",221.027326709942,778310.6
"44",222.016976875828,837766.2
"48",224.032598279314,826216.4
"55",228.01691026498,723557.1
"56",229.024721249575,715908.6
"59",230.032614234088,734275.6
"60",231.022148237098,748192.6
"62",231.040463218645,687682.3
"64",232.029997221655,816542.8
"68",234.016957219723,1010935.1
"73",236.014381207248,788078.2
"74",236.032545188947,910927.9
"76",237.022210191825,775785.8
"80",238.030092176349,727812.6
"84",240.027572163818,743222.8
"88",243.022180146645,857885.2
"91",244.011909149459,721490.6
"92",244.030065131166,871892.3
"94",245.019661134113,805161.1
"95",245.037866115771,780842.7
"98",246.016955129305,741790.1
"99",246.027501118679,956255
"103",248.014415116794,851142.6
"104",248.03253209854,961288.1
"106",249.022198101417,839610.8
"110",250.011808104351,846572.9
"111",250.030054085967,1099502.5
"112",250.048331067552,722831.9
"115",251.037841070586,866433.6
"119",252.027552073418,945234.7
"120",252.045727055106,695668.2
"125",254.025010060909,716085
"126",254.032486053377,705013.6
"132",256.030007040804,766230
"134",257.019705043649,841636.8
"136",257.037930025287,917990.3
"140",258.02754002822,1190132.6
"141",258.045696009927,736374.1
"142",259.017086031218,819970.6
"144",259.035368012798,940996
"148",260.025005015704,961105.6
"149",260.032565008087,851538.2
"151",261.022253010942,764895.3
"152",261.032794000321,758336.2
"155",262.011922013816,864236.1
"156",262.03008099552,907757.6
"157",262.048259977204,713326.9
"159",263.037931980075,789435.4
"163",264.027510983039,1343879.5
"164",264.045746964666,765832.9
"166",265.017170985922,769555.2
"170",265.147852854256,765341.2
"171",266.024972970526,919264
"172",266.043165952196,722337.4
"174",267.03281495509,947948.5
"178",268.030073950317,753207.8
"181",269.037934934862,873731.7
"186",270.027540937799,952077.9
"188",271.017135940747,873879.9
"190",271.035371922374,929561.3
"195",272.024934925355,1113507
"196",272.043198906953,802148.3
"197",273.032789315199,1076653.8
"199",273.050977294437,688559.1
"203",274.022336185567,731255
"204",274.029995176824,704951.6
"205",274.040647164664,811832.3
"207",275.030227034994,757953.4
"210",276.02743089662,1260746.8
"212",277.017152766788,803667.3
"216",278.024904616373,1198493.1
"217",278.043135595561,1062622.5
"219",279.032774465824,1144358.8
"223",280.022391336111,1098414.9
"224",280.040673315241,896176.2
"225",280.058858294482,838705.5
"231",282.027462047192,841024.5
"235",283.035329896645,883849.6
"240",284.024966766909,883025.2
"241",284.043189746107,821906.5
"244",285.014502637289,802328.8
"246",285.032830616367,1033370.1
"248",285.051018595604,705179.4
"252",286.02241648669,1170401.5
"253",286.040534466007,1085154.8
"254",286.048197457259,796515.3
"257",287.030272336156,1114922.1
"259",287.04848131537,783083.5
"264",288.02748719777,1093554
