"","abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
"1",1168139.5,395.040750509639,"C20H12O9","O9","CHO",20,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,396.048026961799,395.04085553134,-0.265174156328983,0.27,395,394.599644478489,0.400355521510619,15,0.45,0.6,6,30.4652409218077,29,1,42,0.3,0,0,0,0,0,0,"Unambiguous"
"2",1595754.1,411.035668569055,"C20H12O10","O10","CHO",20,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.042945021215,411.03577015364,-0.246538827836132,0.25,411,410.576702469509,0.42329753049097,15,0.5,0.6,5,31.6956189696769,30,0.9,42,0.3,0,0,0,0,0,0,"Unambiguous"
"3",1934432,383.040868469681,"C19H12O9","O9","CHO",19,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,384.048144921841,383.04085553134,0.0336893714353817,0.03,383,382.613161614019,0.386838385980866,14,0.473684210526316,0.631578947368421,5,29.5421639987308,28,0.9,40,0.3,0,0,0,0,0,0,"Unambiguous"
"4",1323618.1,679.188242134168,"C31H36O17","O17","CHO",31,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,680.195518586328,679.18797327534,0.395266980198856,0.4,679,678.429854475416,0.570145524584404,14,0.548387096774194,1.16129032258065,-3,52.3227115175,48,0.9,64,0.6,0,0,0,0,0,0,"Unambiguous"
"5",999648.2,577.098484419206,"C29H22O13","O13","CHO",29,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,578.105760871366,577.09876433954,-0.484202638060849,0.48,577,576.454091095945,0.545908904055295,19,0.448275862068966,0.758620689655172,6,44.4696954455154,42,0.9,60,0.4,0,0,0,0,0,0,"Unambiguous"
"6",716152.3,569.202688810481,"C30H34O11","O11","CHO",30,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.209965262641,569.20283547774,-0.257216232606502,0.26,569,568.567112003135,0.432887996865475,14,0.366666666666667,1.13333333333333,3,43.8623163023,41,0.9,62,0.5,0,0,0,0,0,0,"Unambiguous"
"7",1056100.8,563.082688639814,"C28H20O13","O13","CHO",28,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,564.089965091974,563.08311427574,-0.7545532675926,0.75,563,562.453945479331,0.546054520668577,19,0.464285714285714,0.714285714285714,6,43.3915685175308,41,0.9,58,0.3,0,0,0,0,0,0,"Unambiguous"
"8",835101.3,555.187071030832,"C29H32O11","O11","CHO",29,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,556.194347482992,555.18718541394,-0.205653128757334,0.21,555,554.567144187508,0.432855812491653,14,0.379310344827586,1.10344827586207,3,42.7841893743154,40,0.9,60,0.5,0,0,0,0,0,0,"Unambiguous"
"9",923975.7,553.171416938819,"C29H30O11","O11","CHO",29,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,554.178693390979,553.17153535014,-0.213669926576874,0.21,553,552.553740792862,0.446259207138382,15,0.379310344827586,1.03448275862069,4,42.6291393694077,40,0.9,60,0.5,0,0,0,0,0,0,"Unambiguous"
"10",754290.2,551.15588484663,"C29H28O11","O11","CHO",29,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,552.16316129879,551.15588528634,-0.000796340072318903,0,551,550.540459261813,0.459540738187343,16,0.379310344827586,0.96551724137931,5,42.4740893645,40,0.9,60,0.5,0,0,0,0,0,0,"Unambiguous"
"11",1134104.5,549.10340180775,"C28H22O12","O12","CHO",28,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,550.11067825991,549.10384971724,-0.814217042463693,0.81,549,548.49026804383,0.509731956169958,18,0.428571428571429,0.785714285714286,6,42.3162404745692,40,0.9,58,0.4,0,0,0,0,0,0,"Unambiguous"
"12",1274644.6,549.067148860053,"C27H18O13","O13","CHO",27,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,550.074425312213,549.06746421194,-0.573289490914439,0.57,549,548.454055576498,0.545944423502419,19,0.481481481481481,0.666666666666667,6,42.3134415895462,40,0.9,56,0.3,0,0,0,0,0,0,"Unambiguous"
"13",1007983.1,539.155768159216,"C28H28O11","O11","CHO",28,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,540.163044611376,539.15588528634,-0.216836611850221,0.22,539,538.553742011895,0.44625798810489,15,0.392857142857143,1,4,41.5510124414231,39,0.9,58,0.5,0,0,0,0,0,0,"Unambiguous"
"14",1016083.8,537.139815067634,"C28H26O11","O11","CHO",28,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,538.147091519794,537.14023522254,-0.780743615908063,0.78,537,536.540039951545,0.459960048454832,16,0.392857142857143,0.928571428571429,5,41.3959624365154,39,0.9,58,0.4,0,0,0,0,0,0,"Unambiguous"
"15",1431347,535.087812028062,"C27H20O12","O12","CHO",27,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,536.095088480222,535.08819965344,-0.723053403814378,0.72,535,534.490328196899,0.509671803101469,18,0.444444444444444,0.740740740740741,6,41.2381135465846,39,0.9,56,0.4,0,0,0,0,0,0,"Unambiguous"
"16",760471.4,525.176501327123,"C28H30O10","O10","CHO",28,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,526.183777779283,525.17662072784,-0.226918277657526,0.23,525,524.590084554033,0.409915445967385,14,0.357142857142857,1.07142857142857,4,40.4756843984615,38,0.9,58,0.5,0,0,0,0,0,0,"Unambiguous"
"17",1298131.1,525.140185379517,"C27H26O11","O11","CHO",27,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,526.147461831677,525.14023522254,-0.0947320420441472,0.09,525,524.553809157137,0.446190842862734,15,0.407407407407407,0.962962962962963,4,40.4728855134385,38,0.9,56,0.5,0,0,0,0,0,0,"Unambiguous"
"18",1029480.8,523.12428428786,"C27H24O11","O11","CHO",27,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,524.13156074002,523.12458515874,-0.574036945364305,0.57,523,522.540159038649,0.459840961351233,16,0.407407407407407,0.888888888888889,5,40.3178355085308,38,0.9,56,0.4,0,0,0,0,0,0,"Unambiguous"
"19",929787.6,521.108840195544,"C27H22O11","O11","CHO",27,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522.116116647704,521.10893509494,-0.181759177875429,0.18,521,520.526965409211,0.473034590788643,17,0.407407407407407,0.814814814814815,6,40.1627855036231,38,0.9,56,0.4,0,0,0,0,0,0,"Unambiguous"
"20",1424247.4,521.072412248099,"C26H18O12","O12","CHO",26,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522.079688700259,521.07254958964,-0.263066241373181,0.26,521,520.490578137538,0.509421862462318,18,0.461538461538462,0.692307692307692,6,40.1599866186,38,0.9,54,0.3,0,0,0,0,0,0,"Unambiguous"
"21",832011.3,519.093179103541,"C27H20O11","O11","CHO",27,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,520.100455555701,519.09328503114,-0.203667576011642,0.2,519,518.513555022391,0.486444977609153,18,0.407407407407407,0.740740740740741,7,40.0077354987154,38,0.9,56,0.4,0,0,0,0,0,0,"Unambiguous"
"22",1024954.4,511.160825547559,"C27H28O10","O10","CHO",27,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,512.168101999719,511.16097066404,-0.283337601038126,0.28,511,510.590058803253,0.409941196746558,14,0.37037037037037,1.03703703703704,4,39.3975574704769,37,0.9,56,0.5,0,0,0,0,0,0,"Unambiguous"
"23",1230643.9,507.093360415696,"C26H20O11","O11","CHO",26,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508.100636867856,507.09328503114,0.148365403929625,0.15,507,506.527135439294,0.472864560705602,17,0.423076923076923,0.769230769230769,6,39.0846585756385,37,0.9,54,0.4,0,0,0,0,0,0,"Unambiguous"
"24",1303087.1,507.056728468545,"C25H16O12","O12","CHO",25,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508.064004920705,507.05689952584,-0.336684538014689,0.34,507,506.490544395703,0.509455604297159,18,0.48,0.64,6,39.0818596906154,37,0.9,52,0.3,0,0,0,0,0,0,"Unambiguous"
