"","exp_mass","abundance"
"2",112.985553722405,10717694
"3",126.905012955658,906778
"36",203.96242928685,740477.6
"43",209.027404469709,739715.4
"72",226.978399904605,14205029
"92",236.032573882905,901314.5
"97",238.030053113204,736137.6
"98",238.048225097104,773707.1
"121",248.032581251293,827064
"122",248.080026209258,3274043.5
"123",248.581643764842,863520.5
"124",248.960355429316,8173436.5
"134",252.02749571193,953433.8
"139",254.043187926093,807271.7
"157",260.043133610339,881983.2
"160",261.03280773352,740032.4
"165",262.879882097073,987512.9
"171",264.027476107644,1080130.9
"176",265.147915042946,766154.6
"177",266.043141192257,772099.4
"197",272.024951508036,782967.8
"198",272.043127490764,794264.9
"211",276.027514704597,996266.9
"217",278.024861806616,779746.8
"218",278.043147789239,1036707.9
"221",279.032746848872,812447.1
"225",280.040570891186,820763.1
"229",281.048452933445,760791.1
"233",282.038111993021,744657.9
"239",283.080770002234,844047.7
"252",286.02250220685,763357.7
"253",286.040600189653,756926.8
"258",287.048357232031,736186.4
"263",288.027431301665,840500.3
"264",288.038069291556,762420.9
"273",290.043161386215,846187.5
"279",292.022456505388,847200.9
"280",292.040656488094,948834
"281",292.0588554708,788515.1
"287",294.038127589995,973208.9
"302",297.152950630131,4434771.5
"321",302.043110983252,858236.9
"331",304.022426102406,895671.2
"332",304.058787067854,807481.4
"339",306.038104187006,1094581.1
"341",307.027761246583,851763.6
"346",308.035637288848,744243.6
"348",308.053695271689,1000372.7
"365",311.16860731174,8014525
"369",312.171981358283,1464574.9
"371",313.027771733236,854071.2
"373",313.045935714362,907384.4
"374",313.054576705384,754232.9
"377",313.090973667563,1050683.4
"390",316.032988610519,792576.2
"391",316.058782583717,737761.9
"401",318.03807152704,1024521.2
"403",319.027604498818,789197.8
"410",320.035590451421,989204.3
"412",320.053670432634,1105685.5
"414",321.043343404266,738395.4
"426",323.115512251078,762863.8
"429",324.0486072815,745139.7
"436",325.090871198485,1196160.3
"438",325.094819194383,1150592.6
"440",325.147817139313,1137284.5
"442",325.184271101433,8896647
"443",326.035602216816,847878.4
"444",326.053760197948,732615.8
"449",326.187590058886,1737041.8
"452",327.04345316956,752082
"454",327.070099141872,1061908
"457",327.106472104077,1168662.8
"460",327.163507044812,1401371.1
"461",328.03303114129,873053.1
"467",329.041027093883,795754.3
"470",329.085806047353,754605.8
"472",329.089855043146,843694.1
"476",330.038112057813,918775.6
"481",331.027900029326,770597.1
"489",332.017448001088,733651.5
"490",332.03549998233,806612.9
"491",332.053680963438,905494.4
"493",333.043303935122,850725.7
"499",334.033049906678,1112693.9
