"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"1",253.107955826879,938315.8,24.9,"C13H18O5","O5","CHO",13,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.115232279039,253.10814723354,-0.753227815804464,0.75,253,252.825333222241,0.174666777759143,5,0.384615384615385,1.38461538461538,0,19.5473402835154,18,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"2",255.087306118758,1361101.4,36.99,"C12H16O6","O6","CHO",12,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.094582570918,255.08741179204,-0.412633802851519,0.41,255,254.802473353902,0.197526646097856,5,0.5,1.33333333333333,-1,19.6995914034,18,0.9,26,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"3",257.066582410777,821517.8,21.21,"C11H14O7","O7","CHO",11,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258.073858862937,257.06667635054,-0.364003403429278,0.36,257,256.779539568331,0.220460431669039,5,0.636363636363636,1.27272727272727,-2,19.8518425232846,18,0.9,24,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"4",265.071622414114,817164.6,20.73,"C13H14O6","O6","CHO",13,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266.078898866274,265.07176172824,-0.523582016385831,0.52,265,264.775641072486,0.224358927513833,7,0.461538461538462,1.07692307692308,1,20.4676183215692,19,0.9,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"5",265.108019345928,876750.9,22.38,"C14H18O5","O5","CHO",14,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266.115295798088,265.10814723354,-0.480572197350236,0.48,265,264.811997363161,0.188002636839201,6,0.357142857142857,1.28571428571429,1,20.4704172065923,19,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"6",267.087324637892,1683212.1,44.71,"C13H16O6","O6","CHO",13,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268.094601090052,267.08741179204,-0.32508729351819,0.33,267,266.789092545154,0.210907454846279,6,0.461538461538462,1.23076923076923,0,20.6226683264769,19,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"7",267.123623569889,801134.4,20.28,"C14H20O5","O5","CHO",14,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268.130900022049,267.12379729734,-0.64792029122484,0.65,267,266.825350945439,0.174649054560575,5,0.357142857142857,1.42857142857143,0,20.6254672115,19,0.9,30,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
"8",269.066601929908,1282761.1,33.62,"C12H14O7","O7","CHO",12,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,270.073878382068,269.06667635054,-0.275556570171535,0.28,269,268.766159758464,0.233840241535916,6,0.583333333333333,1.16666666666667,-1,20.7749194463615,19,0.9,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"9",269.10293586184,1774219.5,47.23,"C13H18O6","O6","CHO",13,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,270.110212314,269.10306185584,-0.466454040085348,0.47,269,268.802453119603,0.197546880397113,5,0.461538461538462,1.38461538461538,-1,20.7777183313846,19,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"10",271.082154153967,1338568.5,34.57,"C12H16O7","O7","CHO",12,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272.089430606127,271.08232641434,-0.633102036430593,0.63,271,270.779461398904,0.220538601096393,5,0.583333333333333,1.33333333333333,-2,20.9299694512692,19,0.9,26,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"11",271.118638085618,746794.9,18.45,"C13H20O6","O6","CHO",13,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272.125914537778,271.11871191964,-0.271323008224004,0.27,271,270.81590459227,0.184095407729501,4,0.461538461538462,1.53846153846154,-2,20.9327683362923,19,0.9,28,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
"12",279.087366156982,1059079,26.47,"C14H16O6","O6","CHO",14,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280.094642609142,279.08741179204,-0.162927279572126,0.16,279,278.77573471068,0.22426528931976,7,0.428571428571429,1.14285714285714,1,21.5457452495538,20,0.9,30,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"13",279.123684088944,769033.4,18.71,"C15H20O5","O5","CHO",15,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280.130960541104,279.12379729734,-0.404126684365512,0.4,279,278.812012089715,0.18798791028513,6,0.333333333333333,1.33333333333333,1,21.5485441345769,20,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"14",281.066581449115,1066311.1,26.66,"C13H14O7","O7","CHO",13,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,282.073857901275,281.06667635054,-0.3364417605967,0.34,281,280.752739993336,0.24726000666368,7,0.538461538461538,1.07692307692308,0,21.6979963694385,20,0.9,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"15",281.102920381037,2053001.5,53.06,"C14H18O6","O6","CHO",14,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,282.110196833197,281.10306185584,-0.501487732166761,0.5,281,280.789038348883,0.210961651117145,6,0.428571428571429,1.28571428571429,0,21.7007952544615,20,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"16",283.045870741109,744648.5,18.05,"C12H12O8","O8","CHO",12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.053147193269,283.04594090904,-0.2470239529078,0.25,283,282.729819193225,0.270180806775159,7,0.666666666666667,1,-1,21.8502474893231,20,0.9,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"17",283.082210673029,2167819,56.13,"C13H16O7","O7","CHO",13,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.089487125189,283.08232641434,-0.407411452516463,0.41,283,282.766118547653,0.233881452347077,6,0.538461538461538,1.23076923076923,-1,21.8530463743462,20,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"18",283.118589604877,1550221.3,39.6,"C14H20O6","O6","CHO",14,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.125866057037,283.11871191964,-0.430494994052882,0.43,283,282.80245685846,0.197543141539768,5,0.428571428571429,1.42857142857143,-1,21.8558452593692,20,0.9,30,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
"19",285.061529964967,1027277.6,25.14,"C12H14O8","O8","CHO",12,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,286.068806417127,285.06159097284,-0.213262932871277,0.21,285,284.743227713987,0.256772286012961,6,0.666666666666667,1.16666666666667,-2,22.0052974942308,20,0.9,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"20",285.097912896807,1570384,39.41,"C13H18O7","O7","CHO",13,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,286.105189348967,285.09797647814,-0.222230616047504,0.22,285,284.77957002032,0.220429979679523,5,0.538461538461538,1.38461538461538,-2,22.0080963792538,20,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"21",293.066557968326,865519.1,20.49,"C14H14O7","O7","CHO",14,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.073834420486,293.06667635054,-0.402559492310988,0.4,293,292.739317231564,0.26068276843597,8,0.5,1,1,22.6210732925154,21,0.9,30,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"22",293.102934900178,1385713.6,33.89,"C15H18O6","O6","CHO",15,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.110211352338,293.10306185584,-0.43166016429676,0.43,293,292.775653544608,0.224346455391697,7,0.4,1.2,1,22.6238721775385,21,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"23",295.04581026039,826107.1,19.47,"C13H12O8","O8","CHO",13,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.05308671255,295.04594090904,-0.441301428379914,0.44,295,294.716359472836,0.283640527163641,8,0.615384615384615,0.923076923076923,0,22.7733244124,21,0.9,28,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"24",295.082260192105,1978045.8,49.16,"C14H16O7","O7","CHO",14,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.089536644265,295.08232641434,-0.22365611510475,0.22,295,294.752768704232,0.247231295768472,7,0.5,1.14285714285714,0,22.7761232974231,21,0.9,30,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"25",295.118613124001,2101440.3,52.34,"C15H20O6","O6","CHO",15,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.125889576161,295.11871191964,-0.333627158618707,0.33,295,294.789081044119,0.210918955880572,6,0.4,1.33333333333333,0,22.7789221824462,21,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"26",297.061594484014,1501004.1,36.86,"C13H14O8","O8","CHO",13,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298.068870936174,297.06159097284,0.0117797417632325,0.01,297,296.729892853788,0.270107146211501,7,0.615384615384615,1.07692307692308,-1,22.9283744173077,21,0.9,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
