"","exp_mass","abundance","RT"
"1",125.356412094983,772972,23.4
"2",203.941543758326,737250,20.92
"3",203.944217754717,781874.3,22.31
"4",203.946598751504,844578.4,24.26
"5",305.899050868256,724574.8,17.31
"6",305.909292850875,802207.3,19.36
"7",305.911477847167,1357023.4,34.04
"8",305.91608383935,808607.7,19.53
"9",324.072326026958,843176.6,19.64
"10",325.090753298616,1182063.9,28.27
"11",327.106291727133,1044992.4,24.77
"12",329.049131048977,767760.4,16.86
"13",334.032864613846,831256.1,18.39
"14",336.048518797838,744255.8,16.28
"15",336.072305752805,936769.8,20.94
"16",338.087878936952,1001710.8,22.51
"17",339.069841077915,904388.9,20.15
"18",340.067191189746,895005.6,18.95
"19",341.085435262022,1138297.4,24.56
"20",343.038117565232,765613,15.96
"21",343.101046446096,804146.9,16.85
"22",346.032924895506,757449.3,15.77
"23",348.048397079844,766478.4,15.97
"24",348.072299034593,756560.8,15.74
"25",350.051637287339,915926.9,19.41
"26",350.087987218521,1061594.6,22.77
"27",351.106053291133,921154.2,18.56
"28",352.067211471483,1131365.1,23.16
"29",353.048883612995,785163.1,15.58
"30",354.082836655531,1127095.6,23.06
"31",355.038106847027,776476.9,15.38
"32",355.100911728126,1180899.6,24.24
"33",356.045967938959,761288.8,15.05
"34",358.043572157124,763041.7,15.08
"35",360.048386361639,783935.4,15.53
"36",360.072452316077,795394.1,15.78
"37",362.027908614036,807518.1,16.05
"38",362.051675569041,892448.8,17.91
"39",362.064186545355,787170.2,15.6
"40",364.043294798536,897284.7,17.1
"41",364.067274753138,1077063.4,20.84
"42",365.085131826146,797757.3,15.02
"43",366.046395006296,853549.5,16.18
"44",366.082888937206,1216305.8,23.73
"45",367.064327079162,925477.2,17.68
"46",367.137134941323,922413.8,17.61
"47",368.06209119021,994651.4,19.11
"48",368.098491121298,1148319.8,22.31
"49",369.116331194338,1080857.3,20.9
"50",370.077731374229,853644.9,16.17
"51",371.033090565557,748480.5,13.98
"52",374.051512851124,796018.8,14.97
"53",376.043444200772,932075.1,16.87
"54",376.067182154893,1043246.1,19.07
"55",378.046450329455,902887.9,16.29
"56",378.05912430496,739049.4,13.06
"57",378.082841259121,1120236.5,20.58
"58",379.064165362463,819689.4,14.65
"59",379.100542292156,880622.1,15.85
"60",380.062019433857,1088681.1,19.95
"61",380.098490363368,1096301.8,20.1
"62",381.116204396378,1161968.9,21.39
"63",382.077741537964,1244653.4,23.02
"64",382.114253467395,861810.1,15.47
"65",383.131884500565,891638.6,16.06
"66",384.040864743731,744941.4,13.16
"67",384.093480642037,1041524.3,19.01
"68",385.048389796433,747313.9,13.21
"69",386.056509847986,750967,13.27
"70",388.043541007545,848767.4,15.2
"71",388.067104962002,809282.6,14.42
"72",390.04113414669,826763.6,13.98
"73",390.046594136137,765644.3,12.84
"74",390.082872066021,986577.2,16.97
"75",392.038496286282,943770,16.16
