"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"1",271.082117337022,768885.9,18.9,"C12H16O7","O7","CHO",12,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272.089393789182,271.08232641434,-0.768414067187511,0.77,271,270.779424623069,0.220575376931379,5,0.583333333333333,1.33333333333333,-2,20.9299694512692,19,0.9,26,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"2",281.102778582657,1143058.6,28.44,"C14H18O6","O6","CHO",14,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,282.110055034817,281.10306185584,-1.00412295946507,1,281,280.788896708836,0.211103291164306,6,0.428571428571429,1.28571428571429,0,21.7007952544615,20,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"3",285.097789713651,765405,18.06,"C13H18O7","O7","CHO",13,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,286.105066165811,285.09797647814,-0.652782880936671,0.65,285,284.779446974711,0.22055302528895,5,0.538461538461538,1.38461538461538,-2,22.0080963792538,20,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"4",293.102794938626,773011.4,17.86,"C15H18O6","O6","CHO",15,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.110071390786,293.10306185584,-0.907541904534621,0.91,293,292.775513739338,0.224486260661536,7,0.4,1.2,1,22.6238721775385,21,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"5",295.11844895929,1154666.4,27.57,"C15H20O6","O6","CHO",15,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.12572541145,295.11871191964,-0.888002383851071,0.89,295,294.788917062716,0.211082937283777,6,0.4,1.33333333333333,0,22.7789221824462,21,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"6",297.061448159436,886847.6,20.75,"C13H14O8","O8","CHO",13,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298.068724611596,297.06159097284,-0.479129115020676,0.48,297,296.729746692597,0.270253307402754,7,0.615384615384615,1.07692307692308,-1,22.9283744173077,21,0.9,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"7",297.097795069647,1357122.4,32.71,"C14H18O7","O7","CHO",14,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298.105071521807,297.09797647814,-0.608538768731864,0.61,297,296.766053017524,0.233946982476368,6,0.5,1.28571428571429,-1,22.9311733023308,21,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"8",299.077154179972,1072478.4,25.47,"C13H16O8","O8","CHO",13,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300.084430632132,299.07724103664,-0.289440768978782,0.29,299,298.743201957783,0.256798042216928,6,0.615384615384615,1.23076923076923,-2,23.0834244222154,21,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"9",299.113647089822,1097249.4,26.1,"C14H20O7","O7","CHO",14,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300.120923541982,299.11362654194,0.0684653431010969,0.07,299,298.779654119324,0.220345880675666,5,0.5,1.42857142857143,-2,23.0862233072385,21,0.9,30,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
"10",301.092781200703,856897.6,19.55,"C13H18O8","O8","CHO",13,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.100057652863,301.09289110044,-0.363785887149298,0.36,301,300.756578311376,0.243421688624153,5,0.615384615384615,1.38461538461538,-3,23.2384744271231,21,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"11",305.102778681743,845332.3,19.25,"C16H18O6","O6","CHO",16,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,306.110055133903,305.10306185584,-0.925072837595587,0.93,305,304.762098193405,0.237901806594948,8,0.375,1.125,2,23.5469491006154,22,0.9,34,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"12",307.045682489771,1392191.5,32.86,"C14H12O8","O8","CHO",14,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,308.052958941931,307.04594090904,-0.838879359359337,0.84,307,306.702832537684,0.297167462315656,9,0.571428571428571,0.857142857142857,1,23.6964013354769,22,0.9,30,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"13",309.061326103419,1706294.5,40.68,"C14H14O8","O8","CHO",14,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.068602555579,309.06159097284,-0.854228447802683,0.85,309,308.716225465666,0.283774534333759,8,0.571428571428571,1,0,23.8514513403846,22,0.9,30,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"14",309.097731006135,3086521.8,75.03,"C15H18O7","O7","CHO",15,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.105007458295,309.09797647814,-0.791577043266193,0.79,309,308.752589718343,0.247410281657267,7,0.466666666666667,1.2,0,23.8542502254077,22,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"15",309.134106908929,1638973.1,39,"C16H22O6","O6","CHO",16,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.141383361089,309.13436198344,-0.822445907069141,0.82,309,308.788925003478,0.211074996521688,6,0.375,1.375,0,23.8570491104308,22,0.9,34,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"16",311.040557814369,1686127.6,39.28,"C13H12O9","O9","CHO",13,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312.047834266529,311.04085553134,-0.954074786158964,0.95,311,310.693247148806,0.306752851193608,8,0.692307692307692,0.923076923076923,-1,24.0037024602692,22,0.9,28,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
