"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"1",207.029800992035,778594.9,21.64,"C10H8O5","O5","CHO",10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,208.037077444195,207.02989691454,-0.461083700154652,0.46,207,206.798629666729,0.201370333271456,7,0.5,0.8,2,16.0028594897462,15,0.9,22,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"2",209.009046875334,943797.7,26.64,"C9H6O6","O6","CHO",9,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210.016323327494,209.00916147304,-0.545660948090918,0.55,209,208.775665506393,0.224334493607188,7,0.666666666666667,0.666666666666667,1,16.1551106096308,15,0.9,20,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"3",209.045463817988,762200.9,21.14,"C10H10O5","O5","CHO",10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210.052740270148,209.04554697834,-0.395902245385542,0.4,209,208.812041785564,0.187958214436122,6,0.5,1,1,16.1579094946538,15,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"4",211.024708701289,1067883.9,30.25,"C9H8O6","O6","CHO",9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.031985153449,211.02481153684,-0.485000178509567,0.49,211,210.789076626346,0.210923373653685,6,0.666666666666667,0.888888888888889,0,16.3101606145385,15,0.9,20,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"5",211.061119643953,929423.2,26.07,"C10H12O5","O5","CHO",10,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.068396096113,211.06119704214,-0.364968038953983,0.36,211,210.825446912226,0.174553087773518,5,0.5,1.2,0,16.3129594995615,15,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"6",213.040329527309,860129.9,23.98,"C9H10O6","O6","CHO",9,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,214.047605979469,213.04046160064,-0.617027833864257,0.62,213,212.802446792145,0.197553207854725,5,0.666666666666667,1.11111111111111,-1,16.4652106194462,15,0.9,20,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"7",213.076744469967,751557.2,20.7,"C10H14O5","O5","CHO",10,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,214.084020922127,213.07684710594,-0.479419119894443,0.48,213,212.838821073553,0.161178926447292,4,0.5,1.4,-1,16.4680095044692,15,0.9,22,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"8",215.056041353186,846935.5,23.45,"C9H12O6","O6","CHO",9,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216.063317805346,215.05611166444,-0.325419671582856,0.33,215,214.81590785619,0.184092143810346,4,0.666666666666667,1.33333333333333,-2,16.6202606243538,15,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"9",221.009054979029,1087659,30.5,"C10H6O6","O6","CHO",10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,222.016331431189,221.00916147304,-0.479667465223756,0.48,221,220.762274293836,0.237725706163701,8,0.6,0.6,2,17.0781875327077,16,0.9,22,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"10",223.024758804918,1176060.5,33.14,"C10H8O6","O6","CHO",10,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,224.032035257078,223.02481153684,-0.235376701927143,0.24,223,222.775727366826,0.224272633173797,7,0.6,0.8,1,17.2332375376154,16,0.9,22,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"11",223.061105747683,947167.7,26.3,"C11H12O5","O5","CHO",11,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,224.068382199843,223.06119704214,-0.407440157065768,0.41,223,222.81203372427,0.187966275730048,6,0.454545454545455,1.09090909090909,1,17.2360364226385,16,0.9,24,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"12",223.097434690476,721442.8,19.56,"C12H16O4","O4","CHO",12,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,224.104711142636,223.09758254744,-0.659767315450485,0.66,223,222.848322101841,0.151677898158937,5,0.333333333333333,1.33333333333333,1,17.2388353076615,16,0.9,26,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"13",225.003959688289,1201097.1,33.69,"C9H6O7","O7","CHO",9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226.011236140449,225.00407609534,-0.51504984193889,0.52,225,224.752718256809,0.247281743191394,7,0.777777777777778,0.666666666666667,0,17.3854886575,16,0.9,20,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"14",225.040390630921,978700.3,27.09,"C10H10O6","O6","CHO",10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226.047667083081,225.04046160064,-0.313959086053955,0.31,225,224.789108520325,0.210891479674899,6,0.6,1,0,17.3882875425231,16,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
