"","exp_mass","abundance","RT"
"1",152.990357316895,797485.4,23.85
"2",203.984852786887,889264.6,25.12
"3",203.987258783098,926344.8,26.25
"4",203.989117780171,741616.9,20.62
"5",203.990094778633,747601,20.81
"6",265.148021062364,2439729.3,64.9
"7",297.153085889404,1556097.3,38.2
"8",300.038291645204,703631.4,16.26
"9",305.974197150726,1100831.9,26.02
"10",305.978114142675,870528.1,20.2
"11",305.981101136536,801376.3,18.45
"12",305.986425125594,923552.6,21.54
"13",306.03795901968,823075.9,19
"14",308.053642876973,733732.8,16.73
"15",309.174222573917,1311213.4,31.33
"16",311.168756474679,2562672.3,61.86
"17",312.038033688109,733258.2,16.42
"18",313.045934616634,701805.8,15.63
"19",314.035343583165,846768.8,19.23
"20",321.043443179864,701982.9,15.27
"21",324.072301954844,972160.3,21.83
"22",325.184466669083,2803157,66.28
"23",326.087921812269,764762.6,16.79
"24",328.032835815011,1007283.1,22.67
"25",329.040837743329,768003.4,16.16
"26",334.056817434305,741666.4,15.54
"27",334.093128359678,707429.6,14.74
"28",336.072419291767,970448.4,20.86
"29",338.088081149106,794242.4,16.75
"30",340.067309081325,949493.2,19.49
"31",340.10375500642,814328.5,16.48
"32",343.038267975302,751304.7,15.07
"33",344.045969904237,830120.1,16.83
"34",348.048606677872,871532.6,17.74
"35",348.072406628958,708846.9,14.12
"36",349.038017644399,882254.9,17.98
"37",350.051721560998,795380.6,16.04
"38",350.088199486027,1136696.4,23.64
"39",352.067270418569,1003137.8,19.76
"40",353.040678417164,724390.1,13.82
"41",353.200554051447,1510326.8,30.57
"42",354.082853033183,1109138.5,22.02
"43",355.038248847708,900086.8,17.56
"44",356.098657422017,718055.1,13.68
"45",357.053671237417,845709,16.4
"46",360.048646386392,717137.9,13.65
"47",361.038309122532,800063.1,15.42
"48",362.046100817202,715183,13.61
"49",362.051640804529,972015.6,19.08
"50",362.064183775837,713201.1,13.56
"51",362.088108721108,797555.7,15.36
"52",363.053770512151,731615.9,13.33
"53",364.043367248442,918927.6,17.14
"54",364.067351193578,1022418.3,19.25
"55",364.103654110535,853462.4,15.81
"56",366.046463666346,711476.1,12.91
"57",366.082900582996,1143672.3,21.71
"58",368.098553972176,1115553.8,21.14
"59",369.05384578694,746769.6,13.63
"60",370.043497523105,728518.2,13.25
"61",370.077833444561,728650.3,13.25
"62",371.032975259668,728699.6,13.25
"63",371.051176218034,736957.8,13.42
"64",374.027747409108,702499.8,12.71
"65",374.051795354098,875942.7,16.24
"66",376.043527797997,842650.3,14.85
"67",376.067229743779,1186909.1,21.54
"68",377.033041534478,780884.4,13.65
"69",378.040903228988,863313.6,15.24
"70",378.046470216253,751570.3,13.07
"71",378.082866132997,1012694.9,18.15
"72",379.532187817665,810700.3,14.22
"73",379.535784809436,809612.8,14.2
"74",380.062206605243,986575.1,17.63
"75",380.098598521996,1101075.8,19.86
"76",381.07974827761,718927.9,12.43
