 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL
 280.00     281.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 281.00     282.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 282.00     283.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 283.00     284.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 284.00     285.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 285.00     286.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 286.00     287.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 287.00     288.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 288.00     289.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 289.00     290.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 290.00     291.00     0.000E+00  0.000E+00     0.000E+00   0.000E+00
 291.00     292.00     6.077E+08  1.375E+09     2.681E+08   2.251E+09
 292.00     293.00     1.763E+09  4.100E+09     7.871E+08   6.650E+09
 293.00     294.00     6.055E+09  1.447E+10     2.737E+09   2.326E+10
 294.00     295.00     1.319E+10  3.224E+10     6.019E+09   5.144E+10
 295.00     296.00     3.822E+10  9.591E+10     1.765E+10   1.518E+11
 296.00     297.00     7.512E+10  1.930E+11     3.506E+10   3.031E+11
 297.00     298.00     1.599E+11  4.192E+11     7.533E+10   6.545E+11
 298.00     299.00     2.085E+11  5.564E+11     9.898E+10   8.639E+11
 299.00     300.00     5.062E+11  1.374E+12     2.421E+11   2.122E+12
 300.00     301.00     5.075E+11  1.394E+12     2.439E+11   2.145E+12
 301.00     302.00     1.082E+12  3.018E+12     5.236E+11   4.624E+12
 302.00     303.00     1.419E+12  3.986E+12     6.882E+11   6.094E+12
 303.00     304.00     2.565E+12  7.291E+12     1.250E+12   1.111E+13
 304.00     305.00     2.918E+12  8.309E+12     1.421E+12   1.265E+13
 305.00     306.00     4.057E+12  1.168E+13     1.985E+12   1.772E+13
 306.00     307.00     4.367E+12  1.253E+13     2.129E+12   1.903E+13
 307.00     308.00     6.580E+12  1.905E+13     3.220E+12   2.885E+13
 308.00     309.00     7.557E+12  2.176E+13     3.680E+12   3.299E+13
 309.00     310.00     6.881E+12  1.985E+13     3.351E+12   3.009E+13
 310.00     311.00     9.625E+12  2.772E+13     4.676E+12   4.203E+13
 311.00     312.00     1.266E+13  3.625E+13     6.121E+12   5.504E+13
 312.00     313.00     1.270E+13  3.643E+13     6.137E+12   5.527E+13
 313.00     314.00     1.465E+13  4.158E+13     7.027E+12   6.326E+13
 314.00     315.00     1.500E+13  4.259E+13     7.187E+12   6.478E+13
 315.00     316.00     1.573E+13  4.414E+13     7.474E+12   6.734E+13
 316.00     317.00     1.598E+13  4.479E+13     7.581E+12   6.836E+13
 317.00     318.00     2.291E+13  6.327E+13     1.076E+13   9.694E+13
 318.00     319.00     1.836E+13  5.061E+13     8.604E+12   7.758E+13
 319.00     320.00     2.272E+13  6.189E+13     1.056E+13   9.517E+13
 320.00     321.00     2.804E+13  7.549E+13     1.293E+13   1.165E+14
 321.00     322.00     2.420E+13  6.508E+13     1.114E+13   1.004E+14
 322.00     323.00     2.462E+13  6.458E+13     1.116E+13   1.004E+14
 323.00     324.00     2.577E+13  6.773E+13     1.168E+13   1.052E+14
 324.00     325.00     3.063E+13  7.931E+13     1.375E+13   1.237E+14
 325.00     326.00     3.474E+13  8.850E+13     1.543E+13   1.387E+14
 326.00     327.00     4.261E+13  1.083E+14     1.888E+13   1.698E+14
 327.00     328.00     4.015E+13  1.003E+14     1.760E+13   1.580E+14
 328.00     329.00     3.752E+13  9.239E+13     1.630E+13   1.462E+14
 329.00     330.00     4.921E+13  1.206E+14     2.130E+13   1.911E+14
 330.00     331.00     4.527E+13  1.091E+14     1.939E+13   1.737E+14
 331.00     332.00     4.525E+13  1.075E+14     1.921E+13   1.719E+14
 332.00     333.00     4.505E+13  1.063E+14     1.903E+13   1.704E+14
 333.00     334.00     4.282E+13  9.940E+13     1.791E+13   1.601E+14
 334.00     335.00     4.837E+13  1.110E+14     2.009E+13   1.794E+14
 335.00     336.00     4.954E+13  1.126E+14     2.045E+13   1.826E+14
 336.00     337.00     3.916E+13  8.776E+13     1.603E+13   1.429E+14
 337.00     338.00     4.345E+13  9.595E+13     1.763E+13   1.570E+14
 338.00     339.00     4.633E+13  1.014E+14     1.869E+13   1.664E+14
 339.00     340.00     5.088E+13  1.100E+14     2.038E+13   1.813E+14
 340.00     341.00     5.497E+13  1.172E+14     2.184E+13   1.940E+14
 341.00     342.00     4.930E+13  1.041E+14     1.947E+13   1.728E+14
 342.00     343.00     5.516E+13  1.150E+14     2.163E+13   1.918E+14
 343.00     344.00     5.787E+13  1.192E+14     2.252E+13   1.996E+14
 344.00     345.00     4.096E+13  8.332E+13     1.583E+13   1.401E+14
 345.00     346.00     5.665E+13  1.141E+14     2.176E+13   1.925E+14
 346.00     347.00     5.350E+13  1.064E+14     2.041E+13   1.803E+14
 347.00     348.00     5.277E+13  1.037E+14     1.999E+13   1.765E+14
 348.00     349.00     5.853E+13  1.138E+14     2.204E+13   1.944E+14
 349.00     350.00     4.950E+13  9.516E+13     1.852E+13   1.632E+14
 350.00     351.00     6.993E+13  1.330E+14     2.600E+13   2.289E+14
 351.00     352.00     6.081E+13  1.143E+14     2.247E+13   1.976E+14
 352.00     353.00     5.533E+13  1.029E+14     2.032E+13   1.785E+14
 353.00     354.00     6.718E+13  1.236E+14     2.453E+13   2.153E+14
 354.00     355.00     7.334E+13  1.335E+14     2.662E+13   2.335E+14
 355.00     356.00     6.912E+13  1.245E+14     2.494E+13   2.186E+14
 356.00     357.00     6.469E+13  1.153E+14     2.321E+13   2.032E+14
 357.00     358.00     5.547E+13  9.781E+13     1.979E+13   1.731E+14
 358.00     359.00     4.316E+13  7.531E+13     1.531E+13   1.338E+14
 359.00     360.00     7.323E+13  1.265E+14     2.584E+13   2.255E+14
 360.00     361.00     6.842E+13  1.170E+14     2.401E+13   2.094E+14
 361.00     362.00     6.218E+13  1.052E+14     2.171E+13   1.891E+14
 362.00     363.00     7.360E+13  1.233E+14     2.556E+13   2.225E+14
 363.00     364.00     6.598E+13  1.095E+14     2.279E+13   1.982E+14
 364.00     365.00     7.253E+13  1.191E+14     2.493E+13   2.166E+14
 365.00     366.00     8.906E+13  1.449E+14     3.046E+13   2.644E+14
 366.00     367.00     9.497E+13  1.530E+14     3.232E+13   2.803E+14
 367.00     368.00     9.085E+13  1.449E+14     3.076E+13   2.666E+14
 368.00     369.00     8.040E+13  1.270E+14     2.710E+13   2.345E+14
 369.00     370.00     9.716E+13  1.521E+14     3.259E+13   2.818E+14
 370.00     371.00     8.879E+13  1.377E+14     2.964E+13   2.561E+14
 371.00     372.00     1.023E+14  1.572E+14     3.400E+13   2.935E+14
 372.00     373.00     7.613E+13  1.159E+14     2.518E+13   2.172E+14
 373.00     374.00     6.930E+13  1.045E+14     2.282E+13   1.966E+14
 374.00     375.00     7.659E+13  1.145E+14     2.511E+13   2.162E+14
 375.00     376.00     8.701E+13  1.289E+14     2.840E+13   2.443E+14
 376.00     377.00     8.749E+13  1.284E+14     2.843E+13   2.443E+14
 377.00     378.00     1.049E+14  1.526E+14     3.394E+13   2.914E+14
