Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
800,-0.000291947,,,,,,,,,,,,,,,,,,,,,,
799,-0.001159075,,,,,,,,,,,,,,,,,,,,,,
798,0.000739959,,,,,,,,,,,,,,,,,,,,,,
797,-0.000635398,,,,,,,,,,,,,,,,,,,,,,
796,0.001117562,,,,,,,,,,,,,,,,,,,,,,
795,0.001317755,,,,,,,,,,,,,,,,,,,,,,
794,0.000120335,,,,,,,,,,,,,,,,,,,,,,
793,0.000777196,,,,,,,,,,,,,,,,,,,,,,
792,-0.000214749,,,,,,,,,,,,,,,,,,,,,,
791,0.000742163,,,,,,,,,,,,,,,,,,,,,,
790,-0.000223545,,,,,,,,,,,,,,,,,,,,,,
789,0.00043518,,,,,,,,,,,,,,,,,,,,,,
788,0.00020794,,,,,,,,,,,,,,,,,,,,,,
787,0.000828649,,,,,,,,,,,,,,,,,,,,,,
786,-0.000406789,,,,,,,,,,,,,,,,,,,,,,
785,8.55E-05,,,,,,,,,,,,,,,,,,,,,,
784,-3.04E-05,,,,,,,,,,,,,,,,,,,,,,
783,0.001390436,,,,,,,,,,,,,,,,,,,,,,
782,-8.49E-05,,,,,,,,,,,,,,,,,,,,,,
781,0.000616783,,,,,,,,,,,,,,,,,,,,,,
780,0.000971265,,,,,,,,,,,,,,,,,,,,,,
779,0.000646673,,,,,,,,,,,,,,,,,,,,,,
778,0.000523315,,,,,,,,,,,,,,,,,,,,,,
777,0.000275799,,,,,,,,,,,,,,,,,,,,,,
776,0.000575697,,,,,,,,,,,,,,,,,,,,,,
775,-0.000666828,,,,,,,,,,,,,,,,,,,,,,
774,-0.000611617,,,,,,,,,,,,,,,,,,,,,,
773,-0.000503656,,,,,,,,,,,,,,,,,,,,,,
772,9.66E-06,,,,,,,,,,,,,,,,,,,,,,
771,0.000653206,,,,,,,,,,,,,,,,,,,,,,
770,0.000265438,,,,,,,,,,,,,,,,,,,,,,
769,-0.000288688,,,,,,,,,,,,,,,,,,,,,,
768,6.13E-05,,,,,,,,,,,,,,,,,,,,,,
767,-0.000220906,,,,,,,,,,,,,,,,,,,,,,
766,0.000327011,,,,,,,,,,,,,,,,,,,,,,
765,-0.000329921,,,,,,,,,,,,,,,,,,,,,,
764,-0.000970364,,,,,,,,,,,,,,,,,,,,,,
763,-0.000415168,,,,,,,,,,,,,,,,,,,,,,
762,-0.000408444,,,,,,,,,,,,,,,,,,,,,,
761,-0.000701564,,,,,,,,,,,,,,,,,,,,,,
760,-0.001959747,,,,,,,,,,,,,,,,,,,,,,
759,-0.001939595,,,,,,,,,,,,,,,,,,,,,,
758,-0.001659275,,,,,,,,,,,,,,,,,,,,,,
757,-0.001920627,,,,,,,,,,,,,,,,,,,,,,
756,-0.002457945,,,,,,,,,,,,,,,,,,,,,,
755,-0.001507774,,,,,,,,,,,,,,,,,,,,,,
754,-0.002117582,,,,,,,,,,,,,,,,,,,,,,
753,-0.002750869,,,,,,,,,,,,,,,,,,,,,,
752,-0.002155036,,,,,,,,,,,,,,,,,,,,,,
751,-0.002610607,,,,,,,,,,,,,,,,,,,,,,
