Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
800,0.001131161,,,,,,,,,,,,,,,,,,
799,0.00122707,,,,,,,,,,,,,,,,,,
798,0.000798072,,,,,,,,,,,,,,,,,,
797,0.001019342,,,,,,,,,,,,,,,,,,
796,0.00145339,,,,,,,,,,,,,,,,,,
795,0.001363403,,,,,,,,,,,,,,,,,,
794,0.00123086,,,,,,,,,,,,,,,,,,
793,0.001367065,,,,,,,,,,,,,,,,,,
792,0.001173416,,,,,,,,,,,,,,,,,,
791,0.001219957,,,,,,,,,,,,,,,,,,
790,0.001463597,,,,,,,,,,,,,,,,,,
789,0.00130428,,,,,,,,,,,,,,,,,,
788,0.001272216,,,,,,,,,,,,,,,,,,
787,0.001136378,,,,,,,,,,,,,,,,,,
786,0.001833017,,,,,,,,,,,,,,,,,,
785,0.001482973,,,,,,,,,,,,,,,,,,
784,0.001215311,,,,,,,,,,,,,,,,,,
783,0.001546122,,,,,,,,,,,,,,,,,,
782,0.001580493,,,,,,,,,,,,,,,,,,
781,0.001496688,,,,,,,,,,,,,,,,,,
780,0.001682581,,,,,,,,,,,,,,,,,,
779,0.00128543,,,,,,,,,,,,,,,,,,
778,0.00180918,,,,,,,,,,,,,,,,,,
777,0.001581428,,,,,,,,,,,,,,,,,,
776,0.0016065,,,,,,,,,,,,,,,,,,
775,0.001355769,,,,,,,,,,,,,,,,,,
774,0.001691521,,,,,,,,,,,,,,,,,,
773,0.001596055,,,,,,,,,,,,,,,,,,
772,0.001467311,,,,,,,,,,,,,,,,,,
771,0.001730659,,,,,,,,,,,,,,,,,,
770,0.001544356,,,,,,,,,,,,,,,,,,
769,0.001337696,,,,,,,,,,,,,,,,,,
768,0.001012233,,,,,,,,,,,,,,,,,,
767,0.001127009,,,,,,,,,,,,,,,,,,
766,0.00123452,,,,,,,,,,,,,,,,,,
765,0.00092571,,,,,,,,,,,,,,,,,,
764,0.00114772,,,,,,,,,,,,,,,,,,
763,0.000757022,,,,,,,,,,,,,,,,,,
762,0.000728991,,,,,,,,,,,,,,,,,,
761,0.000658157,,,,,,,,,,,,,,,,,,
