Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
800,2.90E-05,,,,,,,,,,,,,,,,,,,,,,
799,0.00029893,,,,,,,,,,,,,,,,,,,,,,
798,0.000122328,,,,,,,,,,,,,,,,,,,,,,
797,0.000704799,,,,,,,,,,,,,,,,,,,,,,
796,9.37E-05,,,,,,,,,,,,,,,,,,,,,,
795,0.000381468,,,,,,,,,,,,,,,,,,,,,,
794,0.000496829,,,,,,,,,,,,,,,,,,,,,,
793,0.000381027,,,,,,,,,,,,,,,,,,,,,,
792,0.000158529,,,,,,,,,,,,,,,,,,,,,,
791,0.000439766,,,,,,,,,,,,,,,,,,,,,,
790,0.000188128,,,,,,,,,,,,,,,,,,,,,,
789,0.000800277,,,,,,,,,,,,,,,,,,,,,,
788,0.00101449,,,,,,,,,,,,,,,,,,,,,,
787,0.000593064,,,,,,,,,,,,,,,,,,,,,,
786,0.000489391,,,,,,,,,,,,,,,,,,,,,,
785,0.00074849,,,,,,,,,,,,,,,,,,,,,,
784,0.000709103,,,,,,,,,,,,,,,,,,,,,,
783,0.000291781,,,,,,,,,,,,,,,,,,,,,,
782,0.000602033,,,,,,,,,,,,,,,,,,,,,,
781,0.00068302,,,,,,,,,,,,,,,,,,,,,,
780,0.000513493,,,,,,,,,,,,,,,,,,,,,,
779,0.00069588,,,,,,,,,,,,,,,,,,,,,,
778,0.000811506,,,,,,,,,,,,,,,,,,,,,,
777,0.000265438,,,,,,,,,,,,,,,,,,,,,,
776,0.000636925,,,,,,,,,,,,,,,,,,,,,,
775,0.000190278,,,,,,,,,,,,,,,,,,,,,,
774,-0.000128427,,,,,,,,,,,,,,,,,,,,,,
773,0.000481902,,,,,,,,,,,,,,,,,,,,,,
772,-0.000220441,,,,,,,,,,,,,,,,,,,,,,
771,0.000402688,,,,,,,,,,,,,,,,,,,,,,
770,0.000575464,,,,,,,,,,,,,,,,,,,,,,
769,0.000456454,,,,,,,,,,,,,,,,,,,,,,
768,-1.26E-05,,,,,,,,,,,,,,,,,,,,,,
767,-3.56E-05,,,,,,,,,,,,,,,,,,,,,,
766,-0.000280772,,,,,,,,,,,,,,,,,,,,,,
765,-0.000233325,,,,,,,,,,,,,,,,,,,,,,
764,-0.000155495,,,,,,,,,,,,,,,,,,,,,,
763,-0.00071552,,,,,,,,,,,,,,,,,,,,,,
762,-0.000406685,,,,,,,,,,,,,,,,,,,,,,
761,-0.000977131,,,,,,,,,,,,,,,,,,,,,,
760,-0.000836656,,,,,,,,,,,,,,,,,,,,,,
759,-0.001186957,,,,,,,,,,,,,,,,,,,,,,
758,-0.001531403,,,,,,,,,,,,,,,,,,,,,,
757,-0.001354104,,,,,,,,,,,,,,,,,,,,,,
756,-0.001817838,,,,,,,,,,,,,,,,,,,,,,
755,-0.00186207,,,,,,,,,,,,,,,,,,,,,,
754,-0.00250798,,,,,,,,,,,,,,,,,,,,,,
753,-0.002747628,,,,,,,,,,,,,,,,,,,,,,
752,-0.00255837,,,,,,,,,,,,,,,,,,,,,,
751,-0.003011463,,,,,,,,,,,,,,,,,,,,,,
750,-0.003044624,,,,,,,,,,,,,,,,,,,,,,
749,-0.003367155,,,,,,,,,,,,,,,,,,,,,,
748,-0.003789125,,,,,,,,,,,,,,,,,,,,,,
747,-0.003862715,,,,,,,,,,,,,,,,,,,,,,
746,-0.004317884,,,,,,,,,,,,,,,,,,,,,,
745,-0.004594803,,,,,,,,,,,,,,,,,,,,,,
744,-0.004914548,,,,,,,,,,,,,,,,,,,,,,
743,-0.005236921,,,,,,,,,,,,,,,,,,,,,,
742,-0.005638018,,,,,,,,,,,,,,,,,,,,,,
741,-0.005684981,,,,,,,,,,,,,,,,,,,,,,
740,-0.00636998,,,,,,,,,,,,,,,,,,,,,,
739,-0.006741895,,,,,,,,,,,,,,,,,,,,,,
738,-0.007176897,,,,,,,,,,,,,,,,,,,,,,
737,-0.007786481,,,,,,,,,,,,,,,,,,,,,,
736,-0.00852123,,,,,,,,,,,,,,,,,,,,,,
735,-0.009242777,,,,,,,,,,,,,,,,,,,,,,
734,-0.010100731,,,,,,,,,,,,,,,,,,,,,,
733,-0.010774614,,,,,,,,,,,,,,,,,,,,,,
732,-0.011596787,,,,,,,,,,,,,,,,,,,,,,
731,-0.01246364,,,,,,,,,,,,,,,,,,,,,,
730,-0.013243859,,,,,,,,,,,,,,,,,,,,,,
729,-0.014004031,,,,,,,,,,,,,,,,,,,,,,
728,-0.014713431,,,,,,,,,,,,,,,,,,,,,,
727,-0.015332675,,,,,,,,,,,,,,,,,,,,,,
726,-0.01589494,,,,,,,,,,,,,,,,,,,,,,
725,-0.016327906,,,,,,,,,,,,,,,,,,,,,,
724,-0.016816076,,,,,,,,,,,,,,,,,,,,,,
723,-0.017108636,,,,,,,,,,,,,,,,,,,,,,
722,-0.017580418,,,,,,,,,,,,,,,,,,,,,,
721,-0.01788692,,,,,,,,,,,,,,,,,,,,,,
720,-0.018045381,,,,,,,,,,,,,,,,,,,,,,
719,-0.018161282,,,,,,,,,,,,,,,,,,,,,,
718,-0.018137399,,,,,,,,,,,,,,,,,,,,,,
717,-0.018203285,,,,,,,,,,,,,,,,,,,,,,
716,-0.018362671,,,,,,,,,,,,,,,,,,,,,,
715,-0.018345848,,,,,,,,,,,,,,,,,,,,,,
714,-0.017963326,,,,,,,,,,,,,,,,,,,,,,
713,-0.017542928,,,,,,,,,,,,,,,,,,,,,,
712,-0.017223494,,,,,,,,,,,,,,,,,,,,,,
711,-0.016791372,,,,,,,,,,,,,,,,,,,,,,
710,-0.016286867,,,,,,,,,,,,,,,,,,,,,,
709,-0.015693452,,,,,,,,,,,,,,,,,,,,,,
708,-0.015017412,,,,,,,,,,,,,,,,,,,,,,
707,-0.014269133,,,,,,,,,,,,,,,,,,,,,,
706,-0.013743532,,,,,,,,,,,,,,,,,,,,,,
705,-0.012845255,,,,,,,,,,,,,,,,,,,,,,
704,-0.012175939,,,,,,,,,,,,,,,,,,,,,,
703,-0.011302305,,,,,,,,,,,,,,,,,,,,,,
702,-0.010506611,,,,,,,,,,,,,,,,,,,,,,
701,-0.009878772,,,,,,,,,,,,,,,,,,,,,,
700,-0.009206132,,,,,,,,,,,,,,,,,,,,,,
699,-0.008364791,,,,,,,,,,,,,,,,,,,,,,
698,-0.007622096,,,,,,,,,,,,,,,,,,,,,,
697,-0.007039484,,,,,,,,,,,,,,,,,,,,,,
696,-0.006310489,,,,,,,,,,,,,,,,,,,,,,
695,-0.005648137,,,,,,,,,,,,,,,,,,,,,,
694,-0.004889362,,,,,,,,,,,,,,,,,,,,,,
693,-0.004341873,,,,,,,,,,,,,,,,,,,,,,
692,-0.003639393,,,,,,,,,,,,,,,,,,,,,,
691,-0.003196771,,,,,,,,,,,,,,,,,,,,,,
690,-0.002649716,,,,,,,,,,,,,,,,,,,,,,
689,-0.002388184,,,,,,,,,,,,,,,,,,,,,,
688,-0.001530216,,,,,,,,,,,,,,,,,,,,,,
687,-0.000934616,,,,,,,,,,,,,,,,,,,,,,
686,-0.000428305,,,,,,,,,,,,,,,,,,,,,,
685,-0.000291171,,,,,,,,,,,,,,,,,,,,,,
684,0.000411704,,,,,,,,,,,,,,,,,,,,,,
