Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,
800,-0.002154572,,,,,,,,,,,,,,,,,,,
799,-0.001069429,,,,,,,,,,,,,,,,,,,
798,-0.001069429,,,,,,,,,,,,,,,,,,,
797,-3.08E-05,,,,,,,,,,,,,,,,,,,
796,-0.00120482,,,,,,,,,,,,,,,,,,,
795,-0.001224232,,,,,,,,,,,,,,,,,,,
794,-0.001228982,,,,,,,,,,,,,,,,,,,
793,-0.000249055,,,,,,,,,,,,,,,,,,,
792,-0.001819745,,,,,,,,,,,,,,,,,,,
791,-0.001984073,,,,,,,,,,,,,,,,,,,
790,-0.001041954,,,,,,,,,,,,,,,,,,,
789,-0.002071108,,,,,,,,,,,,,,,,,,,
788,-0.000752888,,,,,,,,,,,,,,,,,,,
787,-0.001270177,,,,,,,,,,,,,,,,,,,
786,0.000293465,,,,,,,,,,,,,,,,,,,
785,-0.001570197,,,,,,,,,,,,,,,,,,,
784,-0.00143848,,,,,,,,,,,,,,,,,,,
783,-0.000563172,,,,,,,,,,,,,,,,,,,
782,-0.000659849,,,,,,,,,,,,,,,,,,,
781,-0.000950786,,,,,,,,,,,,,,,,,,,
780,-0.001245966,,,,,,,,,,,,,,,,,,,
779,-0.000671635,,,,,,,,,,,,,,,,,,,
778,-0.000131481,,,,,,,,,,,,,,,,,,,
777,-0.001151278,,,,,,,,,,,,,,,,,,,
776,-0.000805755,,,,,,,,,,,,,,,,,,,
775,-0.000827717,,,,,,,,,,,,,,,,,,,
774,-0.001383883,,,,,,,,,,,,,,,,,,,
773,-0.000847818,,,,,,,,,,,,,,,,,,,
772,-0.001687898,,,,,,,,,,,,,,,,,,,
771,-0.001205182,,,,,,,,,,,,,,,,,,,
770,-0.000633795,,,,,,,,,,,,,,,,,,,
769,-0.001284941,,,,,,,,,,,,,,,,,,,
768,-0.001522633,,,,,,,,,,,,,,,,,,,
767,-0.002699884,,,,,,,,,,,,,,,,,,,
766,-0.002603351,,,,,,,,,,,,,,,,,,,
765,-0.00170734,,,,,,,,,,,,,,,,,,,
764,-0.001208538,,,,,,,,,,,,,,,,,,,
763,-0.00245604,,,,,,,,,,,,,,,,,,,
762,-0.002455731,,,,,,,,,,,,,,,,,,,
761,-0.001391366,,,,,,,,,,,,,,,,,,,
760,-0.00255451,,,,,,,,,,,,,,,,,,,
759,-0.002672666,,,,,,,,,,,,,,,,,,,
758,-0.002804009,,,,,,,,,,,,,,,,,,,
757,-0.003554314,,,,,,,,,,,,,,,,,,,
756,-0.002369906,,,,,,,,,,,,,,,,,,,
755,-0.003489249,,,,,,,,,,,,,,,,,,,
754,-0.003645553,,,,,,,,,,,,,,,,,,,
753,-0.004268569,,,,,,,,,,,,,,,,,,,
752,-0.004318807,,,,,,,,,,,,,,,,,,,
751,-0.004588195,,,,,,,,,,,,,,,,,,,
750,-0.004291587,,,,,,,,,,,,,,,,,,,
