Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
800,-0.000943605,,,,,,,,,,,,,,,,,,
799,-0.001428624,,,,,,,,,,,,,,,,,,
798,0.000229333,,,,,,,,,,,,,,,,,,
797,-7.77E-07,,,,,,,,,,,,,,,,,,
796,-0.001575561,,,,,,,,,,,,,,,,,,
795,-0.000501432,,,,,,,,,,,,,,,,,,
794,-0.00012791,,,,,,,,,,,,,,,,,,
793,-0.00026199,,,,,,,,,,,,,,,,,,
792,-0.000465646,,,,,,,,,,,,,,,,,,
791,-0.00113238,,,,,,,,,,,,,,,,,,
790,0.000620256,,,,,,,,,,,,,,,,,,
789,0.00016508,,,,,,,,,,,,,,,,,,
788,-0.000582458,,,,,,,,,,,,,,,,,,
787,0.000537,,,,,,,,,,,,,,,,,,
786,-0.000714176,,,,,,,,,,,,,,,,,,
785,-9.15E-05,,,,,,,,,,,,,,,,,,
784,-0.000345854,,,,,,,,,,,,,,,,,,
783,-0.000738726,,,,,,,,,,,,,,,,,,
782,6.41E-05,,,,,,,,,,,,,,,,,,
781,0.000416161,,,,,,,,,,,,,,,,,,
780,0.000583992,,,,,,,,,,,,,,,,,,
779,-0.000150837,,,,,,,,,,,,,,,,,,
778,0.000527721,,,,,,,,,,,,,,,,,,
777,-0.000214128,,,,,,,,,,,,,,,,,,
776,-0.000148301,,,,,,,,,,,,,,,,,,
775,-0.00084172,,,,,,,,,,,,,,,,,,
774,-7.77E-07,,,,,,,,,,,,,,,,,,
773,-0.000943657,,,,,,,,,,,,,,,,,,
772,-0.000116212,,,,,,,,,,,,,,,,,,
771,-0.000499726,,,,,,,,,,,,,,,,,,
770,-0.000354493,,,,,,,,,,,,,,,,,,
769,-0.00039872,,,,,,,,,,,,,,,,,,
768,-0.001062457,,,,,,,,,,,,,,,,,,
767,-0.000511516,,,,,,,,,,,,,,,,,,
766,-0.00030664,,,,,,,,,,,,,,,,,,
765,-0.001383934,,,,,,,,,,,,,,,,,,
764,-0.000371615,,,,,,,,,,,,,,,,,,
763,-0.000939937,,,,,,,,,,,,,,,,,,
762,-0.001609864,,,,,,,,,,,,,,,,,,
761,-0.001491935,,,,,,,,,,,,,,,,,,
760,-0.001461287,,,,,,,,,,,,,,,,,,
759,-0.001774786,,,,,,,,,,,,,,,,,,
758,-0.001959232,,,,,,,,,,,,,,,,,,
757,-0.001768032,,,,,,,,,,,,,,,,,,
756,-0.002238483,,,,,,,,,,,,,,,,,,
755,-0.002143856,,,,,,,,,,,,,,,,,,
754,-0.003445182,,,,,,,,,,,,,,,,,,
753,-0.003541785,,,,,,,,,,,,,,,,,,
752,-0.004179409,,,,,,,,,,,,,,,,,,
751,-0.003898223,,,,,,,,,,,,,,,,,,
750,-0.004257598,,,,,,,,,,,,,,,,,,
749,-0.003993083,,,,,,,,,,,,,,,,,,
748,-0.00466544,,,,,,,,,,,,,,,,,,
747,-0.004756753,,,,,,,,,,,,,,,,,,
746,-0.005414227,,,,,,,,,,,,,,,,,,
745,-0.005749973,,,,,,,,,,,,,,,,,,
744,-0.004460107,,,,,,,,,,,,,,,,,,
743,-0.005152155,,,,,,,,,,,,,,,,,,
742,-0.006597155,,,,,,,,,,,,,,,,,,
741,-0.006174077,,,,,,,,,,,,,,,,,,
740,-0.006824976,,,,,,,,,,,,,,,,,,
739,-0.008072022,,,,,,,,,,,,,,,,,,
738,-0.008484321,,,,,,,,,,,,,,,,,,
737,-0.008293383,,,,,,,,,,,,,,,,,,
736,-0.008372257,,,,,,,,,,,,,,,,,,
735,-0.009127207,,,,,,,,,,,,,,,,,,
734,-0.010432774,,,,,,,,,,,,,,,,,,
733,-0.01175,,,,,,,,,,,,,,,,,,
732,-0.012368499,,,,,,,,,,,,,,,,,,
731,-0.012505142,,,,,,,,,,,,,,,,,,
730,-0.014074707,,,,,,,,,,,,,,,,,,
729,-0.014474839,,,,,,,,,,,,,,,,,,
728,-0.015205117,,,,,,,,,,,,,,,,,,
727,-0.016192909,,,,,,,,,,,,,,,,,,
726,-0.016636888,,,,,,,,,,,,,,,,,,
725,-0.017071005,,,,,,,,,,,,,,,,,,
724,-0.017506728,,,,,,,,,,,,,,,,,,
723,-0.017094849,,,,,,,,,,,,,,,,,,
722,-0.018082974,,,,,,,,,,,,,,,,,,
721,-0.018354582,,,,,,,,,,,,,,,,,,
720,-0.018266084,,,,,,,,,,,,,,,,,,
719,-0.018392697,,,,,,,,,,,,,,,,,,
718,-0.018595863,,,,,,,,,,,,,,,,,,
717,-0.018983578,,,,,,,,,,,,,,,,,,
716,-0.018534204,,,,,,,,,,,,,,,,,,
715,-0.018343117,,,,,,,,,,,,,,,,,,
714,-0.018258341,,,,,,,,,,,,,,,,,,
713,-0.018124936,,,,,,,,,,,,,,,,,,
712,-0.018050743,,,,,,,,,,,,,,,,,,
711,-0.017523238,,,,,,,,,,,,,,,,,,
710,-0.016613917,,,,,,,,,,,,,,,,,,
709,-0.015992805,,,,,,,,,,,,,,,,,,
708,-0.015338172,,,,,,,,,,,,,,,,,,
707,-0.014981802,,,,,,,,,,,,,,,,,,
706,-0.014336911,,,,,,,,,,,,,,,,,,
705,-0.013066758,,,,,,,,,,,,,,,,,,
704,-0.012685088,,,,,,,,,,,,,,,,,,
703,-0.011788848,,,,,,,,,,,,,,,,,,
702,-0.011114419,,,,,,,,,,,,,,,,,,
701,-0.010338551,,,,,,,,,,,,,,,,,,
700,-0.00929153,,,,,,,,,,,,,,,,,,
699,-0.008520824,,,,,,,,,,,,,,,,,,
698,-0.008285662,,,,,,,,,,,,,,,,,,
697,-0.006901875,,,,,,,,,,,,,,,,,,
696,-0.00653642,,,,,,,,,,,,,,,,,,
695,-0.005595395,,,,,,,,,,,,,,,,,,
694,-0.005588904,,,,,,,,,,,,,,,,,,
693,-0.004594496,,,,,,,,,,,,,,,,,,
692,-0.003951427,,,,,,,,,,,,,,,,,,
691,-0.002827001,,,,,,,,,,,,,,,,,,
690,-0.002698392,,,,,,,,,,,,,,,,,,
