Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
800,0.000276732,,,,,,,,,,,,,,,,,,
799,0.000378747,,,,,,,,,,,,,,,,,,
798,0.000414684,,,,,,,,,,,,,,,,,,
797,0.000283751,,,,,,,,,,,,,,,,,,
796,0.000448343,,,,,,,,,,,,,,,,,,
795,0.000423286,,,,,,,,,,,,,,,,,,
794,0.000570176,,,,,,,,,,,,,,,,,,
793,0.000385665,,,,,,,,,,,,,,,,,,
792,0.000450442,,,,,,,,,,,,,,,,,,
791,0.000851888,,,,,,,,,,,,,,,,,,
790,0.00063931,,,,,,,,,,,,,,,,,,
789,0.000780205,,,,,,,,,,,,,,,,,,
788,0.000766927,,,,,,,,,,,,,,,,,,
787,0.000887008,,,,,,,,,,,,,,,,,,
786,0.00078827,,,,,,,,,,,,,,,,,,
785,0.000406185,,,,,,,,,,,,,,,,,,
784,0.00100572,,,,,,,,,,,,,,,,,,
783,0.001123583,,,,,,,,,,,,,,,,,,
782,0.000810417,,,,,,,,,,,,,,,,,,
781,0.001120105,,,,,,,,,,,,,,,,,,
780,0.000897669,,,,,,,,,,,,,,,,,,
779,0.000588761,,,,,,,,,,,,,,,,,,
778,0.000610717,,,,,,,,,,,,,,,,,,
777,0.000502556,,,,,,,,,,,,,,,,,,
776,0.000778649,,,,,,,,,,,,,,,,,,
775,0.000534797,,,,,,,,,,,,,,,,,,
774,0.000483379,,,,,,,,,,,,,,,,,,
773,0.000508309,,,,,,,,,,,,,,,,,,
772,0.000585106,,,,,,,,,,,,,,,,,,
771,0.00061826,,,,,,,,,,,,,,,,,,
770,0.000385872,,,,,,,,,,,,,,,,,,
769,0.000184917,,,,,,,,,,,,,,,,,,
768,7.63E-05,,,,,,,,,,,,,,,,,,
767,0.000130847,,,,,,,,,,,,,,,,,,
766,-4.40E-05,,,,,,,,,,,,,,,,,,
765,0.000110444,,,,,,,,,,,,,,,,,,
764,-0.000142401,,,,,,,,,,,,,,,,,,
763,-0.000338819,,,,,,,,,,,,,,,,,,
762,-0.00030514,,,,,,,,,,,,,,,,,,
761,-0.000393806,,,,,,,,,,,,,,,,,,
760,-0.000702443,,,,,,,,,,,,,,,,,,
759,-0.000990871,,,,,,,,,,,,,,,,,,
758,-0.001113377,,,,,,,,,,,,,,,,,,
757,-0.001424083,,,,,,,,,,,,,,,,,,
756,-0.001799999,,,,,,,,,,,,,,,,,,
755,-0.001743024,,,,,,,,,,,,,,,,,,
754,-0.002025454,,,,,,,,,,,,,,,,,,
753,-0.002201603,,,,,,,,,,,,,,,,,,
752,-0.002350185,,,,,,,,,,,,,,,,,,
751,-0.002768206,,,,,,,,,,,,,,,,,,
750,-0.002897925,,,,,,,,,,,,,,,,,,
749,-0.003359757,,,,,,,,,,,,,,,,,,
748,-0.003275805,,,,,,,,,,,,,,,,,,
747,-0.003783121,,,,,,,,,,,,,,,,,,
746,-0.004121771,,,,,,,,,,,,,,,,,,
745,-0.004264776,,,,,,,,,,,,,,,,,,
744,-0.004536401,,,,,,,,,,,,,,,,,,
743,-0.004967832,,,,,,,,,,,,,,,,,,
742,-0.005381093,,,,,,,,,,,,,,,,,,
741,-0.00583355,,,,,,,,,,,,,,,,,,
740,-0.006117162,,,,,,,,,,,,,,,,,,
739,-0.006369572,,,,,,,,,,,,,,,,,,
738,-0.007072339,,,,,,,,,,,,,,,,,,
737,-0.007291765,,,,,,,,,,,,,,,,,,
736,-0.008283681,,,,,,,,,,,,,,,,,,
735,-0.008976616,,,,,,,,,,,,,,,,,,
734,-0.009606722,,,,,,,,,,,,,,,,,,
733,-0.010374595,,,,,,,,,,,,,,,,,,
732,-0.01134074,,,,,,,,,,,,,,,,,,
731,-0.012137225,,,,,,,,,,,,,,,,,,
730,-0.012923859,,,,,,,,,,,,,,,,,,
729,-0.013631863,,,,,,,,,,,,,,,,,,
728,-0.014450402,,,,,,,,,,,,,,,,,,
727,-0.014987453,,,,,,,,,,,,,,,,,,
726,-0.015449853,,,,,,,,,,,,,,,,,,
725,-0.016205328,,,,,,,,,,,,,,,,,,
724,-0.016552474,,,,,,,,,,,,,,,,,,
723,-0.017045619,,,,,,,,,,,,,,,,,,
722,-0.017253248,,,,,,,,,,,,,,,,,,
721,-0.017635154,,,,,,,,,,,,,,,,,,
720,-0.017881852,,,,,,,,,,,,,,,,,,
719,-0.017807718,,,,,,,,,,,,,,,,,,
718,-0.018030232,,,,,,,,,,,,,,,,,,
717,-0.018026605,,,,,,,,,,,,,,,,,,
716,-0.017910022,,,,,,,,,,,,,,,,,,
715,-0.01784732,,,,,,,,,,,,,,,,,,
714,-0.017427556,,,,,,,,,,,,,,,,,,
713,-0.017178807,,,,,,,,,,,,,,,,,,
712,-0.016930712,,,,,,,,,,,,,,,,,,
711,-0.016308958,,,,,,,,,,,,,,,,,,
710,-0.016042903,,,,,,,,,,,,,,,,,,
709,-0.015268351,,,,,,,,,,,,,,,,,,
708,-0.014920277,,,,,,,,,,,,,,,,,,
707,-0.014021426,,,,,,,,,,,,,,,,,,
706,-0.013238135,,,,,,,,,,,,,,,,,,
705,-0.012659795,,,,,,,,,,,,,,,,,,
704,-0.011678238,,,,,,,,,,,,,,,,,,
703,-0.010964314,,,,,,,,,,,,,,,,,,
702,-0.010100225,,,,,,,,,,,,,,,,,,
701,-0.009499708,,,,,,,,,,,,,,,,,,
700,-0.008741295,,,,,,,,,,,,,,,,,,
699,-0.008087725,,,,,,,,,,,,,,,,,,
698,-0.007234131,,,,,,,,,,,,,,,,,,
697,-0.006647481,,,,,,,,,,,,,,,,,,
696,-0.005829106,,,,,,,,,,,,,,,,,,
695,-0.005361457,,,,,,,,,,,,,,,,,,
694,-0.004586454,,,,,,,,,,,,,,,,,,
693,-0.003928648,,,,,,,,,,,,,,,,,,
692,-0.003508097,,,,,,,,,,,,,,,,,,
691,-0.002749068,,,,,,,,,,,,,,,,,,
690,-0.002004017,,,,,,,,,,,,,,,,,,
689,-0.001649373,,,,,,,,,,,,,,,,,,
688,-0.000931671,,,,,,,,,,,,,,,,,,
687,-0.000575581,,,,,,,,,,,,,,,,,,
686,-0.000331938,,,,,,,,,,,,,,,,,,
685,7.87E-05,,,,,,,,,,,,,,,,,,
684,0.000507377,,,,,,,,,,,,,,,,,,
683,0.001218088,,,,,,,,,,,,,,,,,,
682,0.001598861,,,,,,,,,,,,,,,,,,
681,0.001923933,,,,,,,,,,,,,,,,,,
680,0.002194738,,,,,,,,,,,,,,,,,,
679,0.002721358,,,,,,,,,,,,,,,,,,
678,0.002751133,,,,,,,,,,,,,,,,,,
677,0.002954296,,,,,,,,,,,,,,,,,,
676,0.003285861,,,,,,,,,,,,,,,,,,
675,0.003639189,,,,,,,,,,,,,,,,,,
674,0.003860658,,,,,,,,,,,,,,,,,,
673,0.004214663,,,,,,,,,,,,,,,,,,
672,0.004362683,,,,,,,,,,,,,,,,,,
671,0.004215499,,,,,,,,,,,,,,,,,,
670,0.004019035,,,,,,,,,,,,,,,,,,
669,0.00346091,,,,,,,,,,,,,,,,,,
668,0.003409849,,,,,,,,,,,,,,,,,,
667,0.003504514,,,,,,,,,,,,,,,,,,
666,0.00340784,,,,,,,,,,,,,,,,,,
665,0.003381673,,,,,,,,,,,,,,,,,,
664,0.003306519,,,,,,,,,,,,,,,,,,
663,0.003033064,,,,,,,,,,,,,,,,,,
662,0.003448855,,,,,,,,,,,,,,,,,,
661,0.003225301,,,,,,,,,,,,,,,,,,
660,0.003300154,,,,,,,,,,,,,,,,,,
659,0.00310585,,,,,,,,,,,,,,,,,,
658,0.003220686,,,,,,,,,,,,,,,,,,
657,0.003112473,,,,,,,,,,,,,,,,,,
656,0.003263613,,,,,,,,,,,,,,,,,,
655,0.003284896,,,,,,,,,,,,,,,,,,
654,0.003310458,,,,,,,,,,,,,,,,,,
653,0.003303989,,,,,,,,,,,,,,,,,,
652,0.003078971,,,,,,,,,,,,,,,,,,
651,0.003197998,,,,,,,,,,,,,,,,,,
650,0.003061609,,,,,,,,,,,,,,,,,,
649,0.003307797,,,,,,,,,,,,,,,,,,
648,0.003374916,,,,,,,,,,,,,,,,,,
647,0.003189549,,,,,,,,,,,,,,,,,,
646,0.003340455,,,,,,,,,,,,,,,,,,
645,0.003282705,,,,,,,,,,,,,,,,,,
644,0.003353837,,,,,,,,,,,,,,,,,,
643,0.003512734,,,,,,,,,,,,,,,,,,
642,0.003376977,,,,,,,,,,,,,,,,,,
641,0.003352663,,,,,,,,,,,,,,,,,,
640,0.003496685,,,,,,,,,,,,,,,,,,
639,0.00349619,,,,,,,,,,,,,,,,,,
638,0.003628643,,,,,,,,,,,,,,,,,,
637,0.00357717,,,,,,,,,,,,,,,,,,
